"","codmunres","ano","obitos_fetais_mais_28sem","peso_menos_1500_mais_28sem","peso_1500_1999_mais_28sem","peso_2000_2499_mais_28sem","peso_mais_2500_mais_28sem"
"609",130080,2019,6,2,0,0,4
"610",130080,2020,7,2,1,0,4
"611",130083,2013,3,1,1,0,1
"612",130083,2014,3,0,1,0,2
"613",130083,2015,2,0,0,1,1
"614",130083,2016,1,1,0,0,0
"615",130083,2018,3,0,0,1,2
"616",130083,2020,3,0,1,0,2
"617",130090,2012,1,1,0,0,0
"618",130090,2013,3,1,1,1,0
"619",130090,2014,3,0,0,0,3
"620",130090,2015,2,0,0,0,2
"621",130090,2016,7,1,1,1,4
"622",130090,2017,3,0,0,1,2
"623",130090,2018,2,0,1,0,1
"624",130090,2019,3,2,0,0,1
"625",130100,2012,12,2,0,1,8
"626",130100,2013,8,2,0,0,6
"627",130100,2014,9,0,0,0,8
"628",130100,2015,9,1,0,2,6
"629",130100,2016,7,0,2,0,4
"630",130100,2017,11,2,0,3,6
"631",130100,2018,11,1,2,1,7
"632",130100,2019,8,2,0,1,5
"633",130100,2020,7,0,0,3,3
"634",130110,2012,2,0,2,0,0
"635",130110,2013,6,0,2,0,4
"636",130110,2014,3,1,0,0,2
"637",130110,2015,5,0,0,2,3
"638",130110,2016,4,1,1,1,1
"639",130110,2017,7,3,1,0,3
"640",130110,2018,4,0,0,1,3
"641",130110,2019,7,4,0,0,3
"642",130110,2020,4,1,0,0,3
"643",130115,2012,1,0,0,0,1
"644",130115,2013,3,1,1,1,0
"645",130115,2014,2,0,0,0,2
"646",130115,2015,2,0,1,1,0
"647",130115,2016,1,1,0,0,0
"648",130115,2020,2,1,0,0,1
"649",130120,2012,11,3,2,2,4
"650",130120,2013,14,3,1,3,7
"651",130120,2014,18,7,2,1,8
"652",130120,2015,21,5,2,6,8
"653",130120,2016,17,4,3,4,6
"654",130120,2017,19,3,3,4,9
"655",130120,2018,18,7,0,4,7
"656",130120,2019,13,2,4,2,5
"657",130120,2020,15,6,2,1,6
"658",130130,2012,5,0,1,2,2
"659",130130,2014,6,2,1,0,3
"660",130130,2015,4,0,1,0,3
"661",130130,2016,3,2,0,0,1
"662",130130,2017,9,1,2,0,6
"663",130130,2018,4,0,1,1,2
"664",130130,2019,1,0,0,0,1
"665",130130,2020,1,0,0,0,1
"666",130140,2012,10,2,0,2,5
"667",130140,2013,7,0,1,1,4
"668",130140,2014,7,1,0,1,3
"669",130140,2015,11,4,1,0,4
"670",130140,2016,5,2,1,0,1
"671",130140,2017,14,2,2,0,8
"672",130140,2018,14,3,1,4,5
"673",130140,2019,8,1,1,5,1
"674",130140,2020,8,1,1,2,1
"675",130150,2012,3,1,0,0,2
"676",130150,2013,2,0,0,2,0
"677",130150,2014,6,0,0,4,2
"678",130150,2015,6,1,1,1,3
"679",130150,2016,2,1,1,0,0
"680",130150,2017,10,5,2,0,3
"681",130150,2018,3,1,0,1,1
"682",130150,2019,5,0,1,1,3
"683",130150,2020,2,0,0,0,1
"684",130160,2012,5,0,0,0,5
"685",130160,2013,2,0,0,0,2
"686",130160,2014,9,4,1,3,1
"687",130160,2015,4,2,0,1,1
"688",130160,2016,5,1,2,0,2
"689",130160,2017,8,1,0,3,4
"690",130160,2018,2,0,0,0,2
"691",130160,2019,3,0,1,0,2
"692",130160,2020,4,1,1,1,1
"693",130165,2012,1,0,1,0,0
"694",130165,2013,3,1,1,1,0
"695",130165,2015,1,0,0,1,0
"696",130165,2016,2,0,0,1,1
"697",130165,2017,1,1,0,0,0
"698",130165,2018,3,1,0,0,2
"699",130165,2019,2,2,0,0,0
"700",130165,2020,1,0,0,0,1
"701",130170,2012,8,2,0,2,4
"702",130170,2013,9,3,1,0,5
"703",130170,2014,12,4,2,1,5
"704",130170,2015,7,2,3,0,2
"705",130170,2016,5,1,1,1,2
"706",130170,2017,8,1,3,1,3
"707",130170,2018,4,1,0,1,2
"708",130170,2019,6,1,2,2,1
"709",130170,2020,12,2,4,0,6
"710",130180,2012,6,3,0,1,2
"711",130180,2013,3,0,1,0,2
"712",130180,2014,8,2,3,0,2
"713",130180,2015,2,0,1,1,0
"714",130180,2016,1,1,0,0,0
"715",130180,2017,5,1,1,0,2
"716",130180,2018,6,1,0,0,5
"717",130180,2019,6,1,0,0,5
"718",130180,2020,6,0,0,0,6
"719",130185,2012,13,3,3,0,4
"720",130185,2013,7,1,1,1,4
"721",130185,2014,11,2,4,1,4
"722",130185,2015,11,5,2,1,3
