"codmunres","municipio","uf","regiao","ano","nascidos","obitos_fetais_totais","obitos_fetais_mais_22sem"
"110011","Jaru","RO","Norte",2014,"867",13,10
"110011","Jaru","RO","Norte",2015,"788",9,5
"110011","Jaru","RO","Norte",2016,"807",11,8
"110011","Jaru","RO","Norte",2017,"846",6,5
"110011","Jaru","RO","Norte",2018,"911",11,8
"110011","Jaru","RO","Norte",2019,"881",5,5
"110011","Jaru","RO","Norte",2020,"892",12,12
"110012","Ji-Paraná","RO","Norte",2012,"2075",18,12
"110012","Ji-Paraná","RO","Norte",2013,"1971",12,7
"110012","Ji-Paraná","RO","Norte",2014,"1956",16,11
"110012","Ji-Paraná","RO","Norte",2015,"2094",14,12
"110012","Ji-Paraná","RO","Norte",2016,"1976",19,14
"110012","Ji-Paraná","RO","Norte",2017,"2050",13,11
"110012","Ji-Paraná","RO","Norte",2018,"2278",21,17
"110012","Ji-Paraná","RO","Norte",2019,"2182",20,12
"110012","Ji-Paraná","RO","Norte",2020,"2133",14,12
"110013","Machadinho D'Oeste","RO","Norte",2012,"542",5,4
"110013","Machadinho D'Oeste","RO","Norte",2013,"514",6,5
"110013","Machadinho D'Oeste","RO","Norte",2014,"507",3,3
"110013","Machadinho D'Oeste","RO","Norte",2015,"480",7,5
"110013","Machadinho D'Oeste","RO","Norte",2016,"398",7,6
"110013","Machadinho D'Oeste","RO","Norte",2017,"449",4,4
"110013","Machadinho D'Oeste","RO","Norte",2018,"517",4,4
"110013","Machadinho D'Oeste","RO","Norte",2019,"500",2,2
"110013","Machadinho D'Oeste","RO","Norte",2020,"561",7,6
"110014","Nova Brasilândia D'Oeste","RO","Norte",2012,"271",8,7
"110014","Nova Brasilândia D'Oeste","RO","Norte",2013,"278",0,0
"110014","Nova Brasilândia D'Oeste","RO","Norte",2014,"254",3,2
"110014","Nova Brasilândia D'Oeste","RO","Norte",2015,"256",1,1
"110014","Nova Brasilândia D'Oeste","RO","Norte",2016,"276",3,3
"110014","Nova Brasilândia D'Oeste","RO","Norte",2017,"224",4,1
"110014","Nova Brasilândia D'Oeste","RO","Norte",2018,"290",3,2
"110014","Nova Brasilândia D'Oeste","RO","Norte",2019,"261",2,2
"110014","Nova Brasilândia D'Oeste","RO","Norte",2020,"230",2,2
"110015","Ouro Preto do Oeste","RO","Norte",2012,"647",4,4
"110015","Ouro Preto do Oeste","RO","Norte",2013,"639",5,5
"110015","Ouro Preto do Oeste","RO","Norte",2014,"674",6,6
