"codmunres";"ano";"nascidos_vivos_asfixia1";"total_de_nascidos_vivos"
120070;2015;3;157
120070;2016;1;215
120070;2017;4;214
120070;2018;2;231
120070;2019;3;222
120070;2020;3;243
120070;2021;2;218
120080;2012;0;159
120080;2013;0;226
120080;2014;1;190
120080;2015;0;179
120080;2016;2;237
120080;2017;1;315
120080;2018;1;272
120080;2019;4;299
120080;2020;0;265
120080;2021;0;199
130000;2012;0;5
130000;2013;0;14
130000;2014;0;17
130000;2015;0;12
130000;2016;0;17
130000;2017;0;13
130000;2018;0;20
130000;2019;0;11
130000;2020;1;31
130000;2021;0;20
130002;2012;2;163
130002;2013;0;149
130002;2014;0;212
130002;2015;3;266
130002;2016;0;263
130002;2017;6;315
130002;2018;5;280
130002;2019;2;312
130002;2020;2;281
130002;2021;3;339
130006;2012;2;83
130006;2013;2;108
130006;2014;3;92
130006;2015;2;113
130006;2016;1;112
130006;2017;4;112
130006;2018;0;100
130006;2019;0;123
130006;2020;3;135
130006;2021;0;125
130008;2012;0;87
130008;2013;0;107
130008;2014;1;122
130008;2015;0;108
130008;2016;1;96
130008;2017;3;130
130008;2018;3;145
130008;2019;1;156
130008;2020;1;173
130008;2021;0;140
130010;2012;0;26
130010;2013;1;61
130010;2014;3;133
130010;2015;0;111
130010;2016;2;115
130010;2017;2;125
130010;2018;2;136
130010;2019;0;134
130010;2020;1;138
130010;2021;5;124
130014;2012;4;154
130014;2013;6;152
130014;2014;2;161
130014;2015;0;147
130014;2016;3;155
130014;2017;6;183
130014;2018;4;198
130014;2019;3;186
130014;2020;1;179
130014;2021;2;192
130020;2012;4;116
130020;2013;0;109
130020;2014;4;136
130020;2015;4;152
130020;2016;0;129
130020;2017;2;157
130020;2018;1;145
130020;2019;1;127
130020;2020;0;116
130020;2021;1;176
130030;2012;9;431
130030;2013;14;449
130030;2014;13;481
130030;2015;7;466
130030;2016;9;477
130030;2017;2;468
130030;2018;6;473
130030;2019;8;444
130030;2020;4;506
130030;2021;4;529
130040;2012;1;186
130040;2013;2;178
130040;2014;3;151
130040;2015;4;143
130040;2016;1;127
130040;2017;2;126
130040;2018;1;135
130040;2019;1;165
130040;2020;2;147
130040;2021;0;178
130050;2012;3;268
130050;2013;5;347
130050;2014;7;309
130050;2015;8;307
130050;2016;2;303
130050;2017;4;335
130050;2018;6;341
130050;2019;3;358
130050;2020;2;324
130050;2021;6;368
130060;2012;5;284
130060;2013;2;242
130060;2014;5;240
130060;2015;3;237
130060;2016;9;309
130060;2017;3;382
130060;2018;4;359
130060;2019;3;434
130060;2020;2;312
130060;2021;4;459
130063;2012;1;197
130063;2013;6;180
130063;2014;2;211
130063;2015;1;217
130063;2016;3;237
130063;2017;2;248
130063;2018;2;199
130063;2019;5;230
130063;2020;1;218
130063;2021;4;200
130068;2012;0;98
130068;2013;0;125
130068;2014;1;132
130068;2015;0;139
130068;2016;0;110
130068;2017;1;177
130068;2018;0;152
130068;2019;3;243
130068;2020;1;228
130068;2021;0;230
130070;2012;7;419
130070;2013;1;429
130070;2014;5;421
130070;2015;3;394
130070;2016;1;410
130070;2017;2;453
130070;2018;2;431
130070;2019;6;460
130070;2020;2;426
130070;2021;3;435
130080;2012;5;383
130080;2013;2;380
130080;2014;4;358
130080;2015;2;401
130080;2016;0;350
130080;2017;2;411
130080;2018;1;420
130080;2019;1;450
130080;2020;4;458
130080;2021;3;438
130083;2012;0;88
130083;2013;3;128
130083;2014;3;141
130083;2015;2;131
130083;2016;2;120
130083;2017;1;126
130083;2018;1;116
130083;2019;2;98
130083;2020;7;148
130083;2021;2;162
130090;2012;1;94
130090;2013;1;72
130090;2014;1;90
130090;2015;2;98
130090;2016;2;98
130090;2017;1;85
130090;2018;1;93
130090;2019;4;79
130090;2020;1;84
130090;2021;0;110
130100;2012;4;147
130100;2013;9;143
130100;2014;17;93
130100;2015;2;134
130100;2016;13;121
130100;2017;18;142
130100;2018;9;145
130100;2019;24;246
130100;2020;4;214
130100;2021;12;430
130110;2012;4;284
130110;2013;0;297
130110;2014;3;327
130110;2015;2;288
130110;2016;6;348
130110;2017;4;365
130110;2018;1;351
130110;2019;4;301
130110;2020;1;241
130110;2021;1;261
130115;2012;1;124
130115;2013;0;115
130115;2014;0;144
130115;2015;0;165
130115;2016;0;150
130115;2017;0;192
130115;2018;0;212
130115;2019;2;166
130115;2020;0;144
130115;2021;0;163
130120;2012;9;529
130120;2013;7;480
130120;2014;4;471
130120;2015;5;489
130120;2016;5;468
130120;2017;10;474
130120;2018;7;469
130120;2019;5;493
130120;2020;4;502
130120;2021;0;480
130130;2012;3;111
130130;2013;2;107
130130;2014;2;90
130130;2015;3;89
130130;2016;3;107
130130;2017;1;148
130130;2018;1;151
130130;2019;3;141
130130;2020;6;131
130130;2021;3;162
130140;2012;8;334
130140;2013;4;363
130140;2014;7;326
130140;2015;5;323
130140;2016;3;310
130140;2017;18;347
130140;2018;13;384
130140;2019;12;400
130140;2020;5;386
130140;2021;8;379
130150;2012;0;67
130150;2013;1;82
130150;2014;1;77
130150;2015;3;95
130150;2016;0;87
130150;2017;2;91
130150;2018;5;106
130150;2019;1;98
130150;2020;0;101
130150;2021;1;104
130160;2012;4;138
130160;2013;2;165
130160;2014;5;160
130160;2015;4;201
130160;2016;7;194
130160;2017;3;201
130160;2018;3;217
130160;2019;5;228
130160;2020;5;334
130160;2021;3;386
130165;2012;0;255
130165;2013;2;226
130165;2014;3;243
130165;2015;2;224
130165;2016;0;202
130165;2017;2;228
130165;2018;0;204
130165;2019;1;202
130165;2020;4;210
130165;2021;2;233
130170;2012;8;366
130170;2013;4;318
130170;2014;4;568
130170;2015;2;609
130170;2016;4;605
130170;2017;4;683
130170;2018;3;733
130170;2019;0;659
130170;2020;3;656
130170;2021;3;713
130180;2012;1;83
130180;2013;0;73
130180;2014;0;79
130180;2015;2;87
130180;2016;3;71
130180;2017;1;82
130180;2018;0;106
130180;2019;2;113
130180;2020;1;94
130180;2021;2;104
130185;2012;8;531
130185;2013;4;531
130185;2014;5;557
130185;2015;5;626
130185;2016;3;664
130185;2017;3;709
130185;2018;0;671
130185;2019;1;753
130185;2020;1;633
130185;2021;3;674
130190;2012;5;504
130190;2013;6;436
130190;2014;8;448
130190;2015;4;775
130190;2016;5;925
130190;2017;8;975
130190;2018;7;1092
130190;2019;9;1119
130190;2020;10;1105
130190;2021;6;1161
130195;2012;12;70
130195;2013;1;54
130195;2014;3;78
130195;2015;1;94
130195;2016;1;67
130195;2017;0;98
130195;2018;0;160
130195;2019;1;95
130195;2020;1;72
130195;2021;1;157
130200;2012;0;110
130200;2013;2;129
130200;2014;3;110
130200;2015;0;105
130200;2016;0;115
130200;2017;1;101
130200;2018;1;106
130200;2019;1;107
130200;2020;1;120
130200;2021;0;136
130210;2012;0;114
130210;2013;1;107
130210;2014;0;124
130210;2015;1;135
130210;2016;0;106
130210;2017;0;119
130210;2018;1;117
130210;2019;1;95
130210;2020;0;149
130210;2021;0;145
130220;2012;0;67
130220;2013;2;94
130220;2014;0;84
130220;2015;0;96
130220;2016;2;77
130220;2017;0;100
130220;2018;2;119
130220;2019;1;166
130220;2020;1;165
130220;2021;0;156
130230;2012;0;207
130230;2013;1;186
130230;2014;0;234
130230;2015;1;286
130230;2016;0;297
130230;2017;4;355
130230;2018;1;360
130230;2019;0;349
130230;2020;0;351
130230;2021;1;358
130240;2012;6;155
130240;2013;3;165
130240;2014;7;234
130240;2015;12;231
130240;2016;10;222
130240;2017;8;245
130240;2018;8;312
130240;2019;6;349
130240;2020;17;349
130240;2021;5;418
130250;2012;7;777
130250;2013;16;806
130250;2014;11;552
130250;2015;5;527
130250;2016;5;637
130250;2017;4;531
130250;2018;10;557
130250;2019;8;586
130250;2020;6;607
130250;2021;10;680
130255;2012;1;175
130255;2013;0;192
130255;2014;0;165
130255;2015;4;166
130255;2016;1;163
130255;2017;1;192
130255;2018;0;211
130255;2019;1;186
130255;2020;1;153
130255;2021;2;186
130260;2012;179;11495
130260;2013;142;11782
130260;2014;183;12117
130260;2015;206;12236
130260;2016;131;11402
130260;2017;143;11067
130260;2018;94;11246
130260;2019;97;11041
130260;2020;97;10637
130260;2021;128;10628
130270;2012;14;412
130270;2013;12;345
130270;2014;5;365
130270;2015;8;403
130270;2016;9;336
130270;2017;18;318
130270;2018;6;436
130270;2019;9;544
130270;2020;11;572
130270;2021;12;611
130280;2012;3;158
130280;2013;1;157
130280;2014;2;205
130280;2015;2;174
130280;2016;2;194
130280;2017;0;218
130280;2018;2;203
130280;2019;4;194
130280;2020;0;188
130280;2021;3;290
130290;2012;16;571
130290;2013;10;511
130290;2014;11;576
130290;2015;15;592
130290;2016;18;586
130290;2017;10;730
130290;2018;12;732
130290;2019;19;811
130290;2020;17;769
130290;2021;17;812
130300;2012;5;185
130300;2013;5;137
130300;2014;2;154
130300;2015;4;167
130300;2016;4;155
130300;2017;1;176
130300;2018;1;162
130300;2019;2;186
130300;2020;2;165
130300;2021;2;172
130310;2012;5;318
130310;2013;8;321
130310;2014;2;324
130310;2015;1;326
130310;2016;4;295
130310;2017;1;271
130310;2018;1;155
130310;2019;2;155
130310;2020;2;280
130310;2021;2;335
130320;2012;1;147
130320;2013;1;172
130320;2014;1;208
130320;2015;2;174
130320;2016;1;190
130320;2017;2;155
130320;2018;1;161
130320;2019;1;186
130320;2020;2;188
130320;2021;0;212
130330;2012;1;168
130330;2013;2;213
130330;2014;1;186
130330;2015;3;221
130330;2016;8;254
130330;2017;7;270
130330;2018;8;256
130330;2019;4;259
130330;2020;4;250
130330;2021;8;314
130340;2012;5;934
130340;2013;8;1133
130340;2014;10;1066
130340;2015;7;1012
130340;2016;3;1010
130340;2017;14;1005
130340;2018;6;976
130340;2019;10;1060
130340;2020;6;837
130340;2021;12;847
130350;2012;1;73
130350;2013;0;98
130350;2014;0;151
130350;2015;0;198
130350;2016;0;193
130350;2017;1;194
130350;2018;3;220
130350;2019;1;247
130350;2020;5;227
130350;2021;0;256
130353;2012;1;373
130353;2013;3;423
130353;2014;4;429
130353;2015;0;428
130353;2016;3;425
130353;2017;4;426
130353;2018;2;448
130353;2019;5;406
130353;2020;3;402
130353;2021;2;470
130356;2012;3;238
130356;2013;1;256
130356;2014;2;267
130356;2015;1;274
130356;2016;6;306
130356;2017;4;321
130356;2018;1;329
130356;2019;3;314
130356;2020;0;280
130356;2021;3;311
130360;2012;15;145
130360;2013;8;146
130360;2014;4;130
130360;2015;6;126
130360;2016;12;135
130360;2017;27;174
130360;2018;5;166
130360;2019;3;147
130360;2020;2;135
130360;2021;1;140
130370;2012;3;162
130370;2013;6;154
130370;2014;9;203
130370;2015;2;202
130370;2016;2;189
130370;2017;3;228
130370;2018;2;236
130370;2019;1;164
130370;2020;1;163
130370;2021;3;213
130380;2012;8;264
130380;2013;7;263
130380;2014;14;361
130380;2015;12;388
130380;2016;10;403
130380;2017;7;356
130380;2018;2;313
130380;2019;3;323
130380;2020;2;146
130380;2021;4;359
130390;2012;3;216
130390;2013;8;220
130390;2014;6;275
130390;2015;0;321
130390;2016;3;316
130390;2017;0;313
130390;2018;2;327
130390;2019;3;317
130390;2020;1;344
130390;2021;4;367
130395;2012;0;69
130395;2013;3;91
130395;2014;1;107
130395;2015;1;117
130395;2016;2;87
130395;2017;2;106
130395;2018;1;111
130395;2019;2;123
130395;2020;2;119
130395;2021;3;152
130400;2012;0;73
130400;2013;1;110
130400;2014;0;101
130400;2015;0;97
130400;2016;0;118
130400;2017;0;135
130400;2018;2;131
130400;2019;0;175
130400;2020;0;140
130400;2021;0;143
130406;2012;6;483
130406;2013;1;533
130406;2014;20;892
130406;2015;10;703
130406;2016;9;923
130406;2017;2;704
130406;2018;3;631
130406;2019;5;688
130406;2020;3;654
130406;2021;3;678
130410;2012;9;95
130410;2013;7;111
130410;2014;1;109
130410;2015;1;97
130410;2016;1;105
130410;2017;5;104
130410;2018;0;95
130410;2019;2;122
130410;2020;2;151
130410;2021;1;92
130420;2012;9;532
130420;2013;8;513
130420;2014;11;527
130420;2015;7;566
130420;2016;9;810
130420;2017;10;842
130420;2018;10;874
130420;2019;11;906
130420;2020;10;948
130420;2021;12;675
130423;2012;2;245
130423;2013;1;213
130423;2014;4;210
130423;2015;1;237
130423;2016;1;236
130423;2017;3;226
130423;2018;2;126
130423;2019;1;166
130423;2020;3;172
130423;2021;2;218
130426;2012;1;88
130426;2013;6;189
130426;2014;4;186
130426;2015;3;233
130426;2016;2;217
130426;2017;3;252
130426;2018;3;216
130426;2019;1;266
130426;2020;3;240
130426;2021;5;272
130430;2012;13;147
130430;2013;11;144
130430;2014;13;153
130430;2015;10;155
130430;2016;9;174
130430;2017;1;145
130430;2018;2;141
130430;2019;2;175
130430;2020;3;221
130430;2021;1;192
