"ano","codmunres","locnasc_incompletos","locnasc_totais","tpnascassi_incompletos","tpnascassi_totais"
2013,"150320",0,229,0,229
2013,"150330",0,609,3,609
2013,"150340",0,72,2,72
2013,"150345",0,396,25,396
2013,"150350",0,219,9,219
2013,"150360",0,992,13,992
2013,"150370",0,482,0,482
2013,"150375",0,429,0,429
2013,"150380",0,370,0,370
2013,"150390",0,806,3,806
2013,"150400",0,265,0,265
2013,"150405",0,295,0,295
2013,"150410",0,49,2,49
2013,"150420",0,2639,0,2639
2013,"150430",0,250,9,250
2013,"150440",0,164,5,164
2013,"150442",0,608,0,608
2013,"150445",0,288,5,288
2013,"150450",0,414,0,414
2013,"150460",0,330,0,330
2013,"150470",0,750,325,750
2013,"150475",0,1,0,1
2013,"150480",0,773,1,773
2013,"150490",0,335,0,335
2013,"150495",0,216,0,216
2013,"150497",0,131,0,131
2013,"150500",0,44,5,44
2013,"150503",0,268,0,268
2013,"150506",0,467,0,467
2013,"150510",0,853,22,853
2013,"150520",0,610,0,610
2013,"150530",0,981,18,981
2013,"150540",0,165,0,165
2013,"150543",0,393,4,393
2013,"150548",0,385,14,385
2013,"150549",0,81,0,81
2013,"150550",0,1015,0,1015
2013,"150553",0,2326,2,2326
2013,"150555",0,32,1,32
2013,"150560",0,40,0,40
2013,"150563",0,77,2,77
2013,"150565",0,143,4,143
2013,"150570",0,154,0,154
2013,"150580",0,1076,0,1076
2013,"150590",0,475,2,475
2013,"150600",0,530,0,530
2013,"150610",0,83,6,83
2013,"150611",0,94,15,94
2013,"150613",0,420,0,420
2013,"150616",0,49,0,49
2013,"150618",0,466,0,466
2013,"150619",0,203,10,203
2013,"150620",0,203,0,203
2013,"150630",0,219,1,219
2013,"150635",0,153,1,153
2013,"150640",0,76,0,76
2013,"150650",0,366,0,366
2013,"150655",0,167,0,167
2013,"150658",0,73,2,73
2013,"150660",0,131,1,131
2013,"150670",0,291,2,291
2013,"150680",0,4385,25,4385
2013,"150690",0,43,1,43
2013,"150700",0,294,2,294
2013,"150710",0,140,12,140
2013,"150715",0,238,5,238
2013,"150720",0,345,3,345
2013,"150730",0,449,2,449
2013,"150740",0,73,1,73
2013,"150745",0,238,0,238
2013,"150746",0,36,0,36
2013,"150747",0,200,0,200
2013,"150750",0,116,0,116
2013,"150760",0,369,5,369
2013,"150770",0,239,0,239
2013,"150775",0,42,0,42
2013,"150780",0,192,10,192
2013,"150790",0,243,0,243
2013,"150795",0,914,1,914
2013,"150796",0,71,1,71
2013,"150797",0,161,1,161
2013,"150800",0,952,15,952
2013,"150803",0,349,11,349
2013,"150805",0,111,0,111
2013,"150808",0,397,1,397
2013,"150810",0,1009,0,1009
2013,"150812",0,208,0,208
2013,"150815",0,467,14,467
2013,"150820",0,410,27,410
2013,"150830",0,934,7,934
2013,"150835",0,122,22,122
2013,"150840",0,259,1,259
2013,"160000",0,1,0,1
2013,"160005",0,59,0,59
2013,"160010",0,138,1,138
2013,"160015",0,204,20,204
2013,"160020",0,173,0,173
2013,"160021",0,69,0,69
2013,"160023",0,151,2,151
2013,"160025",0,98,0,98
2013,"160027",0,648,2,648
2013,"160030",0,6005,45,6005
2013,"160040",0,337,0,337
2013,"160050",0,347,3,347
2013,"160053",0,247,1,247
2013,"160055",0,70,0,70
2013,"160060",0,1378,0,1378
2013,"160070",0,222,2,222
2013,"160080",0,207,7,207
2013,"170000",0,3,0,3
2013,"170025",0,25,0,25
2013,"170030",0,50,0,50
2013,"170035",0,38,0,38
2013,"170040",0,67,2,67
2013,"170070",0,46,1,46
2013,"170100",0,93,0,93
2013,"170105",0,23,0,23
