"codmunres","ano","faixa_de_peso","evitaveis_neonatal_outros","evitaveis_neonatal_recem_nascido","evitaveis_neonatal_mulher_gestacao","evitaveis_neonatal_parto","evitaveis_neonatal_tratamento","evitaveis_neonatal_saude","evitaveis_neonatal_mal_definidas","evitaveis_neonatal_imunoprevencao","obitos_neonatais_totais"
"110037",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"110040",2022,"> 1500 g",0,0,0,2,0,0,0,0,2
"110040",2022,"> 1000 g",0,1,0,0,0,0,0,0,1
"110040",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"110040",2023,"outros",0,1,0,0,0,1,0,0,2
"110045",2022,"> 1500 g",1,0,0,1,0,1,0,0,3
"110045",2022,"outros",0,1,0,0,0,0,0,0,1
"110045",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"110045",2023,"outros",1,1,0,0,0,0,0,0,2
"110050",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"110050",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"110060",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"110060",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"110070",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"110070",2022,"outros",0,0,1,0,0,0,0,0,1
"110070",2023,"> 1500 g",0,0,1,0,0,0,0,0,1
"110080",2022,"outros",0,0,1,0,0,0,0,0,1
"110080",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"110080",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"110080",2023,"> 1000 g",0,0,0,1,0,0,0,0,1
"110090",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"110090",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"110092",2022,"> 1500 g",0,1,0,1,0,0,0,0,2
"110092",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"110094",2022,"> 1500 g",1,1,0,0,0,0,0,0,2
"110094",2022,"outros",1,0,0,0,0,0,0,0,1
"110094",2023,"outros",0,0,0,0,0,0,1,0,1
"110100",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"110100",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"110110",2022,"outros",1,0,0,0,0,0,0,0,1
"110110",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"110120",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"110120",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"110130",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"110130",2022,"outros",1,0,0,0,0,0,0,0,1
"110130",2023,"> 1500 g",0,1,0,0,0,0,0,0,1
"110140",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"110140",2022,"outros",0,3,0,0,0,0,0,0,3
"110140",2023,"outros",0,1,0,0,0,0,0,0,1
"110140",2023,"> 1500 g",0,0,0,0,1,0,0,0,1
"110143",2022,"outros",0,0,1,0,0,0,0,0,1
"110143",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"110145",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"110145",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"110146",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"110146",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"110147",2022,"outros",0,0,0,1,0,0,0,0,1
"110147",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"110148",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"110148",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"110149",2022,"> 1500 g",0,0,1,1,0,0,0,0,2
"110149",2022,"outros",0,0,4,0,0,0,0,0,4
"110149",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"110150",2022,"> 1500 g",1,0,0,1,0,0,0,0,2
"110150",2023,"outros",0,0,2,0,0,0,0,0,2
"110155",2023,"outros",0,1,0,0,0,0,0,0,1
"110155",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"110160",2022,"> 1500 g",0,1,0,0,0,0,0,0,1
"110160",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"110170",2023,"> 1500 g",0,1,0,0,0,0,0,0,1
"110170",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"110175",2022,"outros",0,1,0,0,0,0,0,0,1
"110175",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"110180",2022,"outros",0,0,2,0,0,0,0,0,2
"110180",2023,"outros",0,0,1,0,0,0,0,0,1
"120001",2022,"> 1000 g",0,1,0,0,0,0,0,0,1
"120001",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"120005",2022,"> 1500 g",0,1,0,0,0,0,0,0,1
"120005",2023,"outros",0,0,0,1,0,0,0,0,1
"120010",2022,"> 1500 g",0,0,1,2,0,0,0,0,3
"120010",2022,"outros",0,0,1,0,0,0,0,0,1
"120010",2022,"> 1000 g",1,0,0,1,0,0,0,0,2
"120010",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"120010",2023,"outros",0,1,0,0,0,0,0,0,1
"120013",2022,"outros",0,0,2,0,0,0,0,0,2
"120013",2023,"outros",0,1,1,0,0,0,0,0,2
"120013",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"120017",2023,"> 1000 g",1,0,0,0,0,0,0,0,1
"120017",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"120017",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"120020",2022,"> 1000 g",0,0,2,1,0,0,0,0,3
"120020",2022,"outros",0,4,6,0,0,0,0,0,10
"120020",2022,"> 1500 g",2,2,0,1,0,0,0,0,5
"120020",2023,"> 1000 g",1,2,2,0,0,0,0,0,5
"120020",2023,"outros",0,0,6,0,0,0,0,0,6
"120020",2023,"> 1500 g",4,0,0,0,0,0,0,0,4
"120025",2022,"> 1500 g",0,1,0,0,0,0,0,0,1
"120025",2022,"outros",0,1,0,0,0,0,0,0,1
"120025",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"120025",2023,"outros",0,0,2,0,0,0,0,0,2
"120025",2023,"> 1500 g",0,1,0,1,0,0,0,0,2
"120030",2022,"> 1500 g",1,1,1,0,0,0,1,0,4
"120030",2022,"outros",1,1,1,1,0,1,0,0,5
"120030",2023,"> 1500 g",2,0,2,0,0,0,1,0,5
"120032",2022,"> 1500 g",1,1,0,0,0,0,0,0,2
"120032",2022,"> 1000 g",0,1,0,0,0,0,0,0,1
"120032",2023,"> 1500 g",0,1,0,0,0,0,0,0,1
"120033",2022,"> 1500 g",0,0,1,2,0,0,0,0,3
"120033",2022,"> 1000 g",1,0,0,1,0,0,0,0,2
"120033",2022,"outros",0,0,0,1,0,0,0,0,1
"120033",2023,"> 1500 g",0,1,1,0,0,0,0,0,2
"120034",2022,"> 1500 g",0,0,0,0,0,1,0,0,1
"120034",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"120034",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"120034",2023,"outros",0,1,0,0,0,0,0,0,1
"120035",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"120035",2022,"outros",1,0,0,0,0,0,0,0,1
"120035",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"120038",2023,"outros",0,0,1,0,0,0,0,0,1
"120038",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"120038",2023,"> 1000 g",0,0,0,1,0,0,0,0,1
"120038",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"120039",2022,"> 1500 g",1,0,0,0,0,0,1,0,2
"120039",2022,"outros",0,0,1,0,0,0,0,0,1
"120039",2022,"> 1000 g",1,0,0,0,0,0,0,0,1
"120039",2023,"outros",0,1,0,0,0,0,0,0,1
"120040",2022,"> 1000 g",1,6,3,1,0,0,0,0,11
"120040",2022,"> 1500 g",10,3,2,1,0,0,0,0,16
"120040",2022,"outros",2,8,6,2,0,0,0,0,18
"120040",2023,"outros",1,11,12,3,0,0,1,0,28
"120040",2023,"> 1000 g",3,5,1,0,0,0,0,0,9
"120040",2023,"> 1500 g",5,7,4,4,0,0,0,0,20
"120042",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"120042",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"120043",2022,"outros",0,1,0,0,0,0,0,0,1
"120043",2023,"> 1500 g",0,1,0,1,0,0,0,0,2
"120043",2023,"> 1000 g",0,1,0,0,0,0,0,0,1
"120043",2023,"outros",0,1,0,0,0,0,0,0,1
"120045",2022,"> 1500 g",0,0,1,0,0,0,0,0,1
"120045",2022,"outros",0,0,1,0,0,0,0,0,1
"120045",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"120045",2023,"outros",0,0,1,0,0,0,0,0,1
"120045",2023,"> 1500 g",0,1,0,0,0,0,0,0,1
"120050",2022,"> 1000 g",0,1,2,0,0,0,0,0,3
"120050",2022,"outros",0,0,3,0,0,0,0,0,3
"120050",2022,"> 1500 g",2,0,0,2,0,0,0,0,4
"120050",2023,"> 1500 g",0,0,1,4,0,0,0,0,5
"120050",2023,"outros",0,0,3,2,0,0,0,0,5
"120060",2022,"> 1500 g",2,0,1,1,1,0,1,0,6
"120060",2022,"outros",1,0,4,0,0,0,0,0,5
"120060",2022,"> 1000 g",0,1,0,0,0,0,0,0,1
"120060",2023,"outros",1,1,2,0,0,0,1,0,5
"120060",2023,"> 1500 g",2,1,2,2,0,0,0,0,7
"120060",2023,"> 1000 g",0,1,0,0,0,0,0,0,1
"120070",2023,"> 1000 g",0,0,2,0,0,0,0,0,2
"120070",2023,"outros",0,2,0,0,0,0,0,0,2
"120070",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"120080",2022,"> 1000 g",1,0,0,0,0,0,1,0,2
"120080",2022,"> 1500 g",0,2,0,0,0,0,0,0,2
"120080",2022,"outros",0,2,0,0,0,0,0,0,2
"120080",2023,"> 1500 g",0,1,0,0,0,0,0,0,1
"120080",2023,"outros",0,1,0,0,0,0,0,0,1
"130002",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"130002",2022,"> 1500 g",1,2,1,0,0,0,0,0,4
"130002",2023,"outros",0,0,2,0,0,0,0,0,2
"130002",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"130006",2022,"> 1500 g",0,2,0,2,0,0,0,0,4
"130006",2023,"> 1500 g",1,0,0,0,0,0,1,0,2
"130006",2023,"> 1000 g",1,0,0,0,0,0,0,0,1
"130008",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"130008",2023,"> 1000 g",0,1,1,1,0,0,0,0,3
"130008",2023,"> 1500 g",1,0,0,1,0,0,0,0,2
"130010",2022,"outros",0,0,0,1,0,0,0,0,1
"130010",2022,"> 1500 g",0,1,0,0,0,0,0,0,1
"130010",2023,"> 1000 g",0,1,1,0,0,0,0,0,2
"130010",2023,"> 1500 g",1,0,1,2,0,0,0,0,4
"130014",2022,"> 1500 g",0,1,1,1,0,0,0,0,3
"130014",2022,"> 1000 g",0,0,0,1,0,0,0,0,1
"130014",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"130014",2023,"outros",0,0,0,1,0,0,0,0,1
"130020",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"130020",2022,"outros",0,0,1,0,0,0,0,0,1
"130020",2022,"> 1500 g",0,0,0,1,0,1,0,0,2
"130020",2023,"> 1500 g",0,2,0,1,0,0,1,0,4
"130020",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"130020",2023,"outros",0,0,1,0,0,0,0,0,1
"130030",2022,"> 1500 g",0,2,2,0,0,0,2,0,6
"130030",2022,"> 1000 g",0,1,1,0,0,0,0,0,2
"130030",2022,"outros",0,0,2,0,0,0,0,0,2
"130030",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"130030",2023,"> 1500 g",3,1,1,0,0,0,0,0,5
"130030",2023,"outros",0,0,0,1,0,0,0,0,1
"130040",2022,"> 1500 g",0,0,1,1,0,0,0,0,2
"130040",2022,"outros",0,1,0,0,0,0,0,0,1
"130040",2023,"outros",0,0,2,0,0,0,0,0,2
"130040",2023,"> 1500 g",2,0,0,0,0,0,0,0,2
"130040",2023,"> 1000 g",0,0,0,1,0,0,0,0,1
"130050",2022,"> 1500 g",1,2,0,1,0,0,0,0,4
"130050",2023,"outros",0,0,0,1,0,0,1,0,2
"130050",2023,"> 1000 g",0,0,2,0,0,0,0,0,2
"130050",2023,"> 1500 g",2,0,1,0,0,0,0,0,3
"130060",2022,"> 1500 g",1,1,0,1,1,0,1,0,5
"130060",2022,"outros",0,0,1,1,0,0,0,0,2
"130060",2023,"> 1500 g",2,3,0,2,1,0,1,0,9
"130060",2023,"> 1000 g",0,1,1,0,0,0,0,0,2
"130063",2022,"outros",0,0,2,0,0,0,0,0,2
"130063",2022,"> 1500 g",2,0,0,0,0,0,0,0,2
"130063",2022,"> 1000 g",0,1,0,0,0,0,0,0,1
"130063",2023,"> 1500 g",0,2,0,1,0,0,2,0,5
"130063",2023,"outros",0,0,1,1,0,0,0,0,2
"130068",2022,"> 1500 g",1,0,1,0,0,0,0,0,2
"130068",2023,"> 1500 g",1,1,1,0,0,0,0,0,3
"130068",2023,"> 1000 g",0,1,0,0,0,0,0,0,1
"130070",2022,"> 1000 g",0,0,0,0,0,0,1,0,1
"130070",2022,"> 1500 g",2,1,2,0,0,0,1,0,6
"130070",2023,"> 1500 g",1,0,0,0,0,0,1,0,2
