"codmunres","ano","faixa_de_peso","evitaveis_neonatal_outros","evitaveis_neonatal_recem_nascido","evitaveis_neonatal_mulher_gestacao","evitaveis_neonatal_parto","evitaveis_neonatal_tratamento","evitaveis_neonatal_saude","evitaveis_neonatal_mal_definidas","evitaveis_neonatal_imunoprevencao","obitos_neonatais_totais"
"211060",2022,"> 1000 g",1,0,0,0,0,0,0,0,1
"211060",2023,"outros",0,0,2,0,0,0,0,0,2
"211060",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"211065",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"211065",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"211065",2022,"outros",0,1,0,0,0,0,0,0,1
"211065",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"211070",2022,"> 1500 g",0,0,0,1,0,0,0,0,1
"211070",2023,"> 1500 g",3,0,1,0,0,0,0,0,4
"211070",2023,"> 1000 g",2,0,0,0,0,0,0,0,2
"211080",2023,"> 1500 g",0,0,0,1,0,0,0,0,1
"211080",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"211085",2022,"> 1500 g",1,1,0,0,0,0,0,0,2
"211085",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"211090",2023,"outros",0,0,1,0,0,0,0,0,1
"211090",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"211100",2022,"> 1500 g",1,0,1,0,0,0,0,0,2
"211100",2022,"outros",0,0,1,0,0,0,0,0,1
"211100",2022,"> 1000 g",0,0,0,1,0,0,0,0,1
"211100",2023,"> 1500 g",0,2,0,0,0,0,0,0,2
"211102",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"211102",2023,"> 1500 g",2,1,0,0,0,0,1,0,4
"211102",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"211105",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"211105",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"211107",2022,"> 1500 g",1,0,0,0,0,0,1,0,2
"211107",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"211110",2022,"> 1500 g",0,0,0,0,0,0,1,0,1
"211110",2022,"> 1000 g",1,0,0,0,0,0,0,0,1
"211110",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"211120",2022,"> 1000 g",2,0,1,0,0,0,0,0,3
"211120",2022,"> 1500 g",6,7,1,2,0,0,0,0,16
"211120",2022,"outros",0,2,12,1,0,1,0,0,16
"211120",2023,"> 1000 g",1,0,1,0,0,0,0,0,2
"211120",2023,"outros",0,4,13,2,0,0,0,0,19
"211120",2023,"> 1500 g",6,3,0,0,0,0,0,0,9
"211125",2022,"> 1500 g",0,1,0,0,0,0,0,0,1
"211125",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"211130",2022,"> 1000 g",4,7,7,1,0,0,0,0,19
"211130",2022,"> 1500 g",26,6,8,10,0,0,0,0,50
"211130",2022,"outros",9,11,78,7,0,1,0,0,106
"211130",2023,"> 1000 g",3,6,8,1,0,0,0,0,18
"211130",2023,"> 1500 g",21,7,9,5,0,2,0,0,44
"211130",2023,"outros",4,10,56,7,0,1,0,0,78
"211140",2022,"> 1500 g",2,0,0,1,0,0,0,0,3
"211140",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"211150",2022,"> 1000 g",0,1,0,0,0,0,0,0,1
"211150",2022,"> 1500 g",0,1,0,0,0,0,0,0,1
"211150",2023,"> 1500 g",1,0,1,0,0,0,0,0,2
"211150",2023,"outros",1,0,2,0,0,0,0,0,3
"211150",2023,"> 1000 g",2,0,0,0,0,0,0,0,2
"211153",2022,"> 1500 g",0,0,1,0,0,0,0,0,1
"211153",2022,"outros",0,0,2,0,0,0,0,0,2
"211153",2023,"> 1500 g",1,0,1,1,0,0,0,0,3
"211157",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"211157",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"211160",2022,"outros",1,0,0,0,0,0,0,0,1
"211160",2022,"> 1500 g",0,0,0,1,0,0,0,0,1
"211160",2023,"outros",0,0,0,0,0,0,1,0,1
"211160",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"211163",2022,"outros",0,0,0,1,0,0,0,0,1
"211163",2023,"> 1500 g",0,0,1,0,0,0,0,0,1
"211167",2022,"outros",0,0,2,0,0,0,0,0,2
"211167",2023,"> 1500 g",0,0,0,1,0,0,0,0,1
"211170",2022,"outros",0,1,2,0,0,0,0,0,3
"211170",2022,"> 1500 g",2,0,0,0,0,0,0,0,2
"211170",2023,"> 1000 g",1,0,0,0,0,0,0,0,1
"211170",2023,"> 1500 g",0,1,0,0,0,0,0,0,1
"211172",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"211172",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"211174",2022,"> 1500 g",1,1,0,0,0,0,0,0,2
"211174",2023,"> 1500 g",1,1,1,0,0,0,0,0,3
"211174",2023,"outros",0,1,0,0,0,0,0,0,1
"211176",2023,"outros",0,0,1,0,0,0,0,0,1
"211176",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"211178",2023,"> 1500 g",0,0,0,1,0,0,0,0,1
"211178",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"211180",2022,"> 1500 g",1,0,1,0,0,0,0,0,2
"211180",2022,"outros",0,1,0,0,0,0,0,0,1
"211180",2023,"> 1500 g",0,0,0,0,1,0,0,0,1
"211190",2022,"> 1000 g",0,1,0,0,0,0,0,0,1
"211190",2023,"> 1500 g",0,0,0,1,0,0,0,0,1
"211195",2022,"> 1500 g",0,0,0,1,0,0,0,0,1
"211195",2023,"> 1000 g",0,1,0,0,0,0,0,0,1
"211200",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"211200",2023,"> 1500 g",0,0,1,0,0,0,0,0,1
"211210",2022,"outros",0,0,1,0,0,0,0,0,1
"211210",2022,"> 1500 g",1,0,0,1,0,1,0,0,3
"211210",2023,"> 1500 g",0,1,0,1,0,0,0,0,2
"211220",2022,"> 1500 g",5,2,2,0,1,1,1,0,12
"211220",2022,"> 1000 g",1,0,1,0,0,0,0,0,2
"211220",2022,"outros",1,4,5,2,0,0,0,0,12
"211220",2023,"> 1000 g",0,1,2,0,0,0,0,0,3
"211220",2023,"> 1500 g",3,1,1,2,0,0,0,0,7
"211220",2023,"outros",1,2,5,0,0,0,0,0,8
"211223",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"211223",2022,"outros",1,0,1,0,0,0,0,0,2
"211223",2022,"> 1500 g",0,0,0,1,0,0,0,0,1
"211223",2023,"outros",0,0,1,0,0,0,0,0,1
"211223",2023,"> 1000 g",0,1,0,0,0,0,0,0,1
"211227",2023,"> 1000 g",0,0,2,0,0,0,0,0,2
"211227",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"211227",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"211230",2022,"> 1000 g",0,1,2,0,0,0,0,0,3
"211230",2022,"outros",0,0,1,0,0,0,0,0,1
"211230",2022,"> 1500 g",0,2,0,1,0,0,0,0,3
"211230",2023,"outros",1,0,2,0,0,0,0,0,3
"211230",2023,"> 1500 g",0,0,0,1,0,0,0,0,1
"211240",2022,"outros",0,0,2,0,0,0,0,0,2
"211240",2022,"> 1500 g",2,1,0,0,0,0,0,0,3
"211240",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"211240",2023,"outros",0,0,2,1,0,0,0,0,3
"211240",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"211245",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"211245",2022,"> 1500 g",0,1,0,2,0,0,0,0,3
"211245",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"211245",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"211245",2023,"outros",0,2,0,1,0,0,0,0,3
"211250",2022,"> 1500 g",3,0,1,0,0,0,0,0,4
"211250",2022,"outros",1,0,1,0,0,0,0,0,2
"211250",2022,"> 1000 g",1,0,0,0,0,0,0,0,1
"211250",2023,"outros",1,0,1,0,0,0,0,0,2
"211250",2023,"> 1000 g",1,0,0,0,0,0,0,0,1
"211250",2023,"> 1500 g",3,4,0,0,0,0,0,0,7
"211260",2022,"outros",1,0,0,0,0,0,1,0,2
"211260",2022,"> 1000 g",1,0,1,0,0,0,0,0,2
"211260",2022,"> 1500 g",1,0,1,0,0,1,0,0,3
"211260",2023,"outros",0,0,4,0,0,0,1,0,5
"211260",2023,"> 1500 g",2,0,0,1,0,0,0,0,3
"211270",2022,"outros",1,0,2,0,0,0,0,0,3
"211270",2022,"> 1500 g",2,1,0,0,0,0,0,0,3
"211270",2023,"outros",0,1,1,0,0,0,0,0,2
"211270",2023,"> 1500 g",1,1,0,1,0,0,0,0,3
"211280",2022,"> 1500 g",1,1,2,1,0,0,0,0,5
"211280",2022,"outros",1,0,2,0,0,0,0,0,3
"211280",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"211280",2023,"> 1500 g",1,3,1,0,0,0,0,0,5
"211280",2023,"outros",0,1,2,0,0,0,0,0,3
"211285",2023,"> 1500 g",1,0,0,0,0,0,1,0,2
"211285",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"211290",2022,"outros",0,0,1,0,0,0,0,0,1
"211290",2023,"outros",0,1,3,0,0,0,0,0,4
"211290",2023,"> 1500 g",0,1,0,0,0,0,0,0,1
"211300",2022,"outros",0,2,2,0,0,0,0,0,4
"211300",2022,"> 1500 g",0,0,0,1,0,0,0,0,1
"211300",2023,"> 1500 g",0,1,1,0,0,0,0,0,2
"211300",2023,"outros",0,0,0,0,0,1,0,0,1
"211400",2022,"> 1500 g",1,1,0,0,0,0,0,0,2
"211400",2022,"> 1000 g",0,0,0,1,0,0,0,0,1
"211400",2022,"outros",0,0,0,2,0,0,0,0,2
"211400",2023,"> 1000 g",0,0,2,0,0,0,0,0,2
"211400",2023,"outros",0,0,2,0,0,0,0,0,2
"220005",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"220005",2023,"outros",0,0,1,0,0,0,0,0,1
"220010",2022,"outros",0,0,2,0,0,0,0,0,2
"220010",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220020",2022,"outros",0,0,1,0,0,0,0,0,1
"220020",2022,"> 1000 g",1,0,0,0,0,0,0,0,1
"220020",2023,"outros",0,0,1,0,0,0,0,0,1
"220020",2023,"> 1000 g",1,0,0,0,0,0,0,0,1
"220025",2022,"> 1500 g",0,1,0,0,0,0,0,0,1
"220025",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220027",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220027",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220030",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"220030",2023,"> 1500 g",0,0,1,0,0,0,0,0,1
"220030",2023,"outros",0,0,1,0,0,0,0,0,1
"220040",2022,"> 1500 g",1,0,1,0,0,0,0,0,2
"220040",2022,"outros",0,0,1,0,0,0,0,0,1
"220040",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"220040",2023,"> 1500 g",1,0,1,1,0,0,0,0,3
"220040",2023,"outros",1,1,2,0,0,0,0,0,4
"220045",2022,"> 1500 g",0,1,0,0,0,0,0,0,1
"220045",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220050",2022,"outros",0,0,1,0,0,0,0,0,1
"220050",2022,"> 1000 g",0,1,0,0,0,0,0,0,1
"220050",2023,"> 1500 g",0,1,1,0,0,0,1,0,3
"220050",2023,"> 1000 g",0,0,2,0,0,0,0,0,2
"220060",2022,"outros",0,0,1,0,0,0,0,0,1
"220060",2023,"> 1500 g",1,1,0,0,0,0,0,0,2
"220070",2023,"> 1500 g",0,1,2,0,0,0,0,0,3
"220070",2023,"outros",0,0,1,0,0,0,0,0,1
"220070",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220080",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220080",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220090",2023,"outros",0,0,2,0,0,0,0,0,2
"220090",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220095",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"220095",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220100",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"220100",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"220105",2022,"> 1500 g",1,0,0,1,0,0,0,0,2
"220105",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220110",2023,"> 1500 g",0,1,0,0,0,0,0,0,1
"220110",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220115",2022,"outros",0,1,1,0,0,0,0,0,2
"220115",2022,"> 1500 g",0,0,0,1,0,0,0,0,1
"220115",2023,"outros",0,0,0,1,0,0,0,0,1
"220117",2022,"> 1500 g",0,0,1,0,0,0,1,0,2
"220117",2023,"outros",0,0,1,0,0,0,0,0,1
"220120",2022,"> 1500 g",0,0,1,2,0,0,0,0,3
"220120",2022,"outros",1,0,0,0,0,0,0,0,1
"220120",2022,"> 1000 g",0,0,0,1,0,0,0,0,1
"220120",2023,"> 1500 g",1,0,1,2,0,0,0,0,4
"220130",2023,"> 1000 g",0,1,0,0,0,0,0,0,1
"220130",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220140",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220140",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220150",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"220150",2022,"> 1500 g",1,0,1,1,0,0,0,0,3
"220150",2022,"outros",0,0,0,2,0,0,0,0,2
"220150",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"220155",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220155",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220157",2022,"> 1000 g",1,0,0,0,0,0,0,0,1
"220157",2023,"outros",0,0,0,1,0,0,0,0,1
"220160",2023,"> 1000 g",0,0,0,1,0,0,0,0,1
"220160",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220170",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220170",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220173",2022,"> 1500 g",1,0,1,0,0,0,0,0,2
"220173",2022,"outros",0,0,1,0,0,0,0,0,1
"220173",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220177",2022,"outros",0,0,1,1,0,0,0,0,2
"220177",2023,"> 1000 g",0,0,1,1,0,0,0,0,2
"220180",2023,"> 1500 g",0,0,0,1,0,0,0,0,1
"220180",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220190",2022,"> 1000 g",1,0,1,0,0,0,0,0,2
"220190",2022,"outros",0,1,1,0,0,0,0,0,2
"220190",2022,"> 1500 g",2,0,0,0,0,0,0,0,2
"220190",2023,"outros",0,2,0,1,0,0,0,0,3
"220190",2023,"> 1000 g",0,1,0,0,0,0,0,0,1
"220191",2022,"> 1500 g",0,1,0,0,0,0,0,0,1
"220191",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"220192",2023,"outros",0,1,0,0,0,0,0,0,1
"220192",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220194",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220194",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220196",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220196",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220198",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220198",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220200",2022,"outros",0,1,0,0,0,0,0,0,1
"220200",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220202",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"220202",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220205",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"220205",2022,"> 1500 g",1,1,0,0,0,0,0,0,2
"220205",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220207",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220207",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220208",2023,"> 1000 g",0,1,0,0,0,0,0,0,1
"220208",2023,"outros",0,1,0,0,0,0,0,0,1
"220208",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220209",2022,"outros",0,0,1,0,0,0,0,0,1
"220209",2023,"> 1500 g",0,1,0,0,0,0,0,0,1
"220210",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"220210",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220211",2022,"> 1500 g",0,0,1,0,0,0,0,0,1
"220211",2022,"outros",0,0,0,2,0,0,0,0,2
"220211",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220213",2023,"> 1500 g",0,0,0,1,0,0,0,0,1
"220213",2023,"outros",0,1,0,0,0,0,0,0,1
"220213",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220217",2023,"outros",0,1,0,0,0,0,0,0,1
"220217",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220220",2022,"> 1500 g",2,0,0,0,0,0,0,0,2
"220220",2023,"outros",1,0,0,1,0,0,0,0,2
"220220",2023,"> 1000 g",0,0,0,1,0,0,0,0,1
"220220",2023,"> 1500 g",0,1,0,0,0,1,0,0,2
"220225",2023,"> 1500 g",0,0,0,1,0,0,0,0,1
"220225",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220230",2022,"outros",1,0,0,0,0,0,0,0,1
"220230",2022,"> 1500 g",0,1,0,0,0,0,0,0,1
"220230",2023,"> 1500 g",0,1,0,0,0,0,0,0,1
"220230",2023,"outros",0,1,0,0,0,0,0,0,1
"220240",2023,"> 1500 g",0,0,0,1,0,0,0,0,1
"220240",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220245",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220245",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220250",2022,"> 1500 g",0,0,1,0,0,0,0,0,1
"220250",2023,"> 1500 g",1,1,0,0,0,0,0,0,2
"220253",2023,"outros",0,0,1,0,0,0,0,0,1
"220253",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220255",2022,"outros",0,0,2,0,0,0,0,0,2
"220255",2023,"outros",0,0,1,0,0,0,0,0,1
"220260",2022,"> 1500 g",0,1,1,1,0,0,0,0,3
"220260",2022,"outros",0,0,1,0,0,0,0,0,1
"220260",2023,"> 1500 g",0,0,1,0,0,0,0,0,1
"220265",2022,"outros",0,0,0,1,0,0,0,0,1
"220265",2023,"outros",0,0,1,0,0,0,0,0,1
"220270",2022,"> 1500 g",1,0,0,2,0,0,0,0,3
"220270",2022,"outros",0,1,0,0,0,0,0,0,1
"220270",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"220270",2023,"> 1500 g",2,0,0,0,0,0,0,0,2
"220271",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"220271",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220272",2023,"> 1500 g",0,0,1,0,0,0,0,0,1
"220272",2023,"outros",1,0,0,0,0,0,0,0,1
"220272",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220273",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"220273",2023,"outros",0,0,1,0,0,0,0,0,1
"220273",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"220275",2022,"outros",0,0,1,0,0,0,0,0,1
"220275",2023,"> 1500 g",0,0,0,1,0,0,0,0,1
"220277",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"220277",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220280",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220280",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220285",2022,"> 1000 g",0,0,0,1,0,0,0,0,1
"220285",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220290",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"220290",2022,"outros",0,0,1,0,0,0,0,0,1
"220290",2022,"> 1500 g",1,1,0,1,0,0,0,0,3
"220290",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"220290",2023,"> 1500 g",0,3,0,2,0,0,0,0,5
"220300",2022,"outros",0,1,0,0,0,0,0,0,1
"220300",2023,"> 1500 g",0,0,0,0,0,0,1,0,1
"220310",2022,"> 1500 g",0,0,1,0,0,0,0,0,1
"220310",2023,"> 1500 g",0,1,0,1,0,0,0,0,2
"220320",2022,"> 1500 g",0,0,1,1,0,0,0,0,2
"220320",2022,"outros",0,0,1,0,0,0,0,0,1
"220320",2023,"> 1500 g",1,0,0,1,0,0,0,0,2
"220320",2023,"outros",1,0,0,0,0,0,0,0,1
"220323",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220323",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220325",2022,"> 1000 g",0,0,0,1,0,0,0,0,1
"220325",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220327",2022,"outros",0,1,0,0,0,0,0,0,1
"220327",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"220330",2023,"> 1500 g",1,0,1,0,0,0,0,0,2
"220330",2023,"outros",0,0,3,0,0,0,0,0,3
"220330",2023,"> 1000 g",1,1,0,0,0,0,0,0,2
"220330",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220335",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"220335",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"220340",2022,"outros",0,0,1,0,0,0,0,0,1
"220340",2023,"> 1000 g",0,1,0,0,0,0,0,0,1
"220340",2023,"> 1500 g",0,1,0,0,0,0,0,0,1
"220342",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220342",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220345",2023,"> 1000 g",0,1,0,0,0,0,0,0,1
"220345",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220350",2022,"outros",0,0,1,0,0,0,0,0,1
"220350",2022,"> 1000 g",1,0,0,0,0,0,0,0,1
"220350",2022,"> 1500 g",0,1,0,0,0,0,0,0,1
"220350",2023,"outros",1,0,0,0,0,0,0,0,1
"220360",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220360",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220370",2022,"> 1000 g",1,0,1,0,0,0,0,0,2
"220370",2022,"outros",1,0,1,0,0,0,0,0,2
"220370",2022,"> 1500 g",0,0,0,1,0,0,0,0,1
"220370",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"220370",2023,"> 1500 g",1,0,1,0,0,0,0,0,2
"220375",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"220375",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220380",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220380",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220385",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220385",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220390",2022,"outros",0,0,2,1,0,0,0,0,3
"220390",2022,"> 1000 g",1,0,0,0,0,0,0,0,1
"220390",2022,"> 1500 g",3,0,0,1,0,0,0,0,4
"220390",2023,"> 1500 g",0,1,0,0,0,0,0,0,1
"220390",2023,"outros",0,4,0,0,0,0,0,0,4
"220400",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220400",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220410",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220410",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220415",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220415",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220420",2022,"> 1500 g",0,0,0,1,0,0,0,0,1
"220420",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"220430",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220430",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220435",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"220435",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"220440",2022,"> 1500 g",0,0,1,0,0,0,0,0,1
"220440",2023,"> 1000 g",0,0,0,1,0,0,0,0,1
"220450",2022,"outros",0,0,1,0,0,0,0,0,1
"220450",2023,"> 1500 g",1,1,0,0,0,0,0,0,2
"220455",2022,"outros",0,1,0,0,0,0,0,0,1
"220455",2023,"> 1500 g",0,1,0,0,0,0,0,0,1
"220460",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"220460",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"220460",2023,"> 1000 g",0,1,0,0,0,0,0,0,1
"220465",2022,"> 1500 g",1,0,0,1,0,0,0,0,2
"220465",2023,"> 1500 g",0,0,0,1,0,0,0,0,1
"220470",2022,"> 1500 g",0,1,1,0,0,0,0,0,2
"220470",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220480",2022,"> 1500 g",0,0,0,1,0,0,0,0,1
"220480",2023,"> 1000 g",1,0,0,0,0,0,0,0,1
"220490",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"220490",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220500",2023,"outros",0,0,1,0,0,0,0,0,1
"220500",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220510",2022,"> 1500 g",0,0,0,1,0,0,0,0,1
"220510",2022,"outros",0,1,0,0,0,1,0,0,2
"220510",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220515",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220515",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220520",2022,"outros",0,0,2,0,0,0,0,0,2
"220520",2022,"> 1500 g",1,0,0,1,0,0,0,0,2
"220520",2022,"> 1000 g",0,0,0,1,0,0,0,0,1
"220520",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"220520",2023,"outros",0,1,0,0,0,0,0,0,1
"220525",2023,"> 1500 g",0,0,0,1,0,0,0,0,1
"220525",2023,"> 1000 g",0,1,0,0,0,0,0,0,1
"220525",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220527",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220527",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"220530",2023,"outros",0,0,1,0,0,0,0,0,1
"220530",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220535",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"220535",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220540",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"220540",2022,"> 1500 g",0,0,1,0,0,0,0,0,1
"220540",2023,"> 1500 g",0,1,0,0,0,0,0,0,1
"220545",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"220545",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"220545",2023,"outros",0,0,0,1,0,0,0,0,1
"220545",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"220550",2022,"> 1000 g",0,0,2,0,0,0,0,0,2
"220550",2022,"> 1500 g",2,0,1,0,0,0,0,0,3
"220550",2022,"outros",0,1,0,2,0,1,0,0,4
"220550",2023,"> 1500 g",3,0,1,0,0,0,0,0,4
"220550",2023,"outros",3,0,0,0,0,0,0,0,3
"220551",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"220551",2023,"> 1500 g",0,0,1,0,0,0,0,0,1
"220552",2022,"> 1500 g",0,0,1,1,0,0,0,0,2
"220552",2022,"outros",1,0,0,0,0,0,0,0,1
"220552",2023,"> 1500 g",0,1,0,0,0,0,0,0,1
"220553",2023,"outros",0,0,1,0,0,0,0,0,1
"220553",2023,"> 1500 g",0,0,0,1,0,0,0,0,1
"220553",2022,"não se aplica",0,0,0,0,0,0,0,0,0
