"codmunres","ano","total_de_nascidos_vivos","nascidos_vivos_com_baixo_peso","nascidos_vivos_prematuros","nascidos_vivos_termo_precoce","nascidos_vivos_peso_menor_1500","nascidos_vivos_peso_1500_a_1999","nascidos_vivos_peso_2000_a_2499","nascidos_vivos_menos_de_28_semanas","nascidos_vivos_28_a_32_semanas","nascidos_vivos_33_a_34_semanas","nascidos_vivos_35_a_36_semanas","nascidos_condicoes_ameacadoras"
"110001",2012,386,11,29,106,0,4,7,0,0,10,19,3
"110001",2013,382,15,23,106,2,2,11,1,4,3,15,9
"110001",2014,341,28,28,89,5,5,18,0,6,3,19,8
"110001",2015,373,22,36,105,5,2,15,3,5,8,20,6
"110001",2016,326,22,35,96,3,9,10,2,7,5,21,6
"110001",2017,354,23,17,120,3,0,20,0,1,5,10,4
"110001",2018,408,24,40,129,2,7,15,0,4,10,26,5
"110001",2019,367,26,33,126,4,6,16,1,2,10,20,7
"110001",2020,333,14,21,128,1,7,6,0,5,3,13,3
"110001",2021,357,27,37,148,5,8,14,1,1,8,27,7
"110001",2022,368,30,45,137,5,2,23,0,5,12,28,9
"110002",2012,1339,87,128,385,12,17,58,4,21,20,82,31
"110002",2013,1654,129,149,513,21,16,92,4,21,34,90,34
"110002",2014,1647,114,132,631,17,22,75,9,9,32,82,32
"110002",2015,1783,109,130,495,18,21,70,4,12,34,80,28
"110002",2016,1662,121,94,97,16,22,83,0,22,18,54,53
"110002",2017,1724,122,76,74,17,26,79,4,11,14,47,29
"110002",2018,1682,102,102,466,18,20,64,9,5,15,73,27
"110002",2019,1729,93,119,582,15,15,63,6,15,18,80,28
"110002",2020,1507,113,162,516,17,19,77,4,19,32,107,37
"110002",2021,1545,107,158,563,22,23,62,11,23,29,95,45
"110002",2022,1505,127,175,532,25,27,75,14,25,38,98,59
"110003",2012,64,4,6,22,1,0,3,0,1,1,4,2
"110003",2013,74,5,4,30,1,1,3,1,0,0,3,1
"110003",2014,75,7,10,21,0,0,7,0,4,1,5,5
"110003",2015,86,2,4,28,0,1,1,0,0,1,3,1
"110003",2016,73,5,4,22,0,0,5,0,0,1,3,0
"110003",2017,67,3,6,18,0,0,3,0,0,0,6,1
"110003",2018,82,7,7,29,1,0,6,0,1,3,3,1
"110003",2019,80,2,4,24,0,0,2,0,0,0,4,0
"110003",2020,69,7,10,17,0,2,5,0,0,5,5,1
"110003",2021,68,5,7,20,1,1,3,0,0,1,6,1
"110003",2022,64,3,4,19,0,0,3,0,0,1,3,1
"110004",2012,1201,78,126,454,8,17,53,2,11,26,85,17
"110004",2013,1185,76,132,447,9,15,52,2,19,25,86,26
"110004",2014,1307,109,181,451,15,21,73,3,20,45,113,26
"110004",2015,1360,99,157,495,11,17,71,6,13,36,102,21
"110004",2016,1338,76,139,513,13,7,56,8,15,28,88,22
"110004",2017,1452,100,145,518,13,9,78,7,16,38,84,25
"110004",2018,1446,81,139,527,6,14,61,2,16,26,95,21
"110004",2019,1374,76,141,478,11,13,52,4,16,28,93,22
"110004",2020,1325,102,173,495,24,16,62,9,23,29,112,43
"110004",2021,1366,90,174,521,14,19,57,6,29,41,98,42
"110004",2022,1353,105,192,519,8,25,72,5,16,47,124,26
"110005",2012,245,13,21,71,0,5,8,0,2,3,11,3
"110005",2013,271,10,14,79,0,1,9,0,2,0,12,1
"110005",2014,250,16,16,103,1,2,13,0,2,4,10,6
"110005",2015,277,17,14,87,1,0,16,0,1,0,13,2
"110005",2016,263,18,25,71,5,4,9,0,9,1,15,7
"110005",2017,277,24,21,91,3,3,18,0,3,1,17,5
"110005",2018,264,20,24,87,3,3,14,1,2,6,15,4
"110005",2019,237,25,26,70,6,5,14,1,4,5,16,7
"110005",2020,269,9,9,91,1,1,7,0,2,3,4,2
"110005",2021,251,13,20,67,3,1,9,2,2,4,12,4
"110005",2022,272,17,24,73,2,3,12,1,1,2,20,2
"110006",2012,214,15,19,39,2,3,10,0,1,4,6,3
"110006",2013,256,18,23,78,0,3,15,0,2,6,14,3
"110006",2014,273,16,14,122,0,2,14,2,0,5,7,3
"110006",2015,251,20,19,97,4,6,10,0,8,1,10,4
"110006",2016,223,12,11,87,0,3,9,0,0,3,8,1
"110006",2017,243,12,10,78,2,1,9,0,3,2,5,4
"110006",2018,235,19,20,78,2,7,10,0,3,4,13,4
"110006",2019,214,22,12,71,4,5,13,2,0,3,7,4
"110006",2020,203,14,18,71,3,4,7,1,1,1,15,3
"110006",2021,231,18,20,65,2,3,13,0,2,6,12,3
"110006",2022,205,15,22,70,4,2,9,3,1,1,17,4
"110007",2012,116,9,12,20,0,2,7,0,0,5,5,3
"110007",2013,116,9,9,37,3,1,5,1,2,1,5,3
"110007",2014,125,5,5,59,1,1,3,0,0,0,5,1
"110007",2015,111,5,1,33,0,1,4,0,0,0,1,0
"110007",2016,139,9,8,37,2,3,4,2,0,1,5,2
"110007",2017,87,8,4,31,2,1,5,1,1,1,1,2
"110007",2018,129,6,6,30,1,3,2,0,2,1,3,1
"110007",2019,127,4,7,29,2,0,2,0,1,1,5,2
"110007",2020,107,6,5,37,1,2,3,0,2,0,3,2
"110007",2021,118,9,10,24,5,1,3,2,3,3,2,5
"110007",2022,103,9,9,25,1,1,7,0,2,2,5,1
"110008",2012,234,6,19,56,1,1,4,0,3,3,6,6
"110008",2013,234,14,16,55,3,3,8,2,1,4,9,7
"110008",2014,267,21,39,74,2,3,16,0,4,6,29,5
"110008",2015,245,16,29,58,2,2,12,2,2,5,20,8
"110008",2016,213,16,23,68,3,3,10,2,4,1,16,7
"110008",2017,216,12,18,58,5,1,6,3,2,1,12,8
"110008",2018,246,15,18,64,2,1,12,0,1,5,12,4
"110008",2019,233,14,23,62,4,3,7,4,5,2,12,10
"110008",2020,190,13,26,54,4,2,7,3,0,3,20,7
"110008",2021,195,13,17,56,3,3,7,1,0,4,12,6
"110008",2022,218,13,28,64,4,4,5,2,2,5,19,9
"110009",2012,476,27,35,107,3,3,21,2,3,9,21,10
"110009",2013,463,27,45,113,6,3,18,1,7,14,23,15
"110009",2014,496,29,41,131,1,5,23,2,10,9,20,10
"110009",2015,548,27,47,127,3,5,19,2,8,5,32,14
"110009",2016,486,45,50,132,3,11,31,1,5,16,28,10
"110009",2017,533,22,30,125,4,6,12,1,10,7,12,12
"110009",2018,476,20,30,106,2,3,15,1,4,7,18,5
"110009",2019,450,30,36,97,4,7,19,2,3,11,20,11
"110009",2020,471,30,55,109,2,8,20,2,3,16,34,4
"110009",2021,485,37,55,132,5,8,24,2,2,14,37,10
"110009",2022,462,43,55,148,5,9,29,0,5,15,35,11
"110010",2012,940,64,124,248,7,8,49,2,11,28,83,16
"110010",2013,879,61,134,179,8,13,40,5,20,26,83,28
"110010",2014,923,54,129,211,8,7,39,3,27,28,71,30
"110010",2015,831,52,129,168,10,15,27,7,22,38,62,31
"110010",2016,884,62,138,196,8,13,41,4,27,37,70,27
"110010",2017,842,54,124,178,5,11,38,0,19,34,71,15
"110010",2018,926,52,114,184,5,9,38,4,14,27,69,12
"110010",2019,781,45,120,182,8,8,29,3,11,38,68,12
"110010",2020,858,59,137,218,12,11,36,4,16,43,74,22
"110010",2021,834,43,121,235,4,9,30,1,14,36,70,8
"110010",2022,748,41,110,217,9,6,26,1,11,25,73,15
"110011",2012,808,55,89,246,6,11,38,3,6,26,54,13
"110011",2013,914,66,89,289,9,5,52,1,5,27,56,15
"110011",2014,867,43,38,259,8,10,25,1,5,5,27,10
"110011",2015,788,48,40,245,6,4,38,1,5,9,25,8
"110011",2016,807,48,47,265,5,5,38,4,2,9,32,9
"110011",2017,846,66,50,273,9,9,48,3,9,9,29,18
"110011",2018,911,60,55,320,10,13,37,1,8,3,43,12
"110011",2019,881,50,72,286,5,6,39,1,4,17,50,11
"110011",2020,892,70,101,330,8,15,47,2,10,26,63,14
"110011",2021,920,78,114,312,11,17,50,4,16,24,70,17
"110011",2022,890,72,105,312,7,12,53,3,18,23,61,14
"110012",2012,2075,122,176,574,15,14,93,12,22,43,99,41
"110012",2013,1971,118,173,603,26,17,75,8,12,29,124,38
"110012",2014,1956,120,191,561,17,20,83,1,21,49,120,33
"110012",2015,2094,141,201,669,20,36,85,6,24,53,118,40
"110012",2016,1976,115,216,644,20,26,69,9,26,49,132,43
"110012",2017,2050,126,171,465,27,28,71,8,25,29,109,55
"110012",2018,2278,172,244,652,26,35,111,8,39,48,149,68
"110012",2019,2182,141,193,604,23,21,97,4,32,50,107,56
"110012",2020,2133,122,224,620,20,31,71,7,26,45,146,51
"110012",2021,1972,152,251,615,23,31,98,8,33,56,154,58
"110012",2022,2010,154,265,672,23,25,106,14,31,51,169,63
"110013",2012,542,45,60,176,2,5,38,1,6,20,32,10
"110013",2013,514,29,49,149,4,6,19,2,6,14,27,13
"110013",2014,507,33,52,147,4,4,25,2,5,7,38,8
"110013",2015,480,38,54,122,4,7,27,0,5,6,43,12
"110013",2016,398,33,40,80,8,7,18,1,7,5,27,15
"110013",2017,449,35,32,77,4,6,25,0,7,9,16,10
"110013",2018,517,33,48,165,9,2,22,1,2,7,38,20
"110013",2019,500,45,71,126,12,9,24,3,10,18,40,27
"110013",2020,561,27,58,173,7,5,15,1,8,13,36,19
"110013",2021,468,33,46,145,5,5,23,2,9,7,28,26
"110013",2022,498,39,49,184,11,6,22,4,3,10,32,19
"110014",2012,271,23,31,89,2,7,14,0,4,4,23,6
"110014",2013,278,15,26,119,2,0,13,1,4,4,17,7
"110014",2014,254,12,22,113,2,2,8,0,1,2,19,5
"110014",2015,256,14,26,111,5,3,6,2,4,3,17,10
"110014",2016,276,6,22,97,0,0,6,0,1,7,14,3
"110014",2017,224,11,20,80,0,0,11,0,0,5,15,1
"110014",2018,290,18,22,117,0,2,16,0,1,4,17,4
"110014",2019,261,20,27,91,6,2,12,2,2,4,19,10
"110014",2020,230,11,16,92,3,1,7,0,2,3,11,6
"110014",2021,233,19,19,92,3,3,13,3,0,2,14,5
"110014",2022,236,16,22,112,4,1,11,2,2,1,17,7
"110015",2012,647,35,54,148,4,5,26,3,5,9,33,18
"110015",2013,639,39,64,232,4,3,32,1,7,12,44,12
"110015",2014,674,50,42,105,5,10,35,1,11,8,22,11
"110015",2015,767,38,46,230,7,5,26,3,6,7,30,13
"110015",2016,582,33,53,219,3,9,21,0,3,13,37,12
"110015",2017,578,35,58,202,5,4,26,3,4,15,36,11
"110015",2018,614,45,56,235,7,5,33,1,5,12,38,11
"110015",2019,631,41,60,243,4,10,27,0,5,13,42,11
"110015",2020,600,50,58,255,5,7,38,0,3,14,41,11
"110015",2021,538,33,50,202,1,5,27,1,3,10,36,8
"110015",2022,532,42,67,213,2,6,34,0,6,21,40,8
"110018",2012,553,29,52,189,6,9,14,1,9,11,31,18
"110018",2013,581,33,64,216,3,4,26,0,4,12,48,7
"110018",2014,597,38,68,208,7,11,20,1,11,15,41,16
"110018",2015,594,37,59,205,7,5,25,3,3,11,42,14
"110018",2016,601,39,57,222,4,5,30,2,5,11,39,12
"110018",2017,615,43,62,214,7,4,32,0,5,14,43,9
"110018",2018,651,39,51,221,1,11,27,0,4,10,37,5
"110018",2019,616,30,47,223,4,2,24,1,5,8,33,9
"110018",2020,579,40,58,205,5,6,29,0,7,14,37,9
"110018",2021,573,36,61,194,6,7,23,3,7,9,42,10
"110018",2022,587,39,57,195,10,9,20,3,5,18,31,16
"110020",2012,8941,637,938,1938,103,118,416,34,131,249,524,188
"110020",2013,8927,611,868,1792,99,126,386,37,136,220,472,185
"110020",2014,9130,645,795,1599,103,140,402,35,126,203,431,178
"110020",2015,9093,687,919,2037,120,155,412,30,109,238,542,196
"110020",2016,8611,663,851,2143,122,136,405,33,111,205,502,204
"110020",2017,8800,614,794,2058,101,107,406,31,88,160,515,165
"110020",2018,8752,657,907,2158,93,152,412,36,130,188,553,167
"110020",2019,8437,687,813,2167,120,146,421,39,109,166,499,190
"110020",2020,7893,611,783,2051,121,135,355,29,111,184,459,177
"110020",2021,7703,652,800,2094,123,122,407,33,119,154,494,192
"110020",2022,7354,712,789,2039,110,148,454,37,116,180,456,173
"110025",2012,243,15,21,54,1,1,13,1,2,3,15,3
"110025",2013,258,18,21,93,2,4,12,0,4,3,14,4
"110025",2014,289,10,16,86,3,1,6,1,1,2,12,3
"110025",2015,262,19,20,101,4,1,14,1,2,3,14,6
"110025",2016,276,18,23,90,1,2,15,0,2,8,13,6
"110025",2017,289,31,35,100,4,4,23,1,4,14,16,10
"110025",2018,294,22,28,121,2,2,18,0,1,4,23,6
"110025",2019,304,29,41,105,4,7,18,1,8,4,28,8
"110025",2020,259,18,31,113,3,2,13,0,4,8,19,7
"110025",2021,254,24,36,119,5,3,16,2,5,8,21,8
"110025",2022,294,28,45,141,5,5,18,2,4,6,33,9
"110026",2012,41,3,3,16,0,1,2,0,0,0,3,0
"110026",2013,38,1,0,11,0,0,1,0,0,0,0,0
"110026",2014,36,2,3,18,0,1,1,0,0,0,3,1
"110026",2015,36,4,1,8,1,1,2,0,1,0,0,1
"110026",2016,35,1,1,2,0,0,1,0,0,0,1,0
"110026",2017,49,1,1,2,1,0,0,0,0,1,0,1
"110026",2018,46,3,5,17,1,1,1,0,1,1,3,2
"110026",2019,50,7,7,27,1,1,5,0,1,1,5,2
"110026",2020,48,3,7,21,0,0,3,0,0,1,6,0
"110026",2021,48,1,1,23,0,1,0,0,0,0,1,0
"110026",2022,35,1,4,14,0,0,1,0,0,0,4,1
"110028",2012,927,81,106,246,10,14,57,2,12,22,70,19
"110028",2013,879,52,84,261,8,8,36,7,10,17,48,13
"110028",2014,947,46,74,289,3,12,31,2,9,19,44,11
"110028",2015,936,53,73,272,11,8,34,6,11,14,42,21
"110028",2016,855,61,89,285,6,12,43,1,10,11,67,10
"110028",2017,963,54,81,319,7,12,35,1,5,21,54,10
"110028",2018,900,62,76,308,9,6,47,0,7,9,60,14
"110028",2019,927,59,94,322,9,13,37,2,8,17,67,13
"110028",2020,877,57,89,310,8,14,35,5,12,18,54,18
"110028",2021,816,44,72,299,8,8,28,1,10,22,39,11
"110028",2022,835,79,93,299,8,20,51,3,13,26,51,15
"110029",2012,118,3,10,36,0,0,3,0,1,5,3,0
"110029",2013,98,6,9,30,0,1,5,0,1,2,6,2
"110029",2014,103,1,9,30,0,0,1,0,0,2,7,2
"110029",2015,109,10,13,31,0,2,8,0,3,3,7,3
"110029",2016,114,9,14,45,2,2,5,0,1,4,9,3
"110029",2017,112,8,7,33,4,0,4,0,0,1,6,4
"110029",2018,103,5,12,31,1,1,3,0,1,2,9,2
"110029",2019,99,7,7,39,0,1,6,0,1,3,3,0
"110029",2020,99,6,6,43,0,2,4,0,1,0,5,1
"110029",2021,78,8,10,28,0,2,6,0,1,2,7,0
"110029",2022,73,4,3,27,0,1,3,0,1,1,1,1
"110030",2012,1269,108,133,336,21,20,67,3,15,27,73,31
"110030",2013,1388,93,140,374,5,16,72,1,21,32,86,19
"110030",2014,1418,95,103,537,7,16,72,3,10,19,71,18
"110030",2015,1535,118,76,587,14,20,84,3,10,16,47,21
"110030",2016,1427,117,83,515,18,20,79,4,19,16,44,26
"110030",2017,1465,110,94,525,15,20,75,3,11,26,54,21
"110030",2018,1557,100,113,515,17,21,62,8,14,21,70,24
"110030",2019,1590,131,126,484,18,30,83,3,15,38,70,24
"110030",2020,1553,123,145,465,19,23,81,4,17,34,90,27
"110030",2021,1623,149,156,455,28,28,93,2,28,24,102,43
"110030",2022,1527,113,121,487,15,23,75,6,18,23,74,21
"110032",2012,313,16,27,73,1,2,13,1,2,8,16,2
"110032",2013,355,20,28,111,2,7,11,0,2,11,15,2
"110032",2014,364,19,34,95,3,5,11,1,2,11,20,7
"110032",2015,311,18,27,91,2,3,13,0,1,4,22,6
"110032",2016,337,20,18,88,4,3,13,1,0,5,12,7
"110032",2017,372,23,29,130,4,4,15,2,3,3,21,4
"110032",2018,391,30,33,125,2,4,24,1,2,6,24,7
"110032",2019,353,17,26,139,5,4,8,2,5,4,15,8
"110032",2020,363,33,24,142,5,4,24,3,3,3,15,9
"110032",2021,344,16,27,131,2,2,12,2,4,4,17,7
"110032",2022,388,28,20,146,4,6,18,0,3,9,8,8
"110033",2012,383,26,61,101,0,3,23,0,3,17,41,4
"110033",2013,416,20,36,121,3,5,12,0,6,9,21,7
"110033",2014,425,27,40,119,2,5,20,0,5,9,26,6
"110033",2015,404,24,49,97,3,3,18,3,7,10,29,13
"110033",2016,411,22,34,127,3,3,16,0,4,6,24,7
"110033",2017,487,33,45,143,3,5,25,3,3,13,26,7
"110033",2018,482,32,35,115,5,8,19,2,2,12,19,8
"110033",2019,432,32,39,125,3,9,20,1,4,14,20,8
"110033",2020,423,21,43,145,1,6,14,0,3,11,29,6
"110033",2021,469,28,47,166,3,6,19,1,6,12,28,6
"110033",2022,464,28,48,161,6,5,17,0,9,9,30,17
"110034",2012,189,11,15,33,0,1,10,0,2,4,8,1
"110034",2013,220,19,18,53,1,0,18,0,1,5,12,2
"110034",2014,184,13,19,35,2,2,9,1,0,4,14,2
"110034",2015,200,12,22,62,3,1,8,1,1,5,15,3
"110034",2016,166,8,11,51,2,0,6,1,2,3,5,3
"110034",2017,178,17,13,52,3,2,12,0,1,2,10,4
"110034",2018,162,9,14,49,0,2,7,0,0,0,14,0
"110034",2019,205,14,12,72,1,0,13,0,0,3,9,4
"110034",2020,210,27,33,95,3,2,22,2,2,12,17,4
"110034",2021,200,20,19,94,1,2,17,0,3,4,12,3
"110034",2022,183,13,14,78,0,3,10,0,1,3,10,0
"110037",2012,189,8,14,42,0,1,7,1,1,0,12,2
"110037",2013,163,10,15,49,0,3,7,0,0,5,10,0
"110037",2014,172,7,10,45,1,4,2,1,2,0,7,5
"110037",2015,149,6,9,44,0,0,6,0,0,1,8,0
"110037",2016,168,11,9,53,0,2,9,0,0,3,6,1
"110037",2017,172,13,17,54,2,4,7,2,0,3,12,3
"110037",2018,160,7,14,47,0,0,7,0,1,2,11,0
"110037",2019,154,11,10,56,1,1,9,0,2,2,6,2
"110037",2020,146,8,11,50,2,2,4,0,1,4,6,2
"110037",2021,143,12,10,56,3,0,9,0,3,4,3,3
"110037",2022,150,12,14,50,1,3,8,0,4,0,10,4
"110040",2012,194,15,22,65,1,2,12,0,3,3,16,4
"110040",2013,211,15,23,66,2,4,9,1,3,5,14,5
"110040",2014,254,17,20,107,3,1,13,2,1,3,14,5
"110040",2015,247,10,14,78,2,0,8,1,2,3,8,3
"110040",2016,220,8,8,13,0,0,8,0,0,1,7,0
"110040",2017,242,14,16,16,1,2,11,0,3,3,10,3
"110040",2018,219,15,16,59,4,3,8,1,2,3,10,8
"110040",2019,226,12,19,74,2,3,7,1,1,5,12,3
"110040",2020,218,9,18,84,3,2,4,0,3,6,9,4
"110040",2021,224,13,25,98,1,3,9,1,2,5,17,7
"110040",2022,204,14,22,75,1,2,11,1,0,6,15,5
"110045",2012,555,36,58,138,4,9,23,2,7,17,32,9
"110045",2013,598,35,56,137,1,13,21,0,8,13,35,8
"110045",2014,620,45,58,208,3,7,35,1,6,17,34,7
"110045",2015,608,34,49,177,6,2,26,2,4,13,30,12
"110045",2016,624,32,59,182,5,5,22,0,5,15,39,15
"110045",2017,632,53,61,183,11,10,32,4,10,12,35,21
"110045",2018,617,48,53,202,6,15,27,2,7,12,32,10
"110045",2019,583,41,69,189,2,8,31,0,7,7,55,5
"110045",2020,508,29,72,171,2,5,22,1,7,27,37,8
"110045",2021,542,31,41,192,6,4,21,2,4,9,26,6
"110045",2022,517,33,55,189,3,6,24,1,3,10,41,5
"110050",2012,125,8,8,43,1,1,6,0,2,1,5,1
"110050",2013,122,8,9,39,0,1,7,0,1,4,4,1
"110050",2014,93,7,4,26,1,1,5,0,0,1,3,3
"110050",2015,109,5,10,37,1,0,4,0,0,4,6,1
"110050",2016,95,6,9,28,0,3,3,0,3,1,5,1
"110050",2017,91,6,7,32,2,0,4,2,0,1,4,3
"110050",2018,111,6,14,36,0,0,6,0,0,3,11,1
"110050",2019,98,6,5,34,1,2,3,0,2,0,3,1
"110050",2020,78,9,8,25,1,2,6,0,0,0,8,2
"110050",2021,84,8,7,33,2,2,4,0,1,2,4,3
"110050",2022,102,3,9,44,0,0,3,0,1,1,7,0
"110060",2012,61,5,5,20,1,1,3,0,2,0,2,2
"110060",2013,63,2,2,14,1,0,1,1,0,0,1,1
"110060",2014,58,7,8,19,1,2,4,0,1,2,5,3
"110060",2015,72,5,5,18,0,0,5,0,1,0,4,1
"110060",2016,67,3,1,4,1,0,2,0,1,0,0,1
"110060",2017,71,4,3,8,0,1,3,0,0,0,3,1
"110060",2018,80,7,6,24,2,0,5,0,1,0,5,2
"110060",2019,75,5,8,22,0,1,4,0,0,2,6,1
"110060",2020,70,5,4,33,1,1,3,0,2,1,1,2
"110060",2021,60,2,3,33,0,0,2,0,0,1,2,0
"110060",2022,64,4,10,20,2,0,2,0,3,0,7,3
"110070",2012,164,7,18,45,1,2,4,0,3,6,9,6
"110070",2013,183,10,15,45,2,3,5,0,0,1,14,3
"110070",2014,181,12,21,61,1,2,9,0,0,7,14,3
"110070",2015,156,6,10,46,1,1,4,0,1,4,5,1
"110070",2016,162,12,18,42,1,3,8,0,2,6,10,3
"110070",2017,174,16,17,55,0,3,13,0,1,5,11,3
"110070",2018,195,15,19,60,1,5,9,0,2,4,13,2
"110070",2019,166,10,17,57,2,3,5,0,4,2,11,2
"110070",2020,173,10,14,72,1,3,6,0,0,3,11,3
"110070",2021,133,10,17,50,0,2,8,1,1,2,13,2
"110070",2022,137,10,13,51,1,3,6,1,3,4,5,2
"110080",2012,430,38,58,89,5,6,27,2,6,16,34,9
"110080",2013,405,35,56,69,7,8,20,1,12,15,28,12
"110080",2014,296,16,20,72,3,3,10,4,2,5,9,6
"110080",2015,323,31,39,80,8,8,15,1,6,9,23,11
"110080",2016,372,21,35,83,0,8,13,0,2,12,21,3
"110080",2017,397,26,36,98,2,4,20,0,2,10,24,5
"110080",2018,421,29,41,87,1,5,23,0,5,3,33,6
"110080",2019,337,17,23,83,4,5,8,1,3,5,14,6
"110080",2020,344,29,32,78,1,7,21,0,4,4,24,6
"110080",2021,353,37,43,91,10,7,20,2,5,12,24,15
"110080",2022,334,27,37,81,10,4,13,2,7,10,18,14
"110090",2012,53,4,7,16,1,3,0,3,0,2,2,3
"110090",2013,36,3,5,8,2,0,1,2,2,0,1,4
"110090",2014,46,3,5,9,1,0,2,1,0,1,3,1
"110090",2015,52,2,4,16,0,2,0,0,1,2,1,1
"110090",2016,55,5,4,21,0,0,5,0,0,2,2,0
"110090",2017,39,3,1,15,0,0,3,0,0,0,1,0
"110090",2018,56,3,7,19,0,0,3,0,0,0,7,1
"110090",2019,32,2,3,11,0,0,2,0,0,1,2,1
"110090",2020,37,0,2,16,0,0,0,0,0,0,2,0
"110090",2021,37,3,3,13,1,0,2,1,0,0,2,1
"110090",2022,29,1,3,10,0,0,1,0,1,1,1,0
"110092",2012,118,15,14,37,2,2,11,1,1,6,6,4
"110092",2013,158,11,11,48,0,1,10,0,1,3,6,1
"110092",2014,158,7,13,53,1,2,4,0,1,2,9,3
"110092",2015,154,10,7,48,1,1,8,0,2,2,3,3
"110092",2016,153,10,7,54,1,1,8,0,1,3,3,2
"110092",2017,169,11,15,60,5,1,5,4,0,2,9,6
"110092",2018,181,7,8,60,0,2,5,0,1,0,7,0
"110092",2019,162,6,5,55,1,1,4,0,1,2,2,2
"110092",2020,162,10,15,47,3,1,6,0,4,3,8,3
"110092",2021,152,8,11,46,1,0,7,0,0,1,10,1
"110092",2022,162,11,19,54,0,4,7,1,2,2,14,2
"110094",2012,161,14,22,38,3,2,9,0,0,6,11,6
"110094",2013,203,16,20,49,3,3,10,1,4,5,8,4
"110094",2014,240,25,22,67,6,4,15,2,1,3,16,7
"110094",2015,274,17,22,84,3,1,13,0,2,1,19,3
"110094",2016,241,23,16,52,1,6,16,1,0,3,12,4
"110094",2017,209,13,11,28,0,2,11,0,1,3,7,1
"110094",2018,229,13,16,55,1,1,11,0,2,2,12,4
"110094",2019,205,6,22,54,2,0,4,1,1,7,13,7
"110094",2020,246,18,29,69,3,3,12,1,2,5,21,8
"110094",2021,243,16,21,77,0,3,13,1,2,2,16,5
"110094",2022,208,17,18,69,2,3,12,1,1,4,12,4
"110100",2012,133,5,16,38,1,1,3,0,1,2,11,2
"110100",2013,116,12,16,36,3,2,7,1,5,0,9,9
"110100",2014,124,12,9,39,1,3,8,0,1,6,2,1
"110100",2015,132,4,6,42,0,1,3,1,0,1,4,1
"110100",2016,112,7,3,36,1,0,6,0,0,1,2,1
"110100",2017,109,6,5,40,0,2,4,0,1,0,4,1
"110100",2018,133,7,6,36,2,1,4,2,0,1,3,3
"110100",2019,112,5,8,42,0,2,3,0,2,0,6,1
"110100",2020,86,3,6,29,1,1,1,1,2,0,3,3
"110100",2021,105,10,16,35,1,4,5,0,2,2,12,1
"110100",2022,86,4,9,34,1,0,3,0,2,2,5,2
"110110",2012,114,2,9,29,0,0,2,0,0,0,8,1
"110110",2013,123,12,12,27,1,1,10,0,2,2,7,3
"110110",2014,97,8,13,30,0,0,8,1,0,5,7,1
"110110",2015,112,4,8,23,0,0,4,0,1,2,5,0
"110110",2016,129,9,14,26,0,1,8,0,2,3,9,1
"110110",2017,95,9,9,17,2,1,6,0,1,6,2,3
"110110",2018,92,9,10,17,0,3,6,0,1,2,7,0
"110110",2019,109,3,8,28,0,0,3,0,0,2,6,1
"110110",2020,119,9,14,37,2,0,7,0,2,3,9,2
"110110",2021,120,4,12,32,0,0,4,0,1,2,9,1
"110110",2022,107,8,6,34,1,1,6,0,1,3,2,2
"110120",2012,100,6,17,29,0,0,6,0,1,3,12,5
"110120",2013,104,7,11,44,1,1,5,0,2,1,8,2
"110120",2014,107,3,7,43,1,1,1,0,2,1,4,2
"110120",2015,93,6,10,30,1,2,3,1,2,3,4,2
"110120",2016,93,10,8,42,1,1,8,0,1,3,4,2
"110120",2017,100,11,11,35,2,5,4,0,3,2,6,2
"110120",2018,92,4,8,32,1,1,2,2,0,0,6,2
"110120",2019,84,7,11,41,0,3,4,0,1,4,6,0
"110120",2020,74,4,9,33,1,0,3,1,0,2,6,1
"110120",2021,65,6,7,19,1,2,3,0,1,1,5,2
"110120",2022,73,2,2,26,0,0,2,0,1,0,1,0
"110130",2012,148,11,17,35,2,3,6,0,1,3,13,4
"110130",2013,122,6,12,34,1,0,5,0,3,0,9,3
"110130",2014,137,9,14,42,2,5,2,0,4,4,6,5
"110130",2015,179,17,22,61,1,4,12,0,1,6,15,2
"110130",2016,148,15,16,45,1,5,9,0,1,5,10,1
"110130",2017,156,6,12,53,2,0,4,1,1,1,9,2
"110130",2018,160,16,20,53,0,2,14,0,1,2,17,2
"110130",2019,164,13,23,55,2,3,8,1,2,2,18,4
"110130",2020,168,11,27,68,3,3,5,0,4,7,16,4
"110130",2021,153,10,23,61,1,0,9,0,3,5,15,4
"110130",2022,130,8,18,47,1,2,5,0,2,6,10,1
"110140",2012,170,8,15,41,1,0,7,1,0,8,6,2
"110140",2013,223,10,16,62,1,2,7,0,1,3,12,1
"110140",2014,204,9,20,68,0,1,8,1,2,3,14,4
"110140",2015,240,16,20,76,1,8,7,1,1,10,8,8
"110140",2016,173,8,6,34,1,0,7,1,0,1,4,5
"110140",2017,200,12,16,29,3,2,7,0,3,0,13,3
"110140",2018,220,17,18,67,1,2,14,0,0,6,12,4
"110140",2019,199,16,15,73,1,3,12,0,1,2,12,4
"110140",2020,167,7,13,63,0,2,5,0,2,3,8,3
"110140",2021,175,10,12,58,1,3,6,1,4,1,6,4
"110140",2022,166,15,19,51,4,3,8,4,3,3,9,8
"110143",2012,99,13,12,18,1,4,8,0,3,3,4,3
"110143",2013,82,1,6,29,0,0,1,0,0,0,6,1
