"codmunres","municipio","uf","regiao","ano","obitos_fetais_mais_28sem","peso_menos_1500_mais_28sem","peso_1500_1999_mais_28sem","peso_2000_2499_mais_28sem","peso_mais_2500_mais_28sem"
"110010","Guajará-Mirim","RO","Norte","2017",7,0,0,2,5
"110010","Guajará-Mirim","RO","Norte","2018",8,2,1,2,3
"110010","Guajará-Mirim","RO","Norte","2019",6,0,2,1,3
"110010","Guajará-Mirim","RO","Norte","2020",10,0,1,1,8
"110010","Guajará-Mirim","RO","Norte","2021",8,0,1,1,6
"110011","Jaru","RO","Norte","2012",5,0,1,0,4
"110011","Jaru","RO","Norte","2013",9,0,0,0,0
"110011","Jaru","RO","Norte","2014",13,0,0,0,0
"110011","Jaru","RO","Norte","2015",8,0,1,2,5
"110011","Jaru","RO","Norte","2016",10,1,1,2,6
"110011","Jaru","RO","Norte","2017",6,0,1,2,3
"110011","Jaru","RO","Norte","2018",11,1,2,2,6
"110011","Jaru","RO","Norte","2019",5,0,0,0,0
"110011","Jaru","RO","Norte","2020",12,2,0,2,8
"110011","Jaru","RO","Norte","2021",9,1,0,1,7
"110012","Ji-Paraná","RO","Norte","2012",16,1,0,3,12
"110012","Ji-Paraná","RO","Norte","2013",10,4,1,0,5
"110012","Ji-Paraná","RO","Norte","2014",16,0,0,0,0
"110012","Ji-Paraná","RO","Norte","2015",14,0,0,0,0
"110012","Ji-Paraná","RO","Norte","2016",18,0,0,0,0
"110012","Ji-Paraná","RO","Norte","2017",13,0,0,0,0
"110012","Ji-Paraná","RO","Norte","2018",18,0,0,0,0
"110012","Ji-Paraná","RO","Norte","2019",17,0,0,0,0
"110012","Ji-Paraná","RO","Norte","2020",12,0,0,0,0
"110012","Ji-Paraná","RO","Norte","2021",16,5,2,2,7
"110013","Machadinho D'Oeste","RO","Norte","2012",5,0,0,0,0
"110013","Machadinho D'Oeste","RO","Norte","2013",6,0,0,0,0
"110013","Machadinho D'Oeste","RO","Norte","2014",3,0,1,2,0
"110013","Machadinho D'Oeste","RO","Norte","2015",6,0,0,0,0
"110013","Machadinho D'Oeste","RO","Norte","2016",7,0,0,0,0
"110013","Machadinho D'Oeste","RO","Norte","2017",4,0,2,1,1
"110013","Machadinho D'Oeste","RO","Norte","2018",4,1,0,2,1
"110013","Machadinho D'Oeste","RO","Norte","2019",2,0,1,0,1
"110013","Machadinho D'Oeste","RO","Norte","2020",7,0,0,0,0
"110013","Machadinho D'Oeste","RO","Norte","2021",5,0,2,1,2
"110014","Nova Brasilândia D'Oeste","RO","Norte","2012",7,0,0,0,0
"110014","Nova Brasilândia D'Oeste","RO","Norte","2014",3,0,0,1,2
"110014","Nova Brasilândia D'Oeste","RO","Norte","2015",1,0,1,0,0
"110014","Nova Brasilândia D'Oeste","RO","Norte","2016",3,2,0,0,1
"110014","Nova Brasilândia D'Oeste","RO","Norte","2017",4,0,0,1,3
"110014","Nova Brasilândia D'Oeste","RO","Norte","2018",3,1,0,0,2
"110014","Nova Brasilândia D'Oeste","RO","Norte","2019",2,1,0,0,1
"110014","Nova Brasilândia D'Oeste","RO","Norte","2020",2,0,0,0,0
"110014","Nova Brasilândia D'Oeste","RO","Norte","2021",2,0,0,1,1
"110015","Ouro Preto do Oeste","RO","Norte","2012",4,1,2,0,1
"110015","Ouro Preto do Oeste","RO","Norte","2013",5,1,1,0,3
"110015","Ouro Preto do Oeste","RO","Norte","2014",6,1,2,1,2
"110015","Ouro Preto do Oeste","RO","Norte","2015",4,0,0,0,0
"110015","Ouro Preto do Oeste","RO","Norte","2016",6,2,1,2,1
"110015","Ouro Preto do Oeste","RO","Norte","2017",6,0,1,0,5
"110015","Ouro Preto do Oeste","RO","Norte","2018",8,1,0,3,4
"110015","Ouro Preto do Oeste","RO","Norte","2019",7,2,1,1,3
"110015","Ouro Preto do Oeste","RO","Norte","2020",8,0,0,0,0
"110015","Ouro Preto do Oeste","RO","Norte","2021",3,0,0,1,2
"110018","Pimenta Bueno","RO","Norte","2012",4,0,1,0,3
"110018","Pimenta Bueno","RO","Norte","2013",2,1,0,0,1
"110018","Pimenta Bueno","RO","Norte","2014",4,1,0,1,2
"110018","Pimenta Bueno","RO","Norte","2015",4,0,0,0,4
"110018","Pimenta Bueno","RO","Norte","2016",8,0,0,0,0
"110018","Pimenta Bueno","RO","Norte","2017",3,0,1,0,2
"110018","Pimenta Bueno","RO","Norte","2018",6,0,1,2,3
"110018","Pimenta Bueno","RO","Norte","2019",1,0,0,0,1
"110018","Pimenta Bueno","RO","Norte","2020",5,2,0,0,3
"110018","Pimenta Bueno","RO","Norte","2021",2,0,0,0,0
"110020","Porto Velho","RO","Norte","2012",89,0,0,0,0
"110020","Porto Velho","RO","Norte","2013",51,0,0,0,0
"110020","Porto Velho","RO","Norte","2014",83,0,0,0,0
"110020","Porto Velho","RO","Norte","2015",87,0,0,0,0
"110020","Porto Velho","RO","Norte","2016",75,22,8,3,42
"110020","Porto Velho","RO","Norte","2017",68,0,0,0,0
"110020","Porto Velho","RO","Norte","2018",86,14,11,12,49
"110020","Porto Velho","RO","Norte","2019",83,18,14,11,40
"110020","Porto Velho","RO","Norte","2020",74,17,11,12,34
