"codmunres","ano","garbage_materno_o95","garbage_materno_o94","garbage_materno_f53","garbage_materno_d39","garbage_materno_o08","obitos_maternos_totais","garbage_fetal_p90_p96","garbage_fetal_q80_q89","garbage_fetal_q90_q99","garbage_fetal_q35_q37","garbage_fetal_q10_q18","obitos_fetais_totais"
"110009",2022,0,0,0,0,0,0,1,0,0,0,0,3
"110010",2012,0,0,0,0,0,0,11,1,0,0,0,12
"110010",2013,0,0,0,0,0,0,10,0,0,0,0,13
"110010",2014,0,0,0,0,0,1,10,0,0,0,0,10
"110010",2015,0,0,0,0,0,0,4,0,0,0,0,4
"110010",2016,0,0,0,0,0,0,4,0,0,0,0,5
"110010",2017,0,0,0,0,0,1,4,0,0,0,0,7
"110010",2018,0,0,0,0,0,0,5,0,0,0,0,8
"110010",2019,0,0,0,0,0,0,3,0,0,0,0,6
"110010",2020,0,0,0,0,0,3,9,0,0,0,0,10
"110010",2021,0,0,0,0,0,0,4,0,0,0,0,7
"110010",2022,0,0,0,0,0,1,8,1,0,0,0,11
"110011",2012,0,0,0,0,0,0,5,0,0,0,0,5
"110011",2013,0,0,0,0,0,0,4,0,0,0,0,9
"110011",2014,0,0,0,0,0,0,9,0,0,0,0,13
"110011",2015,0,0,0,0,0,0,6,0,0,0,0,8
"110011",2016,0,0,0,0,0,0,6,0,0,0,0,9
"110011",2017,0,0,0,0,0,2,5,1,0,0,0,6
"110011",2018,0,0,0,0,0,1,8,0,0,0,0,11
"110011",2019,0,0,0,0,0,0,1,1,0,0,0,5
"110011",2020,0,0,0,0,0,2,4,1,0,0,0,12
"110011",2021,0,0,0,0,0,2,2,0,0,0,0,9
"110011",2022,0,0,0,0,0,0,2,0,0,0,0,4
"110012",2012,0,0,0,0,0,0,4,0,0,0,0,16
"110012",2013,0,0,0,0,0,0,4,1,0,0,0,10
"110012",2014,0,0,0,0,0,2,4,4,0,0,0,16
"110012",2015,0,0,0,0,0,0,8,1,0,0,0,14
"110012",2016,0,0,0,0,0,0,4,0,0,0,0,18
"110012",2017,0,0,0,0,0,3,5,0,0,0,0,13
"110012",2018,0,0,0,0,0,1,11,1,0,0,0,18
"110012",2019,0,0,0,0,0,2,6,0,0,0,0,17
"110012",2020,0,0,0,0,0,0,7,0,0,0,0,14
"110012",2021,0,0,0,0,0,2,2,0,0,0,0,16
"110012",2022,0,0,0,0,0,0,1,0,0,0,0,14
"110013",2012,0,0,0,0,0,0,3,0,0,0,0,4
"110013",2013,0,0,0,0,0,1,4,0,0,0,0,6
"110013",2014,0,0,0,0,0,0,1,0,0,0,0,3
"110013",2015,0,0,0,0,0,0,1,0,0,0,0,6
"110013",2016,0,0,0,0,0,0,4,0,0,0,0,7
"110013",2017,0,0,0,0,0,0,2,0,0,0,0,4
"110013",2018,0,0,0,0,0,0,2,0,0,0,0,4
"110013",2019,0,0,0,0,0,0,1,0,0,0,0,2
"110013",2020,0,0,0,0,0,0,2,0,0,0,0,7
"110013",2021,0,0,0,0,0,0,0,0,0,0,0,5
"110013",2022,0,0,0,0,0,1,1,1,0,0,0,7
"110014",2012,0,0,0,0,0,0,5,1,0,0,0,7
"110014",2013,0,0,0,0,0,0,0,0,0,0,0,0
"110014",2014,0,0,0,0,0,0,3,0,0,0,0,3
"110014",2015,0,0,0,0,0,0,0,0,0,0,0,1
"110014",2016,0,0,0,0,0,0,3,0,0,0,0,3
"110014",2017,0,0,0,0,0,0,0,0,0,0,0,2
"110014",2018,0,0,0,0,0,0,1,0,0,0,0,3
"110014",2019,0,0,0,0,0,0,2,0,0,0,0,2
"110014",2020,0,0,0,0,0,0,2,0,0,0,0,2
"110014",2021,0,0,0,0,0,0,1,0,1,0,0,2
"110014",2022,0,0,0,0,0,1,0,0,0,0,0,0
"110015",2012,0,0,0,0,0,0,2,0,0,0,0,4
"110015",2013,0,0,0,0,0,0,1,0,0,0,0,5
"110015",2014,0,0,0,0,0,1,3,0,0,0,0,6
"110015",2015,0,0,0,0,0,0,3,0,0,0,0,5
"110015",2016,0,0,0,0,0,0,4,0,0,0,0,6
"110015",2017,0,0,0,0,0,2,1,0,0,0,0,6
"110015",2018,0,0,0,0,0,0,2,0,0,0,0,7
"110015",2019,0,0,0,0,0,0,3,0,0,0,0,7
"110015",2020,0,0,0,0,0,0,4,0,0,0,0,7
"110015",2021,0,0,0,0,0,1,2,0,0,0,0,3
"110015",2022,0,0,0,0,0,0,1,0,0,0,0,3
"110018",2012,0,0,0,0,0,0,1,0,0,0,0,4
"110018",2013,0,0,0,0,0,1,1,0,0,0,0,2
"110018",2014,0,0,0,0,0,0,1,0,1,0,0,4
"110018",2015,0,0,0,0,0,0,3,0,0,0,0,5
"110018",2016,0,0,0,0,0,0,5,0,0,0,0,8
"110018",2017,0,0,0,0,0,0,0,0,0,0,0,3
"110018",2018,0,0,0,0,0,0,1,0,0,0,0,6
"110018",2019,0,0,0,0,0,0,0,0,0,0,0,0
"110018",2020,0,0,0,0,0,0,0,0,0,0,0,4
"110018",2021,0,0,0,0,0,1,0,0,0,0,0,3
"110018",2022,0,0,0,0,0,1,4,0,0,0,0,6
"110020",2012,0,0,0,0,0,8,38,5,0,0,0,87
"110020",2013,0,0,0,0,0,7,23,3,0,0,0,53
"110020",2014,0,0,0,0,0,8,47,0,0,0,0,82
"110020",2015,0,0,0,0,0,5,49,0,0,0,0,88
"110020",2016,0,0,0,0,0,8,34,1,0,0,0,74
"110020",2017,0,0,0,0,0,5,36,3,0,0,0,68
