"codmunres","ano","obitos_fetais_mais_22sem","fetal_peso_menos_1000","fetal_peso_1000_1499","fetal_peso_1500_2499","fetal_peso_mais_2500","fetal_antes","fetal_durante","fetal_depois","fetal_antes_peso_menos_1000","fetal_antes_peso_1000_1499","fetal_antes_peso_1500_2499","fetal_antes_peso_mais_2500","fetal_durante_peso_menos_1000","fetal_durante_peso_1000_1499","fetal_durante_peso_1500_2499","fetal_durante_peso_mais_2500","fetal_depois_peso_menos_1000","fetal_depois_peso_1000_1499","fetal_depois_peso_1500_2499","fetal_depois_peso_mais_2500"
"110008",2017,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"110008",2018,2,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"110008",2019,2,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"110009",2012,6,4,0,0,2,6,0,0,4,0,0,2,0,0,0,0,0,0,0,0
"110009",2013,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"110009",2014,2,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"110009",2015,5,2,0,1,0,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"110009",2016,4,1,1,2,0,3,1,0,1,1,1,0,0,0,1,0,0,0,0,0
"110009",2017,5,1,2,1,1,5,0,0,1,2,1,1,0,0,0,0,0,0,0,0
"110009",2018,6,4,0,2,0,6,0,0,4,0,2,0,0,0,0,0,0,0,0,0
"110009",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110010",2012,12,4,1,5,2,11,0,0,4,1,5,1,0,0,0,0,0,0,0,0
"110010",2013,13,2,0,4,6,13,0,0,2,0,4,6,0,0,0,0,0,0,0,0
"110010",2014,10,3,0,1,4,9,0,0,3,0,1,4,0,0,0,0,0,0,0,0
"110010",2015,4,2,0,1,1,4,0,0,2,0,1,1,0,0,0,0,0,0,0,0
"110010",2016,5,3,0,0,2,5,0,0,3,0,0,2,0,0,0,0,0,0,0,0
"110010",2017,7,1,0,2,4,6,1,0,1,0,2,3,0,0,0,1,0,0,0,0
"110010",2018,8,1,2,3,2,8,0,0,1,2,3,2,0,0,0,0,0,0,0,0
"110010",2019,6,2,0,3,1,6,0,0,2,0,3,1,0,0,0,0,0,0,0,0
"110011",2012,5,3,0,1,1,5,0,0,3,0,1,1,0,0,0,0,0,0,0,0
"110011",2013,9,3,2,2,1,9,0,0,3,2,2,1,0,0,0,0,0,0,0,0
"110011",2014,13,6,1,3,2,12,1,0,5,1,3,2,1,0,0,0,0,0,0,0
"110011",2015,8,0,0,3,5,7,1,0,0,0,3,4,0,0,0,1,0,0,0,0
"110011",2016,9,1,1,3,3,9,0,0,1,1,3,3,0,0,0,0,0,0,0,0
"110011",2017,6,3,0,3,0,6,0,0,3,0,3,0,0,0,0,0,0,0,0,0
"110011",2018,11,3,1,4,3,11,0,0,3,1,4,3,0,0,0,0,0,0,0,0
"110011",2019,5,1,1,0,2,5,0,0,1,1,0,2,0,0,0,0,0,0,0,0
"110012",2012,16,9,1,3,3,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"110012",2013,10,4,4,1,1,8,0,0,3,3,1,1,0,0,0,0,0,0,0,0
"110012",2014,16,4,2,5,3,16,0,0,4,2,5,3,0,0,0,0,0,0,0,0
"110012",2015,14,3,1,4,5,12,1,0,3,1,2,5,0,0,1,0,0,0,0,0
"110012",2016,18,7,1,2,6,17,0,0,7,0,2,6,0,0,0,0,0,0,0,0
"110012",2017,13,0,2,6,4,13,0,0,0,2,6,4,0,0,0,0,0,0,0,0
"110012",2018,18,8,4,3,2,16,1,0,7,3,3,2,0,1,0,0,0,0,0,0
"110012",2019,17,4,2,5,4,17,0,0,4,2,5,4,0,0,0,0,0,0,0,0
"110013",2012,4,0,0,1,2,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0
"110013",2013,6,1,0,0,3,4,2,0,0,0,0,2,1,0,0,1,0,0,0,0
"110013",2014,3,0,0,3,0,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0
"110013",2015,6,1,1,1,2,5,1,0,1,0,1,2,0,1,0,0,0,0,0,0
"110013",2016,7,2,2,1,1,7,0,0,2,2,1,1,0,0,0,0,0,0,0,0
"110013",2017,4,1,0,3,0,3,1,0,1,0,2,0,0,0,1,0,0,0,0,0
"110013",2018,4,1,1,2,0,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0
"110013",2019,2,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"110014",2012,7,1,0,2,2,6,1,0,1,0,2,1,0,0,0,1,0,0,0,0
"110014",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110014",2014,3,1,0,1,1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"110014",2015,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"110014",2016,3,0,2,0,1,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"110014",2017,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"110014",2018,3,0,1,0,2,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"110014",2019,2,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"110015",2012,4,1,1,2,0,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0
"110015",2013,5,2,1,1,1,5,0,0,2,1,1,1,0,0,0,0,0,0,0,0
"110015",2014,6,1,1,3,1,5,1,0,1,1,3,0,0,0,0,1,0,0,0,0
"110015",2015,5,0,1,1,1,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"110015",2016,6,1,2,3,0,6,0,0,1,2,3,0,0,0,0,0,0,0,0,0
"110015",2017,6,2,0,1,3,5,1,0,2,0,1,2,0,0,0,1,0,0,0,0
"110015",2018,7,1,1,3,2,7,0,0,1,1,3,2,0,0,0,0,0,0,0,0
"110015",2019,7,2,2,1,2,7,0,0,2,2,1,2,0,0,0,0,0,0,0,0
"110018",2012,4,1,0,1,2,4,0,0,1,0,1,2,0,0,0,0,0,0,0,0
