"ano","codmunres","total_de_nascidos_vivos","nvm_menor_que_20","pop_feminina_10_a_19","mulheres_com_mais_de_tres_partos_anteriores","pop_fem_10_49","abortos_sus_30_a_39","abortos_sus_40_a_49","abortos_sus_menor_30","abortos_ans_30_a_39","abortos_ans_40_a_49","abortos_ans_menor_30","pop_fem_ans_10_49","pop_fem_sus_10_49","total_de_nascidos_vivos_ans","total_de_nascidos_vivos_sus"
2012,110001,386,76,2256,20,7810,0,0,0,0,0,0,625,7185,31,355
2013,110001,382,79,2162,19,7704,0,0,0,0,0,0,616,7088,31,351
2014,110001,341,69,2065,19,7591,0,0,0,0,0,0,622,6969,28,313
2015,110001,373,74,1966,15,7466,5,0,3,4,0,1,650,6816,32,341
2016,110001,326,58,1900,19,7352,3,2,8,2,0,1,669,6683,30,296
2017,110001,354,62,1830,13,7227,1,0,4,5,2,4,585,6642,29,325
2018,110001,408,61,1758,14,7096,4,1,8,4,2,0,553,6543,32,376
2019,110001,367,55,1687,10,6961,8,0,7,3,0,2,501,6460,26,341
2020,110001,333,59,1615,9,6820,1,0,6,4,3,0,477,6343,23,310
2021,110001,357,60,1545,11,6690,8,1,3,2,2,0,421,6269,22,335
2022,110001,368,64,NA,8,NA,0,1,1,5,0,0,NA,NA,NA,NA
2012,110002,1339,301,9407,35,32588,0,0,0,0,0,0,2770,29818,114,1225
2013,110002,1654,365,9448,75,33143,0,0,0,0,0,0,2917,30226,146,1508
2014,110002,1647,387,9481,50,33684,0,0,0,0,0,0,2998,30686,147,1500
2015,110002,1783,385,9510,45,34218,16,3,50,2,2,0,3114,31104,162,1621
2016,110002,1662,344,9450,12,34619,18,0,54,5,0,4,3012,31607,145,1517
2017,110002,1724,340,9373,8,34984,34,3,53,6,0,5,2904,32080,143,1581
2018,110002,1682,304,9298,47,35361,20,3,45,3,1,2,2794,32567,133,1549
2019,110002,1729,334,9211,58,35679,17,2,55,5,5,0,2712,32967,131,1598
2020,110002,1507,266,9135,44,35954,17,6,45,6,2,3,2445,33509,102,1405
2021,110002,1545,265,8927,52,36223,20,4,43,3,0,0,2354,33869,100,1445
2022,110002,1505,210,NA,37,NA,11,2,35,3,0,3,NA,NA,NA,NA
2012,110003,64,17,523,0,1873,0,0,0,0,0,0,67,1806,2,62
2013,110003,74,11,494,2,1835,0,0,0,0,0,0,103,1732,4,70
2014,110003,75,12,460,0,1789,0,0,0,0,0,0,100,1689,4,71
2015,110003,86,15,428,1,1733,0,0,4,0,0,0,102,1631,5,81
2016,110003,73,12,409,1,1690,0,0,2,0,0,1,74,1616,3,70
2017,110003,67,8,388,1,1649,0,1,0,0,0,0,66,1583,3,64
2018,110003,82,7,369,1,1598,0,0,1,0,0,0,61,1537,3,79
2019,110003,80,14,348,2,1549,0,0,0,0,0,0,57,1492,3,77
2020,110003,69,8,328,4,1502,0,0,0,0,0,0,59,1443,3,66
2021,110003,68,15,312,1,1460,0,1,2,0,0,0,54,1406,3,65
2022,110003,64,10,NA,1,NA,0,0,1,0,0,0,NA,NA,NA,NA
2012,110004,1201,227,7515,56,27621,0,0,0,0,0,0,2983,24638,130,1071
2013,110004,1185,225,7379,43,27704,0,0,0,0,0,0,2826,24878,121,1064
2014,110004,1307,222,7211,35,27761,0,0,0,0,0,0,2970,24791,140,1167
2015,110004,1360,215,7045,38,27787,32,3,53,13,3,6,3168,24619,155,1205
2016,110004,1338,213,6920,43,27824,29,3,73,6,2,6,3144,24680,151,1187
2017,110004,1452,199,6778,37,27824,19,5,64,9,2,7,3088,24736,161,1291
2018,110004,1446,200,6628,38,27800,38,6,70,11,2,10,3030,24770,158,1288
2019,110004,1374,174,6479,32,27748,26,2,55,10,0,5,2969,24779,147,1227
2020,110004,1325,161,6332,34,27681,28,5,54,9,1,2,2962,24719,142,1183
2021,110004,1366,148,6188,31,27605,9,3,18,10,0,2,2981,24624,148,1218
2022,110004,1353,157,NA,23,NA,19,5,24,10,2,1,NA,NA,NA,NA
2012,110005,245,49,1564,5,5676,0,0,0,0,0,0,255,5421,11,234
2013,110005,271,61,1491,6,5602,0,0,0,0,0,0,252,5350,12,259
2014,110005,250,53,1422,8,5526,0,0,0,0,0,0,282,5244,13,237
2015,110005,277,41,1354,8,5451,5,2,10,1,0,2,322,5129,16,261
2016,110005,263,43,1309,3,5387,4,1,10,0,0,0,318,5069,16,247
2017,110005,277,46,1261,7,5309,1,0,3,1,0,0,292,5017,15,262
2018,110005,264,39,1212,7,5221,4,0,5,0,0,0,287,4934,15,249
2019,110005,237,27,1162,3,5136,3,1,3,0,0,0,288,4848,13,224
2020,110005,269,35,1113,6,5051,3,1,4,0,0,0,263,4788,14,255
2021,110005,251,39,1074,2,4967,5,1,6,0,0,0,238,4729,12,239
2022,110005,272,43,NA,9,NA,0,0,4,0,1,0,NA,NA,NA,NA
2012,110006,214,49,1588,3,5863,0,0,0,0,0,0,422,5441,15,199
2013,110006,256,41,1502,6,5719,0,0,0,0,0,0,475,5244,21,235
2014,110006,273,46,1414,8,5570,0,0,0,0,0,0,440,5130,22,251
2015,110006,251,44,1323,6,5411,4,0,5,1,0,1,471,4940,22,229
2016,110006,223,33,1264,3,5280,3,0,7,0,0,0,475,4805,20,203
2017,110006,243,31,1202,2,5140,2,0,3,0,0,0,452,4688,21,222
2018,110006,235,41,1138,6,4980,8,1,5,0,0,0,438,4542,21,214
2019,110006,214,31,1075,6,4826,1,0,5,1,0,0,405,4421,18,196
2020,110006,203,26,1012,5,4680,2,1,6,0,0,0,379,4301,16,187
2021,110006,231,27,963,3,4537,2,1,2,0,0,0,367,4170,19,212
2022,110006,205,18,NA,5,NA,3,0,2,0,1,1,NA,NA,NA,NA
2012,110007,116,24,794,1,2698,0,0,0,0,0,0,43,2655,2,114
2013,110007,116,30,744,7,2648,0,0,0,0,0,0,61,2587,3,113
2014,110007,125,22,689,4,2588,0,0,0,0,0,0,62,2526,3,122
2015,110007,111,23,635,2,2530,2,0,8,0,0,0,58,2472,3,108
2016,110007,139,28,597,6,2466,1,0,6,0,0,0,54,2412,3,136
2017,110007,87,18,558,1,2399,0,0,3,0,0,0,43,2356,2,85
2018,110007,129,28,518,3,2330,0,0,1,0,0,0,35,2295,2,127
2019,110007,127,24,477,1,2254,0,0,1,0,0,0,27,2227,2,125
2020,110007,107,16,438,4,2187,0,0,3,0,0,0,26,2161,1,106
2021,110007,118,27,414,1,2118,2,0,3,0,0,0,28,2090,2,116
2022,110007,103,16,NA,2,NA,0,0,1,0,0,0,NA,NA,NA,NA
2012,110008,234,70,1574,21,4643,0,0,0,0,0,0,121,4522,6,228
2013,110008,234,75,1613,18,4816,0,0,0,0,0,0,116,4700,6,228
2014,110008,267,86,1650,28,4983,0,0,0,0,0,0,110,4873,6,261
2015,110008,245,79,1685,19,5146,0,0,4,0,0,0,108,5038,5,240
2016,110008,213,69,1671,18,5291,0,1,2,0,0,0,101,5190,4,209
2017,110008,216,45,1652,9,5428,0,0,3,0,0,1,98,5330,4,212
2018,110008,246,74,1632,17,5560,3,1,4,0,0,0,78,5482,3,243
2019,110008,233,70,1613,18,5689,1,0,4,1,0,0,63,5626,3,230
2020,110008,190,43,1592,12,5813,3,0,2,0,0,0,58,5755,2,188
2021,110008,195,43,1572,15,5922,0,0,1,0,0,0,65,5857,2,193
2022,110008,218,35,NA,18,NA,0,0,1,0,0,0,NA,NA,NA,NA
2012,110009,476,105,2822,34,9816,0,0,0,0,0,0,599,9217,29,447
2013,110009,463,112,2804,20,9917,0,0,0,0,0,0,595,9322,28,435
2014,110009,496,103,2771,34,9995,0,0,0,0,0,0,630,9365,31,465
2015,110009,548,103,2737,22,10068,2,0,6,0,0,3,664,9404,36,512
2016,110009,486,119,2708,21,10147,2,1,4,0,0,1,660,9487,32,454
2017,110009,533,99,2663,33,10210,2,0,6,1,0,0,572,9638,30,503
2018,110009,476,102,2621,18,10263,0,1,4,0,0,2,513,9750,24,452
2019,110009,450,86,2578,26,10307,5,0,12,2,3,0,474,9833,21,429
2020,110009,471,73,2536,26,10341,6,1,9,1,0,3,434,9907,20,451
2021,110009,485,80,2488,28,10371,2,0,7,1,0,1,425,9946,20,465
2022,110009,462,73,NA,18,NA,3,1,12,2,0,1,NA,NA,NA,NA
2012,110010,940,272,4448,158,13994,0,0,0,0,0,0,770,13224,52,888
2013,110010,879,213,4419,156,14113,0,0,0,0,0,0,706,13407,44,835
2014,110010,923,249,4378,127,14210,0,0,0,0,0,0,753,13457,49,874
2015,110010,831,181,4336,149,14297,29,4,56,3,0,0,772,13525,45,786
2016,110010,884,220,4286,119,14372,35,4,57,0,0,1,704,13668,43,841
2017,110010,842,206,4227,139,14429,42,6,60,4,0,0,678,13751,40,802
2018,110010,926,220,4162,108,14464,16,7,55,1,1,0,622,13842,40,886
2019,110010,781,174,4100,89,14496,31,8,62,1,2,0,565,13931,30,751
2020,110010,858,179,4037,121,14516,30,7,42,1,0,0,552,13964,33,825
2021,110010,834,194,3936,98,14521,35,12,51,0,0,0,537,13984,31,803
2022,110010,748,149,NA,99,NA,24,8,57,0,0,1,NA,NA,NA,NA
2012,110011,808,173,5033,14,17746,0,0,0,0,0,0,976,16770,44,764
2013,110011,914,174,4929,26,17712,0,0,0,0,0,0,1045,16667,54,860
2014,110011,867,184,4806,27,17642,0,0,0,0,0,0,1182,16460,58,809
2015,110011,788,126,4685,24,17563,15,6,28,3,1,1,1177,16386,53,735
2016,110011,807,128,4572,15,17455,18,6,39,2,1,4,1169,16286,54,753
2017,110011,846,122,4449,26,17319,13,4,32,1,0,4,1074,16245,52,794
2018,110011,911,135,4322,23,17160,23,6,38,2,0,1,961,16199,51,860
2019,110011,881,139,4194,13,16994,16,6,49,1,0,0,901,16093,47,834
2020,110011,892,139,4067,19,16831,19,8,40,2,1,0,858,15973,45,847
2021,110011,920,147,3911,16,16642,11,5,21,2,0,1,832,15810,46,874
2022,110011,890,145,NA,22,NA,6,1,11,0,0,0,NA,NA,NA,NA
2012,110012,2075,413,11097,75,41137,0,0,0,0,0,0,4402,36735,222,1853
2013,110012,1971,368,10927,71,41326,0,0,0,0,0,0,4711,36615,225,1746
2014,110012,1956,357,10742,56,41460,0,0,0,0,0,0,5058,36402,239,1717
2015,110012,2094,366,10553,60,41569,26,9,73,5,0,5,5238,36331,264,1830
2016,110012,1976,325,10457,63,41689,29,7,65,1,0,1,5044,36645,239,1737
2017,110012,2050,346,10338,57,41751,28,3,65,4,0,3,4801,36950,236,1814
2018,110012,2278,341,10212,58,41793,23,4,56,7,0,0,4806,36987,262,2016
2019,110012,2182,327,10077,62,41777,31,2,66,10,4,1,4679,37098,244,1938
2020,110012,2133,295,9950,60,41744,22,3,43,3,0,8,4717,37027,241,1892
2021,110012,1972,289,9731,51,41696,19,2,27,6,2,5,4712,36984,223,1749
2022,110012,2010,245,NA,63,NA,21,9,49,4,2,4,NA,NA,NA,NA
2012,110013,542,133,3265,31,10539,0,0,0,0,0,0,263,10276,14,528
2013,110013,514,145,3281,34,10828,0,0,0,0,0,0,303,10525,14,500
2014,110013,507,137,3293,18,11104,0,0,0,0,0,0,289,10815,13,494
2015,110013,480,122,3303,23,11373,1,0,11,0,0,0,307,11066,13,467
2016,110013,398,107,3286,16,11644,3,0,7,0,0,0,303,11341,10,388
2017,110013,449,91,3261,23,11898,3,0,7,0,0,0,262,11636,10,439
2018,110013,517,99,3236,31,12152,6,4,16,0,0,0,243,11909,10,507
2019,110013,500,95,3208,21,12384,13,1,17,0,0,3,223,12161,9,491
2020,110013,561,107,3179,24,12603,3,3,15,0,0,0,202,12401,9,552
2021,110013,468,97,3165,21,12822,7,1,19,1,0,0,205,12617,7,461
2022,110013,498,79,NA,22,NA,10,0,12,0,0,0,NA,NA,NA,NA
2012,110014,271,55,1914,7,6499,0,0,0,0,0,0,149,6350,6,265
2013,110014,278,69,1850,3,6516,0,0,0,0,0,0,150,6366,6,272
2014,110014,254,59,1784,4,6527,0,0,0,0,0,0,150,6377,6,248
2015,110014,256,50,1718,4,6535,1,0,0,2,0,0,183,6352,7,249
2016,110014,276,56,1672,6,6528,0,0,1,1,0,0,170,6358,7,269
2017,110014,224,32,1622,4,6512,2,0,2,0,0,0,143,6369,5,219
2018,110014,290,57,1571,1,6490,1,0,1,1,0,0,123,6367,6,284
2019,110014,261,27,1519,3,6463,0,0,2,0,0,0,116,6347,5,256
2020,110014,230,31,1468,8,6433,4,0,6,0,0,0,148,6285,5,225
2021,110014,233,43,1411,1,6368,3,0,2,1,0,1,172,6196,6,227
2022,110014,236,36,NA,2,NA,1,0,2,0,0,0,NA,NA,NA,NA
2012,110015,647,119,3551,18,12861,0,0,0,0,0,0,1016,11845,51,596
2013,110015,639,121,3436,19,12728,0,0,0,0,0,0,1056,11672,53,586
2014,110015,674,127,3303,17,12572,0,0,0,0,0,0,1106,11466,59,615
2015,110015,767,135,3173,15,12408,8,1,17,1,1,4,1166,11242,72,695
2016,110015,582,89,3082,15,12245,7,0,16,3,0,0,1102,11143,52,530
2017,110015,578,100,2984,11,12062,10,1,17,2,0,0,1013,11049,49,529
2018,110015,614,99,2884,11,11858,5,2,4,1,0,2,949,10909,49,565
2019,110015,631,110,2783,15,11659,3,0,10,3,1,0,874,10785,47,584
2020,110015,600,79,2683,8,11456,1,0,5,1,0,0,836,10620,44,556
2021,110015,538,71,2574,8,11265,0,0,7,0,1,0,800,10465,38,500
2022,110015,532,71,NA,15,NA,5,2,8,0,0,0,NA,NA,NA,NA
2012,110018,553,133,3256,17,11730,0,0,0,0,0,0,1173,10557,55,498
2013,110018,581,134,3210,19,11764,0,0,0,0,0,0,1176,10588,58,523
2014,110018,597,111,3160,9,11788,0,0,0,0,0,0,1155,10633,59,538
2015,110018,594,142,3109,13,11804,5,5,21,2,0,0,1228,10576,62,532
2016,110018,601,138,3069,9,11831,3,0,9,2,0,4,1230,10601,63,538
2017,110018,615,109,3023,10,11842,3,2,18,4,0,2,1172,10670,61,554
2018,110018,651,113,2974,9,11845,8,1,25,0,1,5,1196,10649,66,585
2019,110018,616,120,2925,12,11836,1,2,10,5,0,0,1160,10676,60,556
2020,110018,579,89,2875,9,11818,2,1,16,3,0,1,1182,10636,58,521
2021,110018,573,96,2802,4,11816,6,2,13,2,0,1,1193,10623,58,515
2022,110018,587,77,NA,14,NA,4,0,12,3,0,1,NA,NA,NA,NA
2012,110020,8941,1976,42963,471,155216,0,0,0,0,0,0,31354,123862,1806,7135
2013,110020,8927,1991,43190,467,157862,0,0,0,0,0,0,34256,123606,1937,6990
2014,110020,9130,1942,43349,464,160392,0,0,0,0,0,0,34163,126229,1945,7185
2015,110020,9093,1893,43502,460,162849,193,39,447,53,7,45,32244,130605,1800,7293
2016,110020,8611,1718,43498,443,165223,179,39,377,76,2,38,30401,134822,1584,7027
2017,110020,8800,1569,43403,409,167420,149,24,370,64,8,33,28629,138791,1505,7295
2018,110020,8752,1537,43272,431,169516,155,18,330,71,11,37,27123,142393,1400,7352
2019,110020,8437,1412,43130,389,171450,174,30,292,62,8,37,25889,145561,1274,7163
2020,110020,7893,1223,42993,364,173225,127,30,239,81,7,27,26677,146548,1216,6677
2021,110020,7703,1168,42411,363,174843,124,27,260,65,7,24,27975,146868,1232,6471
2022,110020,7354,993,NA,357,NA,120,23,219,71,28,27,NA,NA,NA,NA
2012,110025,243,50,1941,5,6936,0,0,0,0,0,0,555,6381,19,224
2013,110025,258,41,1837,11,6784,0,0,0,0,0,0,570,6214,22,236
2014,110025,289,44,1731,7,6625,0,0,0,0,0,0,590,6035,26,263
2015,110025,262,41,1623,7,6457,4,0,6,1,0,0,613,5844,25,237
2016,110025,276,55,1546,14,6294,5,0,3,0,1,0,560,5734,25,251
2017,110025,289,42,1467,6,6119,3,3,9,1,0,0,477,5642,23,266
2018,110025,294,53,1388,6,5924,5,3,4,0,0,0,427,5497,21,273
2019,110025,304,56,1307,6,5739,6,2,6,0,0,0,407,5332,22,282
2020,110025,259,34,1227,8,5556,3,0,6,1,0,0,406,5150,19,240
2021,110025,254,43,1155,2,5384,0,0,1,0,0,1,371,5013,18,236
2022,110025,294,41,NA,3,NA,0,1,0,1,0,1,NA,NA,NA,NA
2012,110026,41,12,336,1,1084,0,0,0,0,0,0,50,1034,2,39
2013,110026,38,9,336,1,1097,0,0,0,0,0,0,52,1045,2,36
2014,110026,36,3,330,1,1103,0,0,0,0,0,0,56,1047,2,34
2015,110026,36,9,327,3,1113,0,0,0,0,0,0,59,1054,2,34
2016,110026,35,6,316,0,1122,1,0,0,0,0,0,53,1069,2,33
2017,110026,49,8,304,0,1130,0,1,0,0,0,0,34,1096,1,48
2018,110026,46,7,294,3,1137,0,0,1,0,0,0,30,1107,1,45
2019,110026,50,7,280,2,1140,0,0,1,0,0,0,23,1117,1,49
2020,110026,48,7,268,5,1145,0,0,2,0,0,0,18,1127,1,47
2021,110026,48,4,262,2,1154,1,0,1,0,0,0,17,1137,1,47
2022,110026,35,6,NA,1,NA,0,0,0,0,0,0,NA,NA,NA,NA
2012,110028,927,216,4864,13,17989,0,0,0,0,0,0,1061,16928,55,872
2013,110028,879,173,4788,12,18103,0,0,0,0,0,0,1159,16944,56,823
2014,110028,947,188,4706,11,18193,0,0,0,0,0,0,1219,16974,63,884
2015,110028,936,181,4623,9,18263,1,1,4,3,1,1,1297,16966,66,870
2016,110028,855,149,4555,16,18306,1,0,4,2,0,2,1227,17079,57,798
2017,110028,963,164,4476,15,18324,1,0,4,2,0,0,1118,17206,59,904
2018,110028,900,148,4393,8,18318,3,0,4,0,0,0,1062,17256,52,848
2019,110028,927,136,4309,14,18303,1,0,3,1,0,0,1007,17296,51,876
2020,110028,877,118,4225,15,18282,1,0,3,2,0,2,1060,17222,51,826
2021,110028,816,106,4121,4,18256,0,0,3,0,0,0,1059,17197,47,769
2022,110028,835,87,NA,6,NA,2,3,4,1,1,0,NA,NA,NA,NA
2012,110029,118,26,744,1,2695,0,0,0,0,0,0,119,2576,5,113
2013,110029,98,21,683,0,2593,0,0,0,0,0,0,106,2487,4,94
2014,110029,103,16,619,1,2483,0,0,0,0,0,0,112,2371,5,98
2015,110029,109,28,554,1,2365,0,1,1,0,0,0,116,2249,5,104
2016,110029,114,19,520,2,2259,0,0,0,0,0,0,108,2151,5,109
2017,110029,112,15,485,1,2148,1,0,0,0,0,0,92,2056,5,107
2018,110029,103,14,449,1,2035,0,0,1,1,0,1,90,1945,5,98
2019,110029,99,14,413,3,1921,0,0,1,0,0,0,85,1836,4,95
2020,110029,99,16,377,1,1806,0,0,2,0,0,0,79,1727,4,95
2021,110029,78,10,353,0,1709,0,0,0,0,0,0,75,1634,3,75
2022,110029,73,11,NA,3,NA,1,0,1,0,0,0,NA,NA,NA,NA
2012,110030,1269,256,7726,29,28368,0,0,0,0,0,0,3035,25333,136,1133
2013,110030,1388,268,7803,32,29092,0,0,0,0,0,0,3258,25834,155,1233
2014,110030,1418,265,7882,43,29803,0,0,0,0,0,0,3606,26197,172,1246
2015,110030,1535,259,7957,36,30499,32,10,84,5,0,0,3690,26809,186,1349
2016,110030,1427,251,8040,35,31203,36,5,70,3,1,7,3713,27490,170,1257
2017,110030,1465,262,8109,26,31867,33,5,57,5,0,0,3665,28202,168,1297
2018,110030,1557,218,8162,35,32507,33,5,68,2,0,6,3608,28899,173,1384
2019,110030,1590,238,8220,24,33127,42,6,71,0,0,2,3511,29616,169,1421
2020,110030,1553,240,8276,31,33701,33,9,55,2,0,7,3572,30129,165,1388
2021,110030,1623,246,8233,37,34218,40,9,64,1,0,4,3661,30557,174,1449
2022,110030,1527,206,NA,32,NA,27,6,39,8,1,4,NA,NA,NA,NA
2012,110032,313,75,2279,11,7331,0,0,0,0,0,0,191,7140,8,305
2013,110032,355,91,2211,10,7357,0,0,0,0,0,0,154,7203,7,348
2014,110032,364,90,2140,10,7376,0,0,0,0,0,0,177,7199,9,355
2015,110032,311,67,2069,4,7392,3,0,7,0,0,0,214,7178,9,302
2016,110032,337,57,2004,5,7397,5,1,12,0,0,0,200,7197,9,328
2017,110032,372,73,1933,5,7392,5,1,17,0,0,0,200,7192,10,362
2018,110032,391,53,1861,7,7380,6,1,14,0,0,0,199,7181,11,380
2019,110032,353,53,1788,10,7361,9,2,22,1,0,1,184,7177,9,344
2020,110032,363,65,1716,12,7339,10,2,13,0,0,1,176,7163,9,354
2021,110032,344,41,1665,2,7311,10,2,17,0,0,0,175,7136,8,336
2022,110032,388,47,NA,10,NA,8,2,10,0,0,1,NA,NA,NA,NA
2012,110033,383,108,2557,30,7928,0,0,0,0,0,0,87,7841,4,379
2013,110033,416,106,2615,30,8228,0,0,0,0,0,0,99,8129,5,411
2014,110033,425,97,2664,31,8520,0,0,0,0,0,0,136,8384,7,418
2015,110033,404,91,2719,47,8813,6,0,32,0,0,0,159,8654,7,397
2016,110033,411,89,2728,31,9078,4,1,12,0,0,0,154,8924,7,404
2017,110033,487,109,2732,34,9334,11,2,18,0,0,0,149,9185,8,479
2018,110033,482,116,2736,40,9588,9,1,9,0,0,0,134,9454,7,475
2019,110033,432,100,2738,25,9827,7,3,20,1,0,1,128,9699,6,426
2020,110033,423,85,2737,30,10051,7,2,16,0,0,0,111,9940,5,418
2021,110033,469,96,2711,24,10251,7,0,14,0,0,0,113,10138,5,464
2022,110033,464,82,NA,24,NA,6,1,24,0,0,0,NA,NA,NA,NA
2012,110034,189,46,1555,1,5263,0,0,0,0,0,0,242,5021,9,180
2013,110034,220,46,1471,8,5153,0,0,0,0,0,0,252,4901,11,209
2014,110034,184,34,1384,4,5037,0,0,0,0,0,0,277,4760,10,174
2015,110034,200,43,1297,2,4914,4,0,5,0,0,0,300,4614,12,188
2016,110034,166,36,1238,5,4795,1,0,3,0,0,0,283,4512,10,156
2017,110034,178,31,1177,6,4670,2,0,4,0,0,0,243,4427,9,169
2018,110034,162,26,1114,8,4534,0,0,5,0,0,0,222,4312,8,154
2019,110034,205,39,1052,5,4409,2,0,2,0,0,0,212,4197,10,195
2020,110034,210,35,990,9,4274,0,1,6,0,0,0,201,4073,10,200
2021,110034,200,20,935,8,4151,2,0,3,1,0,0,203,3948,10,190
2022,110034,183,21,NA,6,NA,4,0,3,0,0,0,NA,NA,NA,NA
2012,110037,189,52,1272,9,4127,0,0,0,0,0,0,50,4077,2,187
2013,110037,163,42,1258,6,4157,0,0,0,0,0,0,42,4115,2,161
2014,110037,172,29,1241,10,4181,0,0,0,0,0,0,38,4143,2,170
2015,110037,149,29,1225,4,4202,1,0,0,0,0,0,50,4152,2,147
2016,110037,168,38,1192,2,4193,0,0,0,0,0,0,50,4143,2,166
2017,110037,172,40,1158,3,4181,0,0,0,0,0,0,46,4135,2,170
2018,110037,160,30,1122,2,4165,0,0,2,0,0,0,42,4123,2,158
2019,110037,154,32,1086,2,4144,0,0,0,0,0,0,46,4098,2,152
2020,110037,146,21,1050,2,4121,0,0,0,0,0,0,41,4080,1,145
2021,110037,143,24,1007,2,4091,0,0,0,0,0,0,41,4050,1,142
2022,110037,150,28,NA,3,NA,1,0,0,0,0,0,NA,NA,NA,NA
2012,110040,194,55,1840,2,5795,0,0,0,0,0,0,180,5615,6,188
2013,110040,211,51,1860,11,5971,0,0,0,0,0,0,185,5786,7,204
2014,110040,254,69,1872,14,6138,0,0,0,0,0,0,178,5960,7,247
2015,110040,247,51,1885,9,6302,2,0,2,1,0,0,183,6119,7,240
2016,110040,220,56,1864,1,6434,0,0,2,0,0,0,167,6267,6,214
2017,110040,242,58,1835,1,6555,2,0,1,0,0,0,131,6424,5,237
2018,110040,219,48,1803,8,6676,1,0,5,0,0,0,107,6569,4,215
2019,110040,226,49,1773,9,6778,3,1,7,0,0,0,102,6676,3,223
2020,110040,218,43,1743,12,6883,8,0,3,0,0,0,83,6800,3,215
2021,110040,224,32,1711,13,6971,4,0,4,0,0,0,77,6894,2,222
2022,110040,204,28,NA,6,NA,1,0,0,0,0,0,NA,NA,NA,NA
2012,110045,555,125,3514,20,11343,0,0,0,0,0,0,193,11150,9,546
2013,110045,598,138,3535,15,11613,0,0,0,0,0,0,209,11404,11,587
2014,110045,620,131,3554,14,11875,0,0,0,0,0,0,297,11578,16,604
2015,110045,608,129,3576,12,12132,4,0,8,0,0,0,279,11853,14,594
2016,110045,624,154,3552,12,12337,1,0,8,0,0,0,271,12066,14,610
2017,110045,632,136,3520,11,12525,2,0,7,0,0,1,326,12199,16,616
2018,110045,617,124,3487,10,12708,1,0,2,1,0,0,292,12416,14,603
2019,110045,583,103,3461,13,12882,5,0,6,0,0,0,309,12573,14,569
2020,110045,508,87,3416,12,13031,4,1,7,1,0,0,261,12770,10,498
2021,110045,542,80,3341,17,13158,2,1,6,0,0,0,237,12921,10,532
2022,110045,517,107,NA,12,NA,0,0,2,0,0,0,NA,NA,NA,NA
2012,110050,125,28,923,4,3151,0,0,0,0,0,0,57,3094,2,123
2013,110050,122,16,862,3,3076,0,0,0,0,0,0,55,3021,2,120
2014,110050,93,14,799,0,2994,0,0,0,0,0,0,57,2937,2,91
2015,110050,109,20,734,1,2902,0,0,1,0,0,1,61,2841,2,107
2016,110050,95,18,692,5,2822,0,0,1,0,0,0,65,2757,2,93
2017,110050,91,21,649,3,2735,0,0,0,0,0,0,63,2672,2,89
2018,110050,111,16,605,0,2642,1,0,0,0,0,0,58,2584,2,109
2019,110050,98,8,561,1,2545,0,0,0,0,1,0,53,2492,2,96
2020,110050,78,11,517,1,2457,0,0,0,0,0,0,57,2400,2,76
2021,110050,84,8,492,1,2363,0,0,1,0,0,0,50,2313,2,82
2022,110050,102,9,NA,0,NA,0,0,1,0,0,0,NA,NA,NA,NA
2012,110060,61,14,599,3,1894,0,0,0,0,0,0,81,1813,3,58
2013,110060,63,14,602,3,1920,0,0,0,0,0,0,90,1830,3,60
2014,110060,58,13,598,4,1938,0,0,0,0,0,0,91,1847,3,55
2015,110060,72,18,596,1,1955,0,0,1,0,0,0,68,1887,3,69
2016,110060,67,14,580,0,1964,2,0,1,0,0,0,63,1901,2,65
2017,110060,71,19,564,1,1972,1,1,1,0,0,0,53,1919,2,69
2018,110060,80,15,543,3,1973,1,0,2,0,0,0,37,1936,2,78
2019,110060,75,14,526,1,1977,0,0,1,0,0,0,32,1945,1,74
2020,110060,70,15,507,0,1977,0,0,2,0,0,0,36,1941,1,69
2021,110060,60,5,489,3,1978,1,0,0,0,0,0,28,1950,1,59
2022,110060,64,10,NA,2,NA,1,0,1,0,0,0,NA,NA,NA,NA
2012,110070,164,46,1298,10,4089,0,0,0,0,0,0,25,4064,1,163
2013,110070,183,37,1291,6,4149,0,0,0,0,0,0,33,4116,1,182
2014,110070,181,44,1281,11,4202,0,0,0,0,0,0,34,4168,1,180
2015,110070,156,27,1271,3,4255,0,1,0,0,0,0,34,4221,1,155
2016,110070,162,46,1244,3,4296,2,0,2,0,0,0,34,4262,1,161
2017,110070,174,46,1213,5,4330,1,0,1,0,0,0,30,4300,1,173
2018,110070,195,39,1182,13,4362,0,0,0,0,0,0,31,4331,1,194
2019,110070,166,26,1152,5,4393,2,0,1,0,0,0,26,4367,1,165
2020,110070,173,28,1121,5,4417,0,0,0,0,0,0,27,4390,1,172
2021,110070,133,31,1088,4,4430,0,0,0,0,0,0,22,4408,1,132
2022,110070,137,30,NA,4,NA,0,0,4,0,0,0,NA,NA,NA,NA
2012,110080,430,122,2212,43,6911,0,0,0,0,0,0,207,6704,13,417
2013,110080,405,105,2251,35,7163,0,0,0,0,0,0,229,6934,13,392
2014,110080,296,90,2291,23,7417,0,0,0,0,0,0,260,7157,10,286
2015,110080,323,89,2330,28,7663,5,0,4,0,0,0,291,7372,12,311
2016,110080,372,101,2334,34,7901,3,0,7,0,0,0,261,7640,12,360
2017,110080,397,107,2326,19,8123,8,2,5,0,0,0,219,7904,11,386
