"codmunres";"ano";"total_de_nascidos_vivos";"nascidos_vivos_asfixia1";"nascidos_vivos_asfixia2"
120035;2020;334;4;4
120035;2021;443;5;5
120038;2015;350;5;5
120038;2016;339;1;1
120038;2017;305;2;2
120038;2018;309;3;3
120038;2019;318;2;2
120038;2020;285;2;2
120038;2021;282;4;4
120039;2015;262;4;4
120039;2016;230;1;1
120039;2017;282;3;3
120039;2018;254;2;2
120039;2019;270;2;2
120039;2020;287;5;5
120039;2021;338;6;6
120040;2015;6965;46;46
120040;2016;6614;42;42
120040;2017;6460;54;54
120040;2018;6495;65;65
120040;2019;6324;72;72
120040;2020;5745;52;52
120040;2021;5666;40;40
120042;2015;396;4;4
120042;2016;304;2;2
120042;2017;366;1;1
120042;2018;394;4;4
120042;2019;334;5;5
120042;2020;347;5;5
120042;2021;335;5;5
120043;2015;150;1;1
120043;2016;95;2;2
120043;2017;198;3;3
120043;2018;207;2;2
120043;2019;186;2;2
120043;2020;149;2;2
120043;2021;178;3;3
120045;2015;443;3;3
120045;2016;410;3;3
120045;2017;395;3;3
120045;2018;476;4;4
120045;2019;417;3;3
120045;2020;401;6;6
120045;2021;392;4;4
120050;2015;847;5;5
120050;2016;762;11;11
120050;2017;780;9;9
120050;2018;788;8;8
120050;2019;768;13;13
120050;2020;668;9;9
120050;2021;759;9;9
120060;2015;1165;17;17
120060;2016;1078;20;20
120060;2017;1132;17;17
120060;2018;1193;15;15
120060;2019;1143;19;19
120060;2020;1161;11;11
120060;2021;1174;20;20
120070;2015;322;5;5
120070;2016;329;1;1
120070;2017;305;4;4
120070;2018;325;2;2
120070;2019;297;4;4
120070;2020;316;3;3
120070;2021;326;4;4
120080;2015;358;3;3
120080;2016;356;2;2
120080;2017;430;4;4
120080;2018;392;6;6
120080;2019;379;4;4
120080;2020;361;3;3
120080;2021;354;2;2
130002;2015;342;4;4
130002;2016;325;0;0
130002;2017;401;6;6
130002;2018;346;5;5
130002;2019;418;2;2
130002;2020;397;5;5
130002;2021;445;6;6
130006;2015;214;2;2
130006;2016;280;1;1
130006;2017;267;6;6
130006;2018;247;0;0
130006;2019;265;0;0
130006;2020;265;4;4
130006;2021;285;0;0
130008;2015;163;0;0
130008;2016;182;1;1
130008;2017;196;6;6
130008;2018;214;3;3
130008;2019;190;2;2
130008;2020;228;3;3
130008;2021;180;0;0
130010;2015;255;0;0
130010;2016;266;3;3
130010;2017;257;4;4
130010;2018;247;3;3
130010;2019;233;0;0
130010;2020;258;1;1
130010;2021;262;6;6
130014;2015;204;1;1
130014;2016;211;3;3
130014;2017;233;8;8
130014;2018;242;4;4
130014;2019;239;5;5
130014;2020;265;1;1
130014;2021;290;2;2
130020;2015;439;5;5
130020;2016;380;0;0
130020;2017;382;3;3
130020;2018;357;1;1
130020;2019;313;1;1
130020;2020;280;1;1
130020;2021;271;1;1
130030;2015;829;8;8
130030;2016;890;12;12
130030;2017;897;5;5
130030;2018;948;10;10
130030;2019;872;11;11
130030;2020;906;13;13
130030;2021;950;7;7
130040;2015;505;4;4
130040;2016;496;2;2
130040;2017;524;2;2
130040;2018;570;2;2
130040;2019;556;3;3
130040;2020;497;2;2
130040;2021;507;2;2
130050;2015;815;9;9
130050;2016;810;4;4
130050;2017;870;8;8
130050;2018;851;8;8
130050;2019;857;3;3
130050;2020;846;5;5
130050;2021;939;6;6
130060;2015;968;7;7
130060;2016;1021;10;10
130060;2017;1039;7;7
130060;2018;985;7;7
130060;2019;1030;5;5
130060;2020;984;3;3
130060;2021;1055;5;5
130063;2015;489;1;1
130063;2016;510;5;5
130063;2017;597;4;4
130063;2018;501;2;2
130063;2019;525;5;5
130063;2020;510;3;3
130063;2021;589;6;6
130068;2015;369;0;0
130068;2016;312;1;1
130068;2017;319;3;3
130068;2018;318;1;1
130068;2019;330;5;5
130068;2020;299;1;1
130068;2021;297;3;3
130070;2015;695;6;6
130070;2016;653;6;6
130070;2017;771;6;6
130070;2018;739;5;5
130070;2019;725;8;8
130070;2020;718;5;5
130070;2021;772;12;12
130080;2015;725;2;2
130080;2016;663;3;3
130080;2017;797;5;5
130080;2018;789;7;7
130080;2019;763;3;3
130080;2020;774;7;7
130080;2021;886;6;6
130083;2015;173;2;2
130083;2016;183;3;3
130083;2017;216;1;1
130083;2018;188;1;1
130083;2019;169;2;2
130083;2020;204;9;9
130083;2021;205;5;5
130090;2015;219;2;2
130090;2016;217;2;2
130090;2017;191;3;3
130090;2018;222;2;2
130090;2019;192;4;4
130090;2020;197;1;1
130090;2021;198;1;1
130100;2015;628;2;2
130100;2016;625;14;14
130100;2017;626;20;20
130100;2018;636;10;10
130100;2019;635;25;25
130100;2020;585;4;4
130100;2021;684;15;15
130110;2015;419;2;2
130110;2016;481;7;7
130110;2017;512;4;4
130110;2018;550;2;2
130110;2019;564;9;9
130110;2020;565;2;2
130110;2021;619;2;2
130115;2015;215;0;0
130115;2016;199;0;0
130115;2017;237;0;0
130115;2018;275;2;2
130115;2019;198;3;3
130115;2020;190;0;0
130115;2021;218;0;0
130120;2015;1744;9;9
130120;2016;1646;8;8
130120;2017;1656;16;16
130120;2018;1747;16;16
130120;2019;1698;10;10
130120;2020;1601;6;6
130120;2021;1622;2;2
130130;2015;434;3;3
130130;2016;404;6;6
130130;2017;439;3;3
130130;2018;429;4;4
130130;2019;468;5;5
130130;2020;474;7;7
130130;2021;496;3;3
130140;2015;825;11;11
130140;2016;787;9;9
130140;2017;854;26;26
130140;2018;830;19;19
130140;2019;792;14;14
130140;2020;717;8;8
130140;2021;728;10;10
130150;2015;412;4;4
130150;2016;369;2;2
130150;2017;424;2;2
130150;2018;369;7;7
130150;2019;391;3;3
130150;2020;367;1;1
130150;2021;365;4;4
130160;2015;670;6;6
130160;2016;573;8;8
130160;2017;630;7;7
130160;2018;621;3;3
130160;2019;579;5;5
130160;2020;628;6;6
130160;2021;678;5;5
130165;2015;334;3;3
130165;2016;284;0;0
130165;2017;326;2;2
130165;2018;293;0;0
130165;2019;285;2;2
130165;2020;291;5;5
130165;2021;340;3;3
130170;2015;941;6;6
130170;2016;977;7;7
130170;2017;1001;6;6
130170;2018;1006;5;5
130170;2019;978;2;2
130170;2020;986;5;5
130170;2021;1127;5;5
130180;2015;441;2;2
130180;2016;389;4;4
130180;2017;409;2;2
130180;2018;413;0;0
130180;2019;376;2;2
130180;2020;342;1;1
130180;2021;406;4;4
130185;2015;867;9;9
130185;2016;928;8;8
130185;2017;941;4;4
130185;2018;945;2;2
130185;2019;1021;5;5
130185;2020;913;4;4
130185;2021;939;10;10
130190;2015;2078;10;10
130190;2016;2028;13;13
130190;2017;1985;29;29
130190;2018;2068;14;14
130190;2019;2034;30;30
130190;2020;1929;22;22
130190;2021;2045;11;11
130195;2015;293;1;1
130195;2016;263;1;1
130195;2017;245;0;0
130195;2018;303;0;0
130195;2019;247;1;1
130195;2020;240;1;1
130195;2021;298;1;1
130200;2015;148;0;0
130200;2016;187;0;0
130200;2017;165;1;1
130200;2018;171;1;1
130200;2019;173;2;2
130200;2020;188;1;1
130200;2021;208;1;1
130210;2015;169;1;1
130210;2016;150;0;0
130210;2017;161;2;2
130210;2018;151;1;1
130210;2019;121;1;1
130210;2020;188;0;0
130210;2021;176;0;0
130220;2015;217;1;1
130220;2016;175;3;3
130220;2017;253;0;0
130220;2018;251;2;2
130220;2019;235;1;1
130220;2020;225;2;2
130220;2021;208;0;0
130230;2015;633;2;2
130230;2016;604;0;0
130230;2017;659;4;4
130230;2018;648;2;2
130230;2019;646;2;2
130230;2020;654;0;0
130230;2021;680;1;1
130240;2015;659;20;20
130240;2016;652;20;20
130240;2017;741;22;22
130240;2018;779;12;12
130240;2019;892;8;8
130240;2020;801;25;25
130240;2021;881;10;10
130250;2015;2070;7;7
130250;2016;1795;6;6
130250;2017;1938;11;11
130250;2018;2056;13;13
130250;2019;2115;11;11
130250;2020;2097;11;11
130250;2021;2265;13;13
130255;2015;234;6;6
130255;2016;253;2;2
130255;2017;300;2;2
130255;2018;303;0;0
130255;2019;276;2;2
130255;2020;249;2;2
130255;2021;256;3;3
130260;2015;42342;375;375
130260;2016;39603;260;260
130260;2017;38498;340;340
130260;2018;38588;219;219
130260;2019;37939;236;236
130260;2020;37274;203;203
130260;2021;37041;244;244
130270;2015;930;11;11
130270;2016;911;12;12
130270;2017;989;27;27
130270;2018;1013;7;7
130270;2019;1023;12;12
130270;2020;996;13;13
130270;2021;1010;17;17
130280;2015;323;2;2
130280;2016;358;2;2
130280;2017;418;1;1
130280;2018;405;2;2
130280;2019;381;4;4
130280;2020;417;1;1
130280;2021;449;4;4
130290;2015;1335;18;18
130290;2016;1273;20;20
130290;2017;1553;13;13
130290;2018;1581;16;16
130290;2019;1539;24;24
130290;2020;1403;24;24
130290;2021;1515;25;25
130300;2015;356;4;4
130300;2016;338;5;5
130300;2017;358;1;1
130300;2018;314;3;3
130300;2019;346;2;2
130300;2020;327;3;3
130300;2021;348;5;5
130310;2015;593;1;1
130310;2016;587;7;7
130310;2017;592;5;5
130310;2018;612;3;3
130310;2019;546;4;4
130310;2020;596;7;7
130310;2021;640;3;3
130320;2015;316;3;3
130320;2016;289;1;1
130320;2017;333;2;2
130320;2018;327;2;2
130320;2019;310;3;3
130320;2020;290;2;2
130320;2021;306;4;4
130330;2015;409;5;5
130330;2016;386;8;8
130330;2017;406;11;11
130330;2018;379;10;10
130330;2019;392;7;7
130330;2020;369;7;7
130330;2021;440;10;10
130340;2015;1995;16;16
130340;2016;1932;11;11
130340;2017;2139;35;35
130340;2018;2067;22;22
130340;2019;1947;22;22
130340;2020;1805;18;18
130340;2021;2039;22;22
130350;2015;374;1;1
130350;2016;348;1;1
130350;2017;355;2;2
130350;2018;362;4;4
130350;2019;369;4;4
130350;2020;356;6;6
130350;2021;426;1;1
130353;2015;558;3;3
130353;2016;548;3;3
130353;2017;523;5;5
130353;2018;558;5;5
130353;2019;513;5;5
130353;2020;551;5;5
130353;2021;605;3;3
130356;2015;391;1;1
130356;2016;415;7;7
130356;2017;422;5;5
130356;2018;431;3;3
130356;2019;440;5;5
130356;2020;393;2;2
130356;2021;418;3;3
130360;2015;301;7;7
130360;2016;305;13;13
130360;2017;370;28;28
130360;2018;372;6;6
130360;2019;322;3;3
130360;2020;320;2;2
130360;2021;368;1;1
130370;2015;718;5;5
130370;2016;693;2;2
130370;2017;724;3;3
130370;2018;704;3;3
130370;2019;773;2;2
130370;2020;733;3;3
130370;2021;826;5;5
130380;2015;1120;18;18
130380;2016;1255;13;13
130380;2017;1214;9;9
130380;2018;1227;2;2
130380;2019;1436;4;4
130380;2020;1378;2;2
130380;2021;1588;6;6
130390;2015;753;8;8
130390;2016;871;3;3
130390;2017;999;1;1
130390;2018;935;3;3
130390;2019;956;3;3
130390;2020;919;2;2
130390;2021;993;6;6
130395;2015;180;1;1
130395;2016;178;2;2
130395;2017;206;4;4
130395;2018;186;2;2
130395;2019;200;2;2
130395;2020;205;3;3
130395;2021;204;4;4
130400;2015;202;0;0
130400;2016;208;0;0
130400;2017;246;0;0
130400;2018;197;2;2
130400;2019;229;2;2
130400;2020;181;2;2
130400;2021;210;2;2
130406;2015;1615;12;12
130406;2016;1753;15;15
130406;2017;1701;2;2
130406;2018;1685;3;3
130406;2019;1770;8;8
130406;2020;1653;6;6
130406;2021;1812;5;5
130410;2015;439;2;2
130410;2016;389;2;2
130410;2017;405;8;8
130410;2018;394;1;1
130410;2019;432;2;2
130410;2020;452;2;2
130410;2021;468;2;2
130420;2015;1754;14;14
130420;2016;1679;24;24
130420;2017;1763;21;21
130420;2018;1822;22;22
130420;2019;1927;19;19
130420;2020;1792;18;18
130420;2021;1871;20;20
130423;2015;391;1;1
130423;2016;363;2;2
130423;2017;458;5;5
130423;2018;435;2;2
130423;2019;429;2;2
130423;2020;412;3;3
130423;2021;450;3;3
130426;2015;295;4;4
130426;2016;264;3;3
130426;2017;333;7;7
130426;2018;286;3;3
130426;2019;351;3;3
130426;2020;334;3;3
130426;2021;387;5;5
130430;2015;272;11;11
130430;2016;265;9;9
130430;2017;270;1;1
130430;2018;261;5;5
130430;2019;318;4;4
130430;2020;289;6;6
130430;2021;265;1;1
130440;2015;282;1;1
130440;2016;299;4;4
130440;2017;315;8;8
130440;2018;313;5;5
130440;2019;321;0;0
130440;2020;291;1;1
130440;2021;379;0;0
140002;2015;339;9;9
140002;2016;331;9;9
140002;2017;355;6;6
140002;2018;433;12;12
140002;2019;446;7;7
140002;2020;395;8;8
140002;2021;435;7;7
140005;2015;550;5;5
140005;2016;620;15;15
140005;2017;526;6;6
140005;2018;737;5;5
140005;2019;711;4;4
140005;2020;737;3;3
140005;2021;768;7;7
140010;2015;6719;98;98
140010;2016;6749;100;100
140010;2017;7043;88;88
140010;2018;8163;114;114
140010;2019;8936;167;167
140010;2020;8195;164;164
140010;2021;8108;158;158
140015;2015;355;9;9
140015;2016;365;4;4
140015;2017;377;13;13
140015;2018;391;16;16
140015;2019;470;17;17
140015;2020;464;18;18
140015;2021;433;17;17
140017;2015;327;9;9
140017;2016;315;8;8
140017;2017;352;19;19
140017;2018;337;19;19
140017;2019;385;16;16
140017;2020;373;15;15
140017;2021;418;22;22
140020;2015;414;7;7
140020;2016;381;7;7
140020;2017;407;10;10
140020;2018;406;5;5
140020;2019;445;6;6
140020;2020;431;5;5
140020;2021;424;6;6
140023;2015;139;3;3
140023;2016;145;1;1
140023;2017;183;1;1
140023;2018;181;1;1
140023;2019;204;1;1
140023;2020;183;2;2
140023;2021;210;2;2
140028;2015;169;0;0
140028;2016;138;1;1
140028;2017;154;1;1
140028;2018;138;4;4
140028;2019;185;1;1
140028;2020;149;8;8
140028;2021;142;2;2
140030;2015;341;4;4
140030;2016;308;3;3
140030;2017;309;2;2
140030;2018;325;2;2
140030;2019;372;6;6
140030;2020;337;9;9
140030;2021;369;14;14
140040;2015;442;6;6
140040;2016;428;9;9
140040;2017;415;12;12
140040;2018;463;12;12
140040;2019;489;11;11
140040;2020;554;5;5
140040;2021;477;11;11
140045;2015;361;10;10
140045;2016;357;5;5
140045;2017;380;7;7
140045;2018;423;11;11
140045;2019;556;7;7
140045;2020;508;16;16
140045;2021;609;11;11
140047;2015;527;4;4
140047;2016;542;7;7
140047;2017;563;5;5
140047;2018;628;7;7
140047;2019;567;1;1
140047;2020;598;5;5
140047;2021;561;5;5
140050;2015;117;2;2
140050;2016;104;0;0
140050;2017;122;2;2
140050;2018;119;0;0
140050;2019;131;2;2
140050;2020;126;2;2
140050;2021;141;0;0
140060;2015;91;1;1
140060;2016;83;0;0
140060;2017;106;1;1
140060;2018;86;1;1
140060;2019;107;0;0
140060;2020;106;0;0
140060;2021;102;1;1
140070;2015;518;16;16
140070;2016;509;16;16
140070;2017;445;10;10
140070;2018;513;17;17
140070;2019;616;11;11
140070;2020;603;15;15
140070;2021;704;7;7
150010;2015;2660;22;22
150010;2016;2532;27;27
150010;2017;2713;27;27
150010;2018;2671;31;31
150010;2019;2623;28;28
150010;2020;2552;24;24
150010;2021;2768;26;26
150013;2015;143;0;0
150013;2016;117;2;2
150013;2017;142;2;2
150013;2018;130;0;0
150013;2019;132;0;0
150013;2020;98;1;1
150013;2021;132;2;2
150020;2015;936;10;10
150020;2016;996;11;11
150020;2017;992;10;10
150020;2018;1013;10;10
150020;2019;980;12;12
150020;2020;947;11;11
150020;2021;959;6;6
150030;2015;871;15;15
150030;2016;911;14;14
150030;2017;968;8;8
150030;2018;1022;12;12
150030;2019;1014;12;12
150030;2020;964;10;10
150030;2021;1063;8;8
150034;2015;199;0;0
150034;2016;163;1;1
150034;2017;215;1;1
150034;2018;223;3;3
150034;2019;225;1;1
150034;2020;169;2;2
150034;2021;209;2;2
150040;2015;1133;15;15
150040;2016;1031;11;11
150040;2017;1132;16;16
150040;2018;1190;16;16
150040;2019;1194;14;14
150040;2020;1070;18;18
150040;2021;1131;17;17
150050;2015;797;12;12
150050;2016;739;8;8
150050;2017;745;10;10
150050;2018;780;9;9
150050;2019;779;10;10
150050;2020;779;8;8
150050;2021;792;13;13
150060;2015;2991;43;43
150060;2016;2846;35;35
150060;2017;2487;39;39
150060;2018;2568;41;41
150060;2019;2371;15;15
150060;2020;2332;9;9
150060;2021;2207;12;12
150070;2015;742;42;42
150070;2016;819;35;35
150070;2017;855;15;15
150070;2018;871;20;20
150070;2019;837;4;4
150070;2020;821;12;12
150070;2021;861;9;9
150080;2015;8397;52;52
150080;2016;8011;44;44
150080;2017;7940;71;71
150080;2018;7772;55;55
150080;2019;7408;57;57
150080;2020;6953;42;42
150080;2021;6856;36;36
150085;2015;600;5;5
150085;2016;575;4;4
150085;2017;630;4;4
150085;2018;656;7;7
150085;2019;652;8;8
150085;2020;631;2;2
150085;2021;649;6;6
150090;2015;954;14;14
150090;2016;954;16;16
150090;2017;935;11;11
150090;2018;901;9;9
