"ano","cod_uf","local","outra_uf","dentro_macrorregiao_saude","dentro_regiao_saude","fora_macrorregiao_saude","km_partos_fora_macrorregiao","km_partos_na_macrorregiao","km_partos_na_regiao","km_partos_fora_uf","km_partos_fora_macrorregiao_alta_complexidade","km_partos_na_macrorregiao_alta_complexidade","km_partos_na_regiao_alta_complexidade","km_partos_fora_uf_alta_complexidade","km_partos_fora_macrorregiao_baixa_complexidade","km_partos_na_macrorregiao_baixa_complexidade","km_partos_na_regiao_baixa_complexidade","km_partos_fora_uf_baixa_complexidade","nao_local","km_partos_fora_municipio","km_partos_fora_municipio_alta_complexidade","km_partos_fora_municipio_baixa_complexidade","destino_total","uf"
2021,21,74461,3175,6630,22765,1636,116.7552,116.532,33.8576,72.3221,323.1095,166.44,30.7115,57.5574,80.7614,100.8205,34.0391,72.3221,34206,51.6264,89.9929,46.3644,108667,"Maranhão"
2021,22,25032,347,2677,15268,2654,207.1748,142.8219,61.5287,82.8577,211.2158,164.0738,69.8756,58.6479,180.7399,111.0813,54.273,95.13,20946,78.5747,94.8497,63.7764,45978,"Piauí"
2021,23,76543,496,13851,26562,2814,173.9208,52.7147,39.9145,78.4262,188.3224,55.9577,41.9954,86.437,137.5386,35.0362,37.0771,67.5627,43723,44.5082,47.076,38.1959,120266,"Ceará"
2021,24,21315,128,8397,13163,427,180.6092,79.4196,36.9739,164.4624,180.6092,80.2165,23.5189,203.6764,299.7751,74.168,42.3498,56.863,22115,50.2394,68.3215,43.1811,43430,"Rio Grande do Norte"
2021,25,28027,1075,8482,17070,1395,69.6516,62.3266,30.3351,81.4288,69.6516,62.3266,32.0282,116.0759,223.0068,66.0654,29.7105,74.283,28022,40.5657,44.6279,32.6033,56049,"Paraíba"
2021,26,54406,2518,12687,47532,9068,136.7715,78.5226,24.3422,57.9111,156.0716,84.2023,23.8586,98.218,88.4996,66.5752,25.8606,31.2058,71805,38.6974,50.1981,33.7821,126211,"Pernambuco"
2021,27,26569,544,5952,14745,998,62.1859,77.6507,28.0202,40.0071,62.1859,77.4886,29.1076,76.3217,71.593,80.703,28.0202,38.0953,22239,37.1441,39.2156,33.5828,48808,"Alagoas"
2021,28,12206,225,10286,8489,0,0,62.0958,27.3176,74.9993,0,54.0195,20.8793,95.9641,0,69.0227,30.5966,30.7487,19000,40.0581,30.5966,45.2421,31206,"Sergipe"
2021,29,126448,4871,9668,37827,6645,142.5351,76.1071,50.1456,92.0187,184.5886,56.5194,43.6777,64.2364,115.9259,100.8179,51.213,92.7576,59011,60.3738,56.5194,60.7365,185459,"Bahia"
2021,31,150529,1749,24356,60494,5008,99.1994,41.3045,33.3064,83.7263,99.1994,53.7848,33.441,91.3692,99.1994,34.1695,33.3064,79.1889,91607,35.9687,37.8062,33.599,242136,"Minas Gerais"
2021,32,29868,659,0,19269,2697,125.0036,0,30.1498,45.9968,130.4635,0,37.5453,57.7161,54.8231,0,29.8763,31.5872,22625,33.4516,45.5148,30.1498,52493,"Espírito Santo"
2021,33,141832,514,3754,40690,3076,81.281,37.6284,18.7599,74.0322,104.9553,37.6284,20.8512,64.7144,45.7365,24.4013,15.3482,96.9253,48034,20.9699,22.0564,20.8512,189866,"Rio de Janeiro"
2021,35,391781,631,10591,87462,34774,28.4432,57.4901,20.3892,183.7658,28.1097,59.4086,20.3892,165.791,28.684,44.8585,20.3233,228.7896,133458,23.151,23.151,23.151,525239,"São Paulo"
2021,41,89039,927,3915,47109,986,76.9692,85.0145,33.5671,24.4465,113.1791,90.5733,40.86,39.1149,48.6579,71.5048,28.5866,13.226,52937,36.0588,42.9115,29.5441,141976,"Paraná"
2021,42,56386,1027,2369,34685,2032,63.0873,45.3871,21.2528,41.304,65.4927,52.0876,21.5336,44.5417,58.6831,33.012,21.1575,33.5961,40113,25.2267,26.1473,23.4138,96499,"Santa Catarina"
2021,43,83661,216,10072,28338,2159,87.6993,36.9379,25.5552,98.0452,112.8626,36.2582,25.5552,98.0452,43.4444,48.8176,29.9431,61.0949,40785,30.422,30.422,32.4501,124446,"Rio Grande do Sul"
2021,50,35362,471,0,5915,425,277.7478,0,73.8508,127.8785,332.6854,0,80.8617,132.8518,208.4444,0,73.8508,84.9581,6811,79.0352,94.7829,73.8508,42173,"Mato Grosso do Sul"
2021,51,42346,426,1959,11958,1152,258.1802,165.1659,65.1743,442.4358,258.1802,202.9043,61.3866,628.1541,215.8316,156.9436,67.925,346.7254,15495,85.2099,84.4461,85.2099,57841,"Mato Grosso"
2021,52,53536,13643,2513,10734,10535,21.2427,108.9162,36.8664,47.5387,67.2545,159.8029,48.4442,47.5387,18.5967,102.2075,35.3093,106.9115,37425,45.5177,47.5387,35.6343,90961,"Goiás"
2021,53,37488,547,0,0,0,0,0,0,77.9702,0,0,0,203.8421,0,0,0,59.4445,547,77.9702,203.8421,59.4445,38035,"Distrito Federal"
2022,11,18363,328,1324,4464,422,480.0495,179.7404,58.2922,510.8572,483.308,223.1,87.1502,510.8572,313.5066,142.0344,48.6625,510.8572,6538,66.3497,114.4831,59.5028,24901,"Rondônia"
2022,12,10605,29,456,3393,0,0,230.9522,60.4966,2062.3543,0,230.9522,60.4966,3219.6442,0,226.9878,71.7264,990.3902,3878,72.9459,82.2347,72.9459,14483,"Acre"
2022,13,67795,606,437,3062,619,267.9083,130.5185,50.4066,205.3184,366.7471,157.3514,80.6207,223.1406,89.8638,101.5978,38.3099,21.8444,4724,89.8638,119.1932,70.4762,72519,"Amazonas"
2022,14,9913,44,592,2542,0,0,296.6059,124.1228,864.1031,0,0,169.1685,864.1031,0,296.6059,124.1228,864.1031,3178,138.9928,864.1031,127.2469,13091,"Roraima"
2022,15,94869,2185,3096,20991,6859,128.9269,145.1726,36.1085,243.5271,125.4156,159.75,23.9948,243.5271,131.1177,124.9035,51.7905,207.6456,33131,65.8064,65.9178,61.4385,128000,"Pará"
2022,16,10835,22,1502,1256,0,0,21.3422,115.9282,457.7207,0,21.3422,115.9282,721.8363,0,21.3422,27.0658,266.7105,2780,34.7156,101.9617,27.0658,13615,"Amapá"
2022,17,11735,798,3527,6084,405,220.6696,140.2139,72.8192,70.802,220.6696,140.2139,63.6165,100.2746,216.3477,142.6447,78.1428,56.2643,10814,94.0026,95.855,89.8094,22549,"Tocantins"
2022,21,66621,2766,6271,20682,1624,101.0432,114.2579,39.7408,58.1723,304.7252,157.4044,54.2048,57.5574,75.7975,100.5815,34.8489,72.3221,31343,55.065,69.9723,46.9863,97964,"Maranhão"
2022,22,22974,314,2453,14182,2324,208.5504,152.6524,63.7764,95.13,216.2819,165.1556,68.9649,96.597,199.6271,92.0907,54.273,95.13,19273,78.8553,94.3201,63.7764,42247,"Piauí"
2022,23,71124,435,13866,23846,3037,171.2857,52.7402,38.2732,78.4262,183.5003,60.4565,41.9954,89.2446,133.9239,35.0362,34.8796,55.7117,41184,45.3292,49.9684,37.0771,112308,"Ceará"
