"ano","codmunres","condicoes_ameacadoras_totais","condicoes_ameacadoras_incompletos_intersecao","condicoes_ameacadoras_incompletos_uniao"
2012,"110001",386,0,10
2013,"110001",382,0,6
2014,"110001",341,0,4
2015,"110001",373,0,4
2016,"110001",326,0,7
2017,"110001",354,0,21
2018,"110001",408,0,1
2019,"110001",367,0,5
2020,"110001",333,0,4
2021,"110001",357,0,5
2022,"110001",368,0,21
2023,"110001",383,0,20
2012,"110002",1339,0,194
2013,"110002",1654,0,194
2014,"110002",1647,0,64
2015,"110002",1783,0,18
2016,"110002",1662,0,13
2017,"110002",1724,0,16
2018,"110002",1682,0,8
2019,"110002",1729,0,6
2020,"110002",1507,0,6
2021,"110002",1545,0,3
2022,"110002",1505,0,4
2023,"110002",1515,0,2
2012,"110003",64,0,12
2013,"110003",74,0,4
2014,"110003",75,0,2
2015,"110003",86,0,2
2016,"110003",73,0,1
2017,"110003",67,0,0
2018,"110003",82,0,3
2019,"110003",80,0,0
2020,"110003",69,0,1
2021,"110003",68,0,0
2022,"110003",64,0,2
2023,"110003",77,0,1
2012,"110004",1201,0,42
2013,"110004",1185,0,22
2014,"110004",1307,0,23
2015,"110004",1360,0,33
2016,"110004",1338,0,19
2017,"110004",1452,0,5
2018,"110004",1446,0,9
2019,"110004",1374,0,3
2020,"110004",1325,0,1
2021,"110004",1366,0,4
2022,"110004",1353,0,3
2023,"110004",1343,0,1
2012,"110005",245,0,88
2013,"110005",271,0,52
2014,"110005",250,0,1
2015,"110005",277,0,10
2016,"110005",263,0,3
2017,"110005",277,0,2
2018,"110005",264,0,2
2019,"110005",237,0,5
2020,"110005",269,0,5
2021,"110005",251,0,4
2022,"110005",272,0,1
2023,"110005",280,0,5
2012,"110006",214,0,136
2013,"110006",256,0,51
2014,"110006",273,0,3
2015,"110006",251,0,1
2016,"110006",223,0,1
2017,"110006",243,0,3
2018,"110006",235,0,1
2019,"110006",214,0,0
2020,"110006",203,0,4
2021,"110006",231,0,5
2022,"110006",205,0,2
2023,"110006",188,0,1
2012,"110007",116,0,45
2013,"110007",116,0,26
2014,"110007",125,0,2
2015,"110007",111,0,4
2016,"110007",139,0,0
2017,"110007",87,0,0
2018,"110007",129,0,2
2019,"110007",127,0,0
2020,"110007",107,0,0
2021,"110007",118,0,4
2022,"110007",103,0,2
2023,"110007",97,0,2
2012,"110008",234,0,29
2013,"110008",234,0,4
2014,"110008",267,0,2
2015,"110008",245,0,3
2016,"110008",213,0,7
2017,"110008",216,0,9
2018,"110008",246,0,5
2019,"110008",233,0,11
2020,"110008",190,0,11
2021,"110008",195,0,21
2022,"110008",218,0,9
2023,"110008",219,1,3
2012,"110009",476,0,53
2013,"110009",463,0,63
2014,"110009",496,0,45
2015,"110009",548,0,60
2016,"110009",486,0,42
2017,"110009",533,0,59
2018,"110009",476,0,36
2019,"110009",450,0,43
2020,"110009",471,0,1
2021,"110009",485,0,0
2022,"110009",462,0,2
2023,"110009",479,0,3
2012,"110010",940,0,50
2013,"110010",879,0,80
2014,"110010",923,0,16
2015,"110010",831,0,35
2016,"110010",884,0,278
2017,"110010",842,0,204
2018,"110010",926,0,248
2019,"110010",781,0,77
2020,"110010",858,0,72
2021,"110010",834,0,33
2022,"110010",748,0,29
2023,"110010",730,0,51
2012,"110011",808,0,82
2013,"110011",914,0,63
2014,"110011",867,0,84
2015,"110011",788,0,49
2016,"110011",807,0,12
2017,"110011",846,0,14
2018,"110011",911,0,5
2019,"110011",881,0,9
2020,"110011",892,0,39
2021,"110011",920,0,5
2022,"110011",890,0,4
2023,"110011",895,0,5
2012,"110012",2075,0,321
2013,"110012",1971,0,152
2014,"110012",1956,0,83
2015,"110012",2094,0,63
2016,"110012",1976,0,86
2017,"110012",2050,0,450
2018,"110012",2278,0,187
2019,"110012",2182,0,232
2020,"110012",2133,0,310
2021,"110012",1972,0,102
2022,"110012",2010,0,65
2023,"110012",1915,0,73
2012,"110013",542,0,92
2013,"110013",514,0,59
2014,"110013",507,0,12
2015,"110013",480,0,13
2016,"110013",398,0,7
2017,"110013",449,1,18
2018,"110013",517,0,6
2019,"110013",500,0,9
2020,"110013",561,0,7
2021,"110013",468,0,16
2022,"110013",498,0,6
2023,"110013",507,0,3
2012,"110014",271,0,6
2013,"110014",278,0,3
2014,"110014",254,0,2
2015,"110014",256,0,0
2016,"110014",276,0,1
2017,"110014",224,0,2
2018,"110014",290,0,1
2019,"110014",261,0,3
2020,"110014",230,0,4
2021,"110014",233,0,10
2022,"110014",236,0,4
2023,"110014",228,0,1
2012,"110015",647,0,167
2013,"110015",639,0,4
2014,"110015",674,0,300
2015,"110015",767,0,200
2016,"110015",582,0,1
2017,"110015",578,0,20
2018,"110015",614,0,12
2019,"110015",631,0,15
2020,"110015",600,0,9
2021,"110015",538,0,4
2022,"110015",532,0,3
2023,"110015",534,0,3
2012,"110018",553,0,12
2013,"110018",581,0,9
2014,"110018",597,0,1
2015,"110018",594,0,15
2016,"110018",601,0,12
2017,"110018",615,0,9
2018,"110018",651,0,8
2019,"110018",616,0,6
2020,"110018",579,0,2
2021,"110018",573,0,4
2022,"110018",587,0,3
2023,"110018",615,0,2
2012,"110020",8941,0,1901
2013,"110020",8927,0,2102
2014,"110020",9130,0,3310
2015,"110020",9093,1,1602
2016,"110020",8611,0,1160
2017,"110020",8800,0,1008
2018,"110020",8752,0,796
2019,"110020",8437,0,726
2020,"110020",7893,0,755
2021,"110020",7703,0,710
2022,"110020",7354,0,485
2023,"110020",6643,0,347
2012,"110025",243,0,62
2013,"110025",258,0,10
2014,"110025",289,0,5
2015,"110025",262,0,6
2016,"110025",276,0,6
2017,"110025",289,0,22
2018,"110025",294,0,6
2019,"110025",304,0,9
2020,"110025",259,0,9
2021,"110025",254,0,1
2022,"110025",294,0,2
2023,"110025",247,0,7
2012,"110026",41,0,6
2013,"110026",38,0,5
2014,"110026",36,0,1
2015,"110026",36,0,0
2016,"110026",35,0,2
2017,"110026",49,0,0
2018,"110026",46,0,0
2019,"110026",50,0,0
2020,"110026",48,0,0
2021,"110026",48,0,1
2022,"110026",35,0,0
2023,"110026",33,0,0
2012,"110028",927,0,11
2013,"110028",879,0,8
2014,"110028",947,0,18
2015,"110028",936,0,5
2016,"110028",855,0,3
2017,"110028",963,0,8
2018,"110028",900,0,17
2019,"110028",927,0,17
2020,"110028",877,0,19
2021,"110028",816,0,27
2022,"110028",835,0,54
2023,"110028",824,0,45
2012,"110029",118,0,13
2013,"110029",98,0,3
2014,"110029",103,0,2
2015,"110029",109,0,2
2016,"110029",114,0,0
2017,"110029",112,0,0
2018,"110029",103,0,1
2019,"110029",99,0,1
2020,"110029",99,0,2
2021,"110029",78,0,1
2022,"110029",73,0,4
2023,"110029",72,0,7
2012,"110030",1269,0,482
2013,"110030",1388,0,293
2014,"110030",1418,0,15
2015,"110030",1535,0,7
2016,"110030",1427,0,11
2017,"110030",1465,0,17
2018,"110030",1557,0,8
2019,"110030",1590,0,8
2020,"110030",1553,0,11
2021,"110030",1623,0,7
2022,"110030",1527,0,2
2023,"110030",1486,0,7
2012,"110032",313,0,14
2013,"110032",355,0,7
2014,"110032",364,0,2
2015,"110032",311,0,5
2016,"110032",337,0,4
2017,"110032",372,0,7
2018,"110032",391,0,3
2019,"110032",353,0,5
2020,"110032",363,0,8
2021,"110032",344,0,4
2022,"110032",388,0,10
2023,"110032",344,0,8
2012,"110033",383,0,19
2013,"110033",416,0,28
2014,"110033",425,0,18
2015,"110033",404,0,32
2016,"110033",411,0,94
2017,"110033",487,0,73
2018,"110033",482,0,79
2019,"110033",432,0,29
2020,"110033",423,0,18
2021,"110033",469,0,11
2022,"110033",464,0,10
2023,"110033",463,0,20
2012,"110034",189,0,90
2013,"110034",220,0,28
2014,"110034",184,0,9
2015,"110034",200,0,5
2016,"110034",166,0,7
2017,"110034",178,0,19
2018,"110034",162,0,7
2019,"110034",205,0,10
2020,"110034",210,0,12
2021,"110034",200,0,18
2022,"110034",183,0,6
2023,"110034",199,0,8
2012,"110037",189,0,1
2013,"110037",163,0,2
2014,"110037",172,0,0
2015,"110037",149,0,3
2016,"110037",168,0,3
2017,"110037",172,0,1
2018,"110037",160,0,4
2019,"110037",154,0,0
2020,"110037",146,0,3
2021,"110037",143,0,2
2022,"110037",150,0,8
2023,"110037",170,0,8
2012,"110040",194,0,19
2013,"110040",211,0,10
2014,"110040",254,0,8
2015,"110040",247,0,4
2016,"110040",220,0,4
2017,"110040",242,0,2
2018,"110040",219,0,3
2019,"110040",226,0,1
2020,"110040",218,0,3
2021,"110040",224,0,0
2022,"110040",204,0,3
2023,"110040",216,0,4
2012,"110045",555,0,55
2013,"110045",598,0,98
2014,"110045",620,0,59
2015,"110045",608,0,63
2016,"110045",624,0,78
2017,"110045",632,0,17
2018,"110045",617,0,19
2019,"110045",583,0,3
2020,"110045",508,0,1
2021,"110045",542,0,1
2022,"110045",517,0,1
2023,"110045",497,0,4
2012,"110050",125,0,2
2013,"110050",122,0,0
2014,"110050",93,0,1
2015,"110050",109,0,1
2016,"110050",95,0,0
2017,"110050",91,0,1
2018,"110050",111,0,0
2019,"110050",98,0,0
2020,"110050",78,0,3
2021,"110050",84,0,4
2022,"110050",102,0,4
2023,"110050",70,0,1
2012,"110060",61,0,6
2013,"110060",63,0,6
2014,"110060",58,0,1
2015,"110060",72,0,4
2016,"110060",67,0,0
2017,"110060",71,0,2
2018,"110060",80,0,0
2019,"110060",75,0,3
2020,"110060",70,0,0
2021,"110060",60,0,0
2022,"110060",64,0,0
2023,"110060",56,0,0
2012,"110070",164,0,16
2013,"110070",183,0,20
2014,"110070",181,0,10
2015,"110070",156,0,13
2016,"110070",162,0,7
2017,"110070",174,0,2
2018,"110070",195,0,9
2019,"110070",166,0,1
2020,"110070",173,0,0
2021,"110070",133,0,0
2022,"110070",137,0,1
2023,"110070",138,0,0
2012,"110080",430,0,49
2013,"110080",405,0,71
2014,"110080",296,0,44
2015,"110080",323,0,35
2016,"110080",372,0,41
2017,"110080",397,0,31
2018,"110080",421,0,30
2019,"110080",337,0,25
2020,"110080",344,0,14
2021,"110080",353,0,27
2022,"110080",334,0,18
2023,"110080",339,0,15
2012,"110090",53,0,0
2013,"110090",36,0,0
2014,"110090",46,0,0
2015,"110090",52,0,0
2016,"110090",55,0,0
2017,"110090",39,0,0
2018,"110090",56,0,0
2019,"110090",32,0,0
2020,"110090",37,0,1
2021,"110090",37,0,2
2022,"110090",29,0,1
2023,"110090",47,0,0
2012,"110092",118,0,34
2013,"110092",158,0,37
2014,"110092",158,0,5
2015,"110092",154,0,1
2016,"110092",153,0,1
2017,"110092",169,0,2
2018,"110092",181,0,4
2019,"110092",162,0,7
2020,"110092",162,0,3
2021,"110092",152,0,3
2022,"110092",162,0,2
2023,"110092",168,0,0
2012,"110094",161,0,34
2013,"110094",203,0,20
2014,"110094",240,0,16
2015,"110094",274,0,9
2016,"110094",241,0,5
2017,"110094",209,0,6
2018,"110094",229,0,7
2019,"110094",205,0,2
2020,"110094",246,0,7
2021,"110094",243,0,6
2022,"110094",208,0,3
2023,"110094",208,0,1
2012,"110100",133,0,13
2013,"110100",116,0,17
2014,"110100",124,0,6
2015,"110100",132,0,11
2016,"110100",112,0,1
2017,"110100",109,0,1
2018,"110100",133,0,1
2019,"110100",112,0,2
2020,"110100",86,0,4
2021,"110100",105,0,3
2022,"110100",86,0,0
2023,"110100",95,0,0
2012,"110110",114,0,25
2013,"110110",123,0,23
2014,"110110",97,0,4
2015,"110110",112,0,14
2016,"110110",129,0,12
2017,"110110",95,0,2
2018,"110110",92,0,1
2019,"110110",109,0,3
2020,"110110",119,0,9
2021,"110110",120,0,6
2022,"110110",107,0,6
2023,"110110",96,0,5
2012,"110120",100,0,4
2013,"110120",104,0,2
2014,"110120",107,0,1
2015,"110120",93,0,1
2016,"110120",93,0,2
2017,"110120",100,0,3
2018,"110120",92,0,0
2019,"110120",84,0,0
2020,"110120",74,0,0
2021,"110120",65,0,0
2022,"110120",73,0,0
2023,"110120",68,0,1
2012,"110130",148,0,36
2013,"110130",122,0,5
2014,"110130",137,0,19
2015,"110130",179,0,30
2016,"110130",148,0,4
2017,"110130",156,0,12
2018,"110130",160,0,3
2019,"110130",164,0,6
2020,"110130",168,0,2
2021,"110130",153,0,4
2022,"110130",130,0,1
2023,"110130",109,0,0
2012,"110140",170,0,14
2013,"110140",223,0,22
2014,"110140",204,0,11
2015,"110140",240,0,5
2016,"110140",173,0,2
2017,"110140",200,0,2
2018,"110140",220,0,0
2019,"110140",199,0,1
2020,"110140",167,0,0
2021,"110140",175,0,0
2022,"110140",166,0,1
2023,"110140",173,0,0
2012,"110143",99,0,30
2013,"110143",82,0,2
2014,"110143",110,0,20
2015,"110143",73,0,13
2016,"110143",90,0,5
2017,"110143",94,0,1
2018,"110143",87,0,1
2019,"110143",104,0,2
2020,"110143",87,0,0
2021,"110143",85,0,2
2022,"110143",103,0,0
2023,"110143",72,0,1
2012,"110145",63,0,0
2013,"110145",55,0,1
2014,"110145",49,0,0
2015,"110145",54,0,1
2016,"110145",50,0,0
2017,"110145",51,0,0
2018,"110145",53,0,0
2019,"110145",44,0,1
2020,"110145",59,0,1
2021,"110145",40,0,0
2022,"110145",45,0,0
2023,"110145",38,0,1
2012,"110146",51,0,25
2013,"110146",42,0,18
2014,"110146",37,0,1
2015,"110146",52,0,3
2016,"110146",34,0,1
2017,"110146",52,0,2
2018,"110146",52,0,0
2019,"110146",40,0,1
2020,"110146",39,0,0
2021,"110146",42,0,2
2022,"110146",35,0,0
2023,"110146",48,0,2
2012,"110147",43,0,0
2013,"110147",39,0,1
2014,"110147",47,0,0
2015,"110147",40,0,0
2016,"110147",56,0,0
2017,"110147",63,0,0
2018,"110147",38,0,0
2019,"110147",43,0,0
2020,"110147",38,0,0
2021,"110147",40,0,0
2022,"110147",40,0,1
2023,"110147",41,0,0
2012,"110148",64,0,0
2013,"110148",61,0,0
2014,"110148",59,0,2
2015,"110148",73,0,1
2016,"110148",54,0,1
2017,"110148",75,0,1
2018,"110148",54,0,0
2019,"110148",54,0,1
2020,"110148",65,0,0
2021,"110148",45,0,1
2022,"110148",60,0,0
2023,"110148",65,0,1
2012,"110149",246,0,95
2013,"110149",266,0,9
2014,"110149",308,0,3
2015,"110149",319,0,2
2016,"110149",305,0,7
2017,"110149",333,0,5
2018,"110149",327,0,5
2019,"110149",303,0,5
2020,"110149",266,0,6
2021,"110149",284,0,3
2022,"110149",286,0,5
2023,"110149",263,0,1
2012,"110150",190,0,4
2013,"110150",184,0,3
2014,"110150",170,0,3
2015,"110150",188,0,4
2016,"110150",171,0,3
2017,"110150",188,0,8
2018,"110150",154,0,10
2019,"110150",168,0,10
2020,"110150",162,0,8
2021,"110150",180,0,2
2022,"110150",187,0,20
2023,"110150",199,0,9
2012,"110155",57,0,17
2013,"110155",80,0,0
2014,"110155",69,0,26
2015,"110155",71,0,16
2016,"110155",59,0,0
2017,"110155",58,0,3
2018,"110155",60,0,2
2019,"110155",64,0,3
2020,"110155",42,0,1
2021,"110155",50,0,3
2022,"110155",53,0,0
2023,"110155",48,0,0
2012,"110160",133,0,14
2013,"110160",106,0,7
2014,"110160",125,0,7
2015,"110160",107,0,4
2016,"110160",131,0,0
2017,"110160",146,0,3
2018,"110160",131,0,0
2019,"110160",97,0,1
2020,"110160",115,0,8
2021,"110160",83,0,0
2022,"110160",91,0,3
2023,"110160",73,0,1
2012,"110170",146,0,35
2013,"110170",150,0,6
2014,"110170",122,0,29
2015,"110170",138,0,25
2016,"110170",151,0,4
2017,"110170",150,0,15
2018,"110170",139,0,4
2019,"110170",170,0,15
2020,"110170",143,0,4
2021,"110170",161,0,5
2022,"110170",161,0,2
2023,"110170",168,0,5
2012,"110175",86,0,4
2013,"110175",89,0,3
2014,"110175",128,0,12
2015,"110175",106,0,9
2016,"110175",110,0,1
2017,"110175",86,0,0
2018,"110175",91,0,1
2019,"110175",93,0,0
2020,"110175",72,0,7
2021,"110175",75,0,2
2022,"110175",81,0,1
2023,"110175",68,0,0
2012,"110180",83,0,16
2013,"110180",107,0,1
2014,"110180",90,0,24
2015,"110180",63,0,10
2016,"110180",98,0,2
2017,"110180",79,0,4
2018,"110180",95,0,3
2019,"110180",81,0,3
2020,"110180",62,0,1
2021,"110180",72,0,2
2022,"110180",84,0,0
2023,"110180",69,0,0
2012,"120001",253,0,36
2013,"120001",258,0,103
2014,"120001",269,0,55
2015,"120001",217,0,29
2016,"120001",222,0,11
2017,"120001",256,0,18
2018,"120001",216,0,6
2019,"120001",257,0,5
2020,"120001",237,0,14
2021,"120001",251,0,10
2022,"120001",205,0,6
2023,"120001",248,0,3
2012,"120005",219,31,55
2013,"120005",213,19,52
2014,"120005",196,5,19
2015,"120005",238,3,37
2016,"120005",190,11,26
2017,"120005",248,4,39
2018,"120005",264,5,34
2019,"120005",266,0,27
2020,"120005",215,0,27
2021,"120005",271,0,55
2022,"120005",235,0,49
2023,"120005",257,0,60
2012,"120010",505,7,48
2013,"120010",530,0,66
2014,"120010",547,1,36
2015,"120010",531,0,32
2016,"120010",490,1,26
2017,"120010",570,0,24
2018,"120010",540,0,16
2019,"120010",540,0,10
2020,"120010",527,0,21
2021,"120010",525,0,14
2022,"120010",542,0,6
2023,"120010",519,0,6
2012,"120013",198,0,41
2013,"120013",202,0,74
2014,"120013",242,0,35
2015,"120013",248,0,22
2016,"120013",248,0,9
2017,"120013",307,0,12
2018,"120013",306,0,10
2019,"120013",329,0,9
2020,"120013",241,0,15
2021,"120013",251,0,13
2022,"120013",230,0,11
2023,"120013",256,0,10
2012,"120017",201,1,45
2013,"120017",193,1,69
2014,"120017",234,1,45
2015,"120017",219,0,22
2016,"120017",194,0,8
2017,"120017",243,1,22
2018,"120017",222,0,9
2019,"120017",217,0,6
2020,"120017",190,0,12
2021,"120017",215,0,8
2022,"120017",182,0,9
2023,"120017",180,0,10
2012,"120020",1741,18,157
2013,"120020",1783,4,143
2014,"120020",1818,20,129
2015,"120020",1839,35,133
2016,"120020",1632,0,36
2017,"120020",1684,3,55
2018,"120020",1756,0,28
2019,"120020",1809,0,19
2020,"120020",1691,1,16
2021,"120020",1794,0,22
2022,"120020",1575,0,6
2023,"120020",1541,0,3
2012,"120025",282,1,30
2013,"120025",275,0,28
2014,"120025",262,0,16
2015,"120025",279,0,10
2016,"120025",270,1,18
2017,"120025",291,0,14
2018,"120025",273,0,7
2019,"120025",314,0,10
2020,"120025",293,0,9
2021,"120025",304,0,15
2022,"120025",278,0,4
2023,"120025",281,0,6
2012,"120030",904,135,259
2013,"120030",791,111,248
2014,"120030",829,159,299
2015,"120030",772,55,175
2016,"120030",834,70,197
2017,"120030",833,58,166
2018,"120030",833,42,142
2019,"120030",871,21,144
2020,"120030",789,35,85
2021,"120030",889,0,182
2022,"120030",809,0,97
2023,"120030",848,2,113
2012,"120032",269,1,212
2013,"120032",271,6,196
2014,"120032",282,4,166
2015,"120032",273,3,157
2016,"120032",263,12,139
2017,"120032",266,4,132
2018,"120032",274,6,123
2019,"120032",218,1,93
2020,"120032",205,3,84
2021,"120032",296,2,127
2022,"120032",230,1,94
2023,"120032",275,2,119
2012,"120033",386,24,34
2013,"120033",399,21,33
2014,"120033",413,7,12
2015,"120033",395,15,27
2016,"120033",325,4,10
2017,"120033",358,8,9
2018,"120033",367,3,4
2019,"120033",345,2,2
2020,"120033",420,7,12
2021,"120033",379,5,7
2022,"120033",330,1,5
2023,"120033",354,1,6
2012,"120034",256,1,20
2013,"120034",229,2,16
2014,"120034",243,0,21
2015,"120034",266,1,18
2016,"120034",236,0,15
2017,"120034",261,0,19
2018,"120034",252,1,30
2019,"120034",230,0,7
2020,"120034",280,0,41
2021,"120034",276,0,33
2022,"120034",242,0,44
2023,"120034",288,0,41
2012,"120035",474,2,250
2013,"120035",485,18,185
2014,"120035",458,10,145
2015,"120035",445,0,126
2016,"120035",352,1,118
2017,"120035",388,0,210
2018,"120035",407,0,234
2019,"120035",448,0,172
2020,"120035",334,0,40
2021,"120035",443,0,99
2022,"120035",368,0,78
2023,"120035",410,0,69
2012,"120038",353,0,58
2013,"120038",334,0,133
2014,"120038",322,1,56
2015,"120038",350,0,33
2016,"120038",339,0,30
2017,"120038",305,0,21
2018,"120038",309,0,17
2019,"120038",318,0,11
2020,"120038",285,0,8
2021,"120038",282,0,17
2022,"120038",256,0,8
2023,"120038",249,0,8
2012,"120039",338,54,94
2013,"120039",287,2,59
2014,"120039",250,5,43
2015,"120039",262,3,27
2016,"120039",230,0,5
2017,"120039",282,0,6
2018,"120039",254,0,5
2019,"120039",270,0,3
2020,"120039",287,7,29
2021,"120039",338,2,28
2022,"120039",266,0,14
2023,"120039",226,2,15
2012,"120040",6531,9,1296
2013,"120040",7116,13,2758
2014,"120040",7011,9,1289
2015,"120040",6965,6,902
2016,"120040",6614,3,526
2017,"120040",6460,1,450
2018,"120040",6495,0,265
2019,"120040",6324,2,222
2020,"120040",5745,3,268
2021,"120040",5666,0,351
2022,"120040",5353,0,346
2023,"120040",5149,0,219
2012,"120042",390,3,64
2013,"120042",363,1,68
2014,"120042",394,0,27
2015,"120042",396,0,43
2016,"120042",304,0,20
2017,"120042",366,1,29
2018,"120042",394,2,33
2019,"120042",334,1,12
2020,"120042",347,0,8
2021,"120042",335,1,13
2022,"120042",321,1,8
2023,"120042",285,1,4
2012,"120043",259,147,186
2013,"120043",223,47,153
2014,"120043",185,12,72
2015,"120043",150,3,61
2016,"120043",95,4,26
2017,"120043",198,2,115
2018,"120043",207,5,110
2019,"120043",186,5,67
2020,"120043",149,0,42
2021,"120043",178,4,72
2022,"120043",216,0,91
2023,"120043",201,0,73
2012,"120045",396,0,101
2013,"120045",425,1,140
2014,"120045",453,0,66
2015,"120045",443,0,39
2016,"120045",410,0,17
2017,"120045",395,0,22
2018,"120045",476,0,17
2019,"120045",417,0,14
2020,"120045",401,0,16
2021,"120045",392,0,24
2022,"120045",344,0,18
2023,"120045",346,0,13
2012,"120050",929,41,88
2013,"120050",904,2,98
2014,"120050",827,14,64
2015,"120050",847,6,63
2016,"120050",762,8,30
2017,"120050",780,4,37
2018,"120050",788,14,26
2019,"120050",768,2,17
2020,"120050",668,0,30
2021,"120050",759,0,23
2022,"120050",763,0,22
2023,"120050",783,0,17
2012,"120060",1158,16,187
2013,"120060",1138,20,285
2014,"120060",1230,74,187
2015,"120060",1165,44,154
2016,"120060",1078,39,136
2017,"120060",1132,16,167
2018,"120060",1193,64,209
2019,"120060",1143,71,134
2020,"120060",1161,79,170
2021,"120060",1174,4,86
2022,"120060",1088,0,88
2023,"120060",1130,0,91
2012,"120070",311,5,39
2013,"120070",294,1,53
2014,"120070",306,2,21
2015,"120070",322,5,22
2016,"120070",329,1,14
2017,"120070",305,1,15
2018,"120070",325,0,4
2019,"120070",297,1,10
2020,"120070",316,1,13
2021,"120070",326,0,10
2022,"120070",314,0,17
2023,"120070",304,1,11
2012,"120080",346,1,76
2013,"120080",362,2,129
2014,"120080",368,1,60
2015,"120080",358,0,29
2016,"120080",356,1,17
2017,"120080",430,0,32
2018,"120080",392,0,13
2019,"120080",379,0,17
2020,"120080",361,0,10
2021,"120080",354,0,16
2022,"120080",336,0,12
2023,"120080",343,0,18
2012,"130002",320,0,64
2013,"130002",346,0,9
2014,"130002",308,0,7
2015,"130002",342,0,5
2016,"130002",325,0,10
2017,"130002",401,0,25
2018,"130002",346,0,2
2019,"130002",418,0,1
2020,"130002",397,0,2
2021,"130002",445,0,0
2022,"130002",330,0,0
2023,"130002",306,0,1
2012,"130006",242,0,103
2013,"130006",261,0,80
2014,"130006",264,0,114
2015,"130006",214,0,33
2016,"130006",280,0,104
2017,"130006",267,0,92
2018,"130006",247,0,93
2019,"130006",265,0,95
2020,"130006",265,0,79
2021,"130006",285,0,89
2022,"130006",259,0,69
2023,"130006",240,0,70
2012,"130008",199,0,44
2013,"130008",201,0,24
2014,"130008",212,0,6
2015,"130008",163,0,5
2016,"130008",182,0,9
2017,"130008",196,0,1
2018,"130008",214,0,11
2019,"130008",190,0,0
2020,"130008",228,0,1
2021,"130008",180,0,0
2022,"130008",180,0,0
2023,"130008",192,0,1
2012,"130010",247,0,222
2013,"130010",285,1,217
2014,"130010",267,0,49
2015,"130010",255,0,15
2016,"130010",266,0,18
2017,"130010",257,0,17
2018,"130010",247,0,16
2019,"130010",233,0,9
2020,"130010",258,0,9
2021,"130010",262,0,26
2022,"130010",238,0,6
2023,"130010",208,0,12
2012,"130014",195,1,12
2013,"130014",223,0,3
2014,"130014",223,0,4
2015,"130014",204,0,4
2016,"130014",211,0,4
2017,"130014",233,0,0
2018,"130014",242,0,5
2019,"130014",239,0,1
2020,"130014",265,0,0
2021,"130014",290,0,0
2022,"130014",271,0,0
2023,"130014",273,0,1
2012,"130020",357,0,177
2013,"130020",354,0,133
2014,"130020",435,0,175
2015,"130020",439,0,172
2016,"130020",380,0,165
2017,"130020",382,0,134
2018,"130020",357,0,147
2019,"130020",313,0,126
2020,"130020",280,0,95
2021,"130020",271,0,39
2022,"130020",374,0,159
2023,"130020",359,0,125
2012,"130030",877,0,168
2013,"130030",877,0,138
2014,"130030",955,0,139
2015,"130030",829,0,99
2016,"130030",890,0,110
2017,"130030",897,0,84
2018,"130030",948,0,162
2019,"130030",872,0,66
2020,"130030",906,0,90
2021,"130030",950,0,93
2022,"130030",856,0,48
2023,"130030",819,0,37
2012,"130040",469,1,182
2013,"130040",480,1,162
2014,"130040",419,0,105
2015,"130040",505,0,205
2016,"130040",496,0,203
2017,"130040",524,0,201
2018,"130040",570,0,267
2019,"130040",556,0,241
2020,"130040",497,0,220
2021,"130040",507,0,174
2022,"130040",390,0,54
2023,"130040",511,0,160
2012,"130050",707,0,168
2013,"130050",769,0,153
2014,"130050",756,0,147
2015,"130050",815,0,151
2016,"130050",810,0,155
2017,"130050",870,0,167
2018,"130050",851,0,148
2019,"130050",857,0,130
2020,"130050",846,0,198
2021,"130050",939,0,150
2022,"130050",815,0,121
2023,"130050",789,0,87
2012,"130060",1053,0,269
2013,"130060",1036,0,5
2014,"130060",1077,0,71
2015,"130060",968,0,90
2016,"130060",1021,0,107
2017,"130060",1039,0,7
2018,"130060",985,0,5
2019,"130060",1030,0,3
2020,"130060",984,0,2
2021,"130060",1055,0,3
2022,"130060",959,0,5
2023,"130060",983,0,20
2012,"130063",427,0,39
2013,"130063",428,0,59
2014,"130063",488,0,82
2015,"130063",489,0,88
2016,"130063",510,19,93
2017,"130063",597,0,99
2018,"130063",501,0,94
2019,"130063",525,0,93
2020,"130063",510,0,87
2021,"130063",589,0,112
2022,"130063",507,0,88
2023,"130063",438,0,61
2012,"130068",260,0,98
2013,"130068",321,0,4
2014,"130068",328,0,1
2015,"130068",369,0,1
2016,"130068",312,0,1
2017,"130068",319,0,0
2018,"130068",318,0,3
2019,"130068",330,0,0
2020,"130068",299,0,0
2021,"130068",297,0,0
2022,"130068",275,0,0
2023,"130068",264,0,1
2012,"130070",741,1,40
2013,"130070",763,0,46
2014,"130070",734,2,24
2015,"130070",695,1,16
2016,"130070",653,0,6
2017,"130070",771,1,11
2018,"130070",739,1,13
2019,"130070",725,0,6
2020,"130070",718,0,2
2021,"130070",772,0,9
2022,"130070",677,0,11
2023,"130070",728,0,10
2012,"130080",690,0,153
2013,"130080",705,0,94
2014,"130080",711,0,86
2015,"130080",725,0,68
2016,"130080",663,0,45
2017,"130080",797,0,69
2018,"130080",789,0,53
2019,"130080",763,0,36
2020,"130080",774,0,21
2021,"130080",886,0,33
2022,"130080",753,0,9
2023,"130080",681,0,16
2012,"130083",138,0,62
2013,"130083",203,0,42
2014,"130083",204,1,29
2015,"130083",173,0,16
2016,"130083",183,1,11
2017,"130083",216,0,19
2018,"130083",188,0,17
