"codmunres","ano","garbage_morbidade_neonatal_i_algumas_doencas_infecciosas_e_parasitarias","garbage_morbidade_neonatal_x_doencas_do_aparelho_respiratorio","garbage_morbidade_neonatal_xiv_doencas_do_aparelho_geniturinario","garbage_morbidade_neonatal_xi_doencas_do_aparelho_digestivo","garbage_morbidade_neonatal_xii_doencas_da_pele_e_do_tecido_subcutaneo","garbage_morbidade_neonatal_xix_lesoes_envenenamento_e_algumas_outras_consequencias_de_causas_externas","garbage_morbidade_neonatal_iii_doencas_do_sangue_e_dos_orgaos_hematopoeticos_e_alguns_transtornos_imunitarios","garbage_morbidade_neonatal_vi_doencas_do_sistema_nervoso","garbage_morbidade_neonatal_ix_doencas_do_aparelho_circulatorio","garbage_morbidade_neonatal_xviii_sintomas_sinais_e_achados_anormais_de_exames_clinicos_e_de_laboratorio_nao_classificados_em_outra_parte","garbage_morbidade_neonatal_xvi_algumas_afeccoes_originadas_no_periodo_perinatal","garbage_morbidade_neonatal_vii_doencas_do_olho_e_anexos","garbage_morbidade_neonatal_xiii_doencas_do_sistema_osteomuscular_e_do_tecido_conjuntivo","garbage_morbidade_neonatal_na","garbage_morbidade_neonatal_iv_doencas_endocrinas_nutricionais_e_metabolicas","garbage_morbidade_neonatal_xvii_malformacoes_congenitas_deformidades_e_anomalias_cromossomicas","garbage_morbidade_neonatal_viii_doencas_do_ouvido_e_da_apofise_mastoide","garbage_morbidade_neonatal_xv_gravidez_parto_e_puerperio","garbage_morbidade_neonatal_ii_neoplasias_tumores","garbage_morbidade_neonatal_v_transtornos_mentais_e_comportamentais","internacoes_neonatais_totais"
"110160",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110170",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"110175",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"110180",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"120001",2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"120005",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"120010",2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"120013",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"120017",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"120020",2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"120025",2024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
"120030",2024,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13
"120032",2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"120033",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"120034",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"120035",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"120038",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"120039",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"120040",2024,7,1,1,0,0,1,0,1,0,6,14,0,0,0,0,2,0,0,0,0,437
"120042",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"120043",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"120045",2024,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13
"120050",2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"120060",2024,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"120070",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"120080",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"130002",2024,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11
"130006",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130008",2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
"130010",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"130014",2024,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
"130020",2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"130030",2024,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,25
"130040",2024,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"130050",2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"130060",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"130063",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"130068",2024,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12
"130070",2024,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22
"130080",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"130083",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"130090",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"130100",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244
"130110",2024,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
"130115",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"130120",2024,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31
"130130",2024,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"130140",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"130150",2024,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"130160",2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"130165",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"130170",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"130180",2024,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15
"130185",2024,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"130190",2024,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
"130195",2024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"130200",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"130210",2024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"130220",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130230",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"130240",2024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"130250",2024,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47
"130255",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"130260",2024,48,26,0,10,8,1,1,2,0,5,11,0,0,0,1,0,0,0,0,0,1980
"130270",2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"130280",2024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"130290",2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"130300",2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"130310",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"130320",2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"130330",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"130340",2024,2,20,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,158
"130350",2024,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
"130353",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"130356",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"130360",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"130370",2024,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,25
"130380",2024,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,27
"130390",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"130395",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"130400",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"130406",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"130410",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130420",2024,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,111
"130423",2024,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"130426",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"130430",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"130440",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"140002",2024,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"140005",2024,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"140010",2024,5,22,0,0,0,1,0,2,2,0,0,0,0,0,0,1,1,0,0,0,598
"140015",2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"140017",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"140020",2024,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10
"140023",2024,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
"140028",2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"140030",2024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"140040",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"140045",2024,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"140047",2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"140050",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"140060",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"140070",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"150010",2024,2,4,0,1,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,231
"150013",2024,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9
"150020",2024,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,60
"150030",2024,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,80
"150034",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"150040",2024,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"150050",2024,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"150060",2024,6,2,0,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,162
"150070",2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"150080",2024,5,8,0,0,0,0,0,0,1,0,8,0,0,0,0,1,0,0,0,0,714
"150085",2024,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"150090",2024,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,52
