ano,cod_uf,local,outra_uf,dentro_macrorregiao_saude,dentro_regiao_saude,fora_macrorregiao_saude,km_partos_fora_macrorregiao,km_partos_na_macrorregiao,km_partos_na_regiao,km_partos_fora_uf,km_partos_fora_macrorregiao_alta_complexidade,km_partos_na_macrorregiao_alta_complexidade,km_partos_na_regiao_alta_complexidade,km_partos_fora_uf_alta_complexidade,km_partos_fora_macrorregiao_baixa_complexidade,km_partos_na_macrorregiao_baixa_complexidade,km_partos_na_regiao_baixa_complexidade,km_partos_fora_uf_baixa_complexidade,nao_local,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,destino_total,uf
2021,25,28027,1075,8482,17070,1395,69.6516,62.3266,30.3351,81.4288,69.6516,62.3266,32.0282,116.0759,223.0068,66.0654,29.7105,74.283,28022,40.5657,44.6279,32.6033,56049,Paraíba
2021,26,54406,2518,12687,47532,9068,136.7715,78.5226,24.3422,57.9111,156.0716,84.2023,23.8586,98.218,88.4996,66.5752,25.8606,31.2058,71805,38.6974,50.1981,33.7821,126211,Pernambuco
2021,27,26569,544,5952,14745,998,62.1859,77.6507,28.0202,40.0071,62.1859,77.4886,29.1076,76.3217,71.593,80.703,28.0202,38.0953,22239,37.1441,39.2156,33.5828,48808,Alagoas
2021,28,12206,225,10286,8489,0,0,62.0958,27.3176,74.9993,0,54.0195,20.8793,95.9641,0,69.0227,30.5966,30.7487,19000,40.0581,30.5966,45.2421,31206,Sergipe
2021,29,126448,4871,9668,37827,6645,142.5351,76.1071,50.1456,92.0187,184.5886,56.5194,43.6777,64.2364,115.9259,100.8179,51.213,92.7576,59011,60.3738,56.5194,60.7365,185459,Bahia
2021,31,150529,1749,24356,60494,5008,99.1994,41.3045,33.3064,83.7263,99.1994,53.7848,33.441,91.3692,99.1994,34.1695,33.3064,79.1889,91607,35.9687,37.8062,33.599,242136,Minas Gerais
2021,32,29868,659,0,19269,2697,125.0036,0,30.1498,45.9968,130.4635,0,37.5453,57.7161,54.8231,0,29.8763,31.5872,22625,33.4516,45.5148,30.1498,52493,Espírito Santo
2021,33,141832,514,3754,40690,3076,81.281,37.6284,18.7599,74.0322,104.9553,37.6284,20.8512,64.7144,45.7365,24.4013,15.3482,96.9253,48034,20.9699,22.0564,20.8512,189866,Rio de Janeiro
2021,35,391781,631,10591,87462,34774,28.4432,57.4901,20.3892,183.7658,28.1097,59.4086,20.3892,165.791,28.684,44.8585,20.3233,228.7896,133458,23.151,23.151,23.151,525239,São Paulo
2021,41,89039,927,3915,47109,986,76.9692,85.0145,33.5671,24.4465,113.1791,90.5733,40.86,39.1149,48.6579,71.5048,28.5866,13.226,52937,36.0588,42.9115,29.5441,141976,Paraná
