"codmunres";"ano";"anomalia";"grupo_de_anomalias_congenitas";"descricao";"nascidos_vivos_anomalia"
110002;2019;"Q549";"Defeitos de órgãos genitais";"Hipospadia";1
110002;2019;"Q359";"Fendas orais";"Fenda palatina";1
110002;2019;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2020;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110002;2020;"Q249";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
110002;2020;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2020;"Q548";"Defeitos de órgãos genitais";"Hipospadia";1
110002;2020;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2021;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110002;2021;"Q213";"Cardiopatias congênitas";"Malformações congênitas dos septos cardíacos";1
110002;2021;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110002;2021;"Q359";"Fendas orais";"Fenda palatina";1
110002;2021;"Q719";"Defeitos de membros";"Defeitos por redução do membro superior";1
110002;2022;"Q699";"Defeitos de membros";"Polidactilia";1
110002;2022;"Q369";"Fendas orais";"Fenda labial";1
110002;2023;"Q669";"Defeitos de membros";"Deformidades congênitas do pé";1
110002;2023;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110002;2023;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110002;2023;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110002;2023;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110002;2023;"Q665";"Defeitos de membros";"Deformidades congênitas do pé";1
110002;2024;"Q660";"Defeitos de membros";"Deformidades congênitas do pé";1
110002;2024;"Q251";"Cardiopatias congênitas";"Malformações congênitas das grandes artérias";1
110002;2024;"Q699";"Defeitos de membros";"Polidactilia";1
110003;2013;"Q369";"Fendas orais";"Fenda labial";1
110003;2014;"Q057";"Defeitos de tubo neural";"Espinha bifida";1
110003;2024;"Q057";"Defeitos de tubo neural";"Espinha bifida";1
110004;2012;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110004;2012;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110004;2012;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110004;2012;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110004;2012;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110004;2012;"Q699";"Defeitos de membros";"Polidactilia";1
110004;2013;"Q256";"Cardiopatias congênitas";"Malformações congênitas das grandes artérias";1
110004;2013;"Q792";"Defeitos da parede abdominal";"Exonfalia";1
110004;2013;"Q669";"Defeitos de membros";"Deformidades congênitas do pé";1
110004;2013;"Q712";"Defeitos de membros";"Defeitos por redução do membro superior";1
110004;2014;"Q564";"Defeitos de órgãos genitais";"Sexo indeterminado e pseudo-hermafroditismo";1
110004;2014;"Q369";"Fendas orais";"Fenda labial";1
110004;2015;"Q909";"Síndrome de Down";"Síndrome de Down";1
110004;2015;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110004;2015;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110004;2015;"Q379";"Fendas orais";"Fenda labial com fenda palatina";1
110004;2016;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110004;2016;"Q371";"Fendas orais";"Fenda labial com fenda palatina";1
110004;2016;"Q699";"Defeitos de membros";"Polidactilia";1
110004;2016;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110004;2016;"Q379";"Fendas orais";"Fenda labial com fenda palatina";1
110004;2016;"Q699";"Defeitos de membros";"Polidactilia";1
110004;2016;"Q699";"Defeitos de membros";"Polidactilia";1
110004;2016;"Q249";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
110004;2016;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110004;2017;"Q02X";"Microcefalia";"Microcefalia";1
110004;2017;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110004;2017;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110004;2017;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110004;2017;"Q541";"Defeitos de órgãos genitais";"Hipospadia";1
110004;2017;"Q379";"Fendas orais";"Fenda labial com fenda palatina";1
110004;2017;"Q699";"Defeitos de membros";"Polidactilia";1
110004;2017;"Q379";"Fendas orais";"Fenda labial com fenda palatina";1
110004;2017;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110004;2017;"Q699";"Defeitos de membros";"Polidactilia";1
110004;2018;"Q219";"Cardiopatias congênitas";"Malformações congênitas dos septos cardíacos";1
110004;2018;"Q355";"Fendas orais";"Fenda palatina";1
110004;2018;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110004;2018;"Q909";"Síndrome de Down";"Síndrome de Down";1
110004;2018;"Q378";"Fendas orais";"Fenda labial com fenda palatina";1
110004;2018;"Q699";"Defeitos de membros";"Polidactilia";1
110004;2018;"Q909";"Síndrome de Down";"Síndrome de Down";1
110004;2018;"Q209";"Cardiopatias congênitas";"Malformações congênitas das câmaras e das comunicações cardíacas";1
110004;2018;"Q379";"Fendas orais";"Fenda labial com fenda palatina";1
110004;2018;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110004;2018;"Q699";"Defeitos de membros";"Polidactilia";1
110004;2018;"Q699";"Defeitos de membros";"Polidactilia";1
110004;2019;"Q669";"Defeitos de membros";"Deformidades congênitas do pé";1
110004;2019;"Q379";"Fendas orais";"Fenda labial com fenda palatina";1
110004;2019;"Q209";"Cardiopatias congênitas";"Malformações congênitas das câmaras e das comunicações cardíacas";1
110004;2019;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110004;2019;"Q909";"Síndrome de Down";"Síndrome de Down";1
110004;2019;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110004;2020;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110004;2020;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110004;2020;"Q02X";"Microcefalia";"Microcefalia";1
110004;2020;"Q699";"Defeitos de membros";"Polidactilia";1
110004;2020;"Q051";"Defeitos de tubo neural";"Espinha bifida";1
110004;2020;"Q690";"Defeitos de membros";"Polidactilia";1
