"","codmunres","ano","obitos_fetais_mais_22sem","fetal_peso_menos_1500","fetal_peso_1500_1999","fetal_peso_2000_2499","fetal_peso_mais_2500","fetal_antes","fetal_durante","fetal_depois","fetal_antes_peso_menos_1500","fetal_antes_peso_1500_1999","fetal_antes_peso_2000_2499","fetal_antes_peso_mais_2500","fetal_durante_peso_menos_1500","fetal_durante_peso_1500_1999","fetal_durante_peso_2000_2499","fetal_durante_peso_mais_2500","fetal_depois_peso_menos_1500","fetal_depois_peso_1500_1999","fetal_depois_peso_2000_2499","fetal_depois_peso_mais_2500"
"111",110013,2014,3,0,1,2,0,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0
"112",110013,2015,6,2,1,0,2,5,1,0,1,1,0,2,1,0,0,0,0,0,0,0
"113",110013,2016,7,4,0,1,1,7,0,0,4,0,1,1,0,0,0,0,0,0,0,0
"114",110013,2017,4,1,2,1,0,3,1,0,1,1,1,0,0,1,0,0,0,0,0,0
"115",110013,2018,4,2,0,2,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0
"116",110013,2019,2,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"117",110013,2020,7,1,2,0,3,6,1,0,1,1,0,3,0,1,0,0,0,0,0,0
"118",110014,2012,7,1,1,1,2,6,1,0,1,1,1,1,0,0,0,1,0,0,0,0
"119",110014,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",110014,2014,3,1,0,1,1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"121",110014,2015,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"122",110014,2016,3,2,0,0,1,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"123",110014,2017,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"124",110014,2018,3,1,0,0,2,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"125",110014,2019,2,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"126",110014,2020,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"127",110015,2012,4,2,2,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0
"128",110015,2013,5,3,1,0,1,5,0,0,3,1,0,1,0,0,0,0,0,0,0,0
"129",110015,2014,6,2,2,1,1,5,1,0,2,2,1,0,0,0,0,1,0,0,0,0
"130",110015,2015,5,1,1,0,1,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"131",110015,2016,6,3,1,2,0,6,0,0,3,1,2,0,0,0,0,0,0,0,0,0
"132",110015,2017,6,2,1,0,3,5,1,0,2,1,0,2,0,0,0,1,0,0,0,0
"133",110015,2018,7,2,0,3,2,7,0,0,2,0,3,2,0,0,0,0,0,0,0,0
"134",110015,2019,7,4,1,0,2,7,0,0,4,1,0,2,0,0,0,0,0,0,0,0
"135",110015,2020,7,0,2,2,1,7,0,0,0,2,2,1,0,0,0,0,0,0,0,0
"136",110018,2012,4,1,1,0,2,4,0,0,1,1,0,2,0,0,0,0,0,0,0,0
"137",110018,2013,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"138",110018,2014,4,2,0,1,1,4,0,0,2,0,1,1,0,0,0,0,0,0,0,0
"139",110018,2015,5,2,0,0,2,4,1,0,2,0,0,1,0,0,0,1,0,0,0,0
"140",110018,2016,8,4,2,0,1,7,1,0,4,2,0,0,0,0,0,1,0,0,0,0
"141",110018,2017,3,2,1,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"142",110018,2018,6,3,1,2,0,6,0,0,3,1,2,0,0,0,0,0,0,0,0,0
"143",110018,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",110018,2020,4,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"145",110020,2012,87,36,12,6,29,83,2,0,35,12,6,27,0,0,0,2,0,0,0,0
"146",110020,2013,53,18,9,7,15,52,1,0,18,9,7,14,0,0,0,1,0,0,0,0
"147",110020,2014,82,35,9,13,18,77,2,0,31,9,13,18,2,0,0,0,0,0,0,0
"148",110020,2015,88,41,10,10,22,84,3,0,40,9,10,21,0,1,0,1,0,0,0,0
"149",110020,2016,74,45,8,3,18,72,1,0,43,8,3,18,1,0,0,0,0,0,0,0
"150",110020,2017,68,28,12,8,18,64,2,0,28,12,6,16,0,0,0,2,0,0,0,0
"151",110020,2018,86,43,11,12,20,83,3,0,41,11,12,19,2,0,0,1,0,0,0,0
"152",110020,2019,84,36,14,11,21,82,2,0,35,13,11,21,1,1,0,0,0,0,0,0
"153",110020,2020,74,40,11,12,11,69,4,0,36,10,12,11,3,1,0,0,0,0,0,0
"154",110025,2012,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"155",110025,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156",110025,2014,3,0,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"157",110025,2015,2,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"158",110025,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159",110025,2017,3,0,0,3,0,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0
"160",110025,2018,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"161",110025,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162",110025,2020,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"163",110026,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164",110026,2013,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"165",110026,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166",110026,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167",110026,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168",110026,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169",110026,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",110026,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",110026,2020,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"172",110028,2012,7,1,3,1,2,7,0,0,1,3,1,2,0,0,0,0,0,0,0,0
"173",110028,2013,13,5,3,2,3,13,0,0,5,3,2,3,0,0,0,0,0,0,0,0
"174",110028,2014,5,2,0,1,2,5,0,0,2,0,1,2,0,0,0,0,0,0,0,0
"175",110028,2015,7,3,2,0,2,7,0,0,3,2,0,2,0,0,0,0,0,0,0,0
"176",110028,2016,12,4,2,2,3,12,0,0,4,2,2,3,0,0,0,0,0,0,0,0
"177",110028,2017,9,2,1,2,4,8,1,0,2,1,2,3,0,0,0,1,0,0,0,0
"178",110028,2018,9,4,1,1,3,9,0,0,4,1,1,3,0,0,0,0,0,0,0,0
"179",110028,2019,10,4,4,0,2,10,0,0,4,4,0,2,0,0,0,0,0,0,0,0
"180",110028,2020,7,3,1,1,2,6,1,0,3,1,0,2,0,0,1,0,0,0,0,0
"181",110029,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182",110029,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",110029,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",110029,2015,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"185",110029,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186",110029,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",110029,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188",110029,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",110029,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",110030,2012,6,3,2,0,1,6,0,0,3,2,0,1,0,0,0,0,0,0,0,0
"191",110030,2013,7,2,1,3,1,6,1,0,2,1,2,1,0,0,1,0,0,0,0,0
"192",110030,2014,15,9,2,1,3,14,1,0,8,2,1,3,1,0,0,0,0,0,0,0
"193",110030,2015,25,8,4,2,8,24,1,0,7,4,2,8,1,0,0,0,0,0,0,0
"194",110030,2016,8,5,1,0,2,6,2,0,3,1,0,2,2,0,0,0,0,0,0,0
"195",110030,2017,21,14,0,3,4,20,0,0,13,0,3,4,0,0,0,0,0,0,0,0
"196",110030,2018,15,8,1,1,5,15,0,0,8,1,1,5,0,0,0,0,0,0,0,0
"197",110030,2019,12,7,2,2,1,11,1,0,7,1,2,1,0,1,0,0,0,0,0,0
"198",110030,2020,15,6,3,1,4,15,0,0,6,3,1,4,0,0,0,0,0,0,0,0
"199",110032,2012,2,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"200",110032,2013,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"201",110032,2014,4,2,0,0,1,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0
"202",110032,2015,6,4,0,1,1,5,1,0,4,0,1,0,0,0,0,1,0,0,0,0
"203",110032,2016,4,3,1,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0
"204",110032,2017,3,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"205",110032,2018,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"206",110032,2019,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"207",110032,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208",110033,2012,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209",110033,2013,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"210",110033,2014,2,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"211",110033,2015,3,2,1,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"212",110033,2016,3,0,2,0,1,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"213",110033,2017,5,3,1,1,0,3,2,0,2,0,1,0,1,1,0,0,0,0,0,0
"214",110033,2018,4,1,0,0,2,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"215",110033,2019,6,2,0,1,3,6,0,0,2,0,1,3,0,0,0,0,0,0,0,0
"216",110033,2020,5,3,0,0,1,5,0,0,3,0,0,1,0,0,0,0,0,0,0,0
"217",110034,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218",110034,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"219",110034,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",110034,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",110034,2016,5,2,1,0,1,5,0,0,2,1,0,1,0,0,0,0,0,0,0,0
"222",110034,2017,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"223",110034,2018,2,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"224",110034,2019,3,1,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"225",110034,2020,4,2,1,0,1,4,0,0,2,1,0,1,0,0,0,0,0,0,0,0
"226",110037,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227",110037,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"228",110037,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"229",110037,2015,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"230",110037,2016,3,1,1,0,1,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"231",110037,2017,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"232",110037,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"233",110037,2019,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"234",110037,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"235",110040,2012,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"236",110040,2013,2,0,1,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"237",110040,2014,8,4,0,3,1,7,1,0,4,0,2,1,0,0,1,0,0,0,0,0
"238",110040,2015,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"239",110040,2016,2,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"240",110040,2017,4,3,0,0,1,3,1,0,2,0,0,1,1,0,0,0,0,0,0,0
"241",110040,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242",110040,2019,3,2,0,0,1,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"243",110040,2020,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"244",110045,2012,7,2,0,1,4,7,0,0,2,0,1,4,0,0,0,0,0,0,0,0
"245",110045,2013,10,6,0,0,2,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"246",110045,2014,5,1,3,0,0,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0
"247",110045,2015,4,0,1,1,1,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"248",110045,2016,5,1,0,0,4,5,0,0,1,0,0,4,0,0,0,0,0,0,0,0
"249",110045,2017,2,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"250",110045,2018,3,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"251",110045,2019,4,2,1,1,0,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0
"252",110045,2020,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"253",110050,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"254",110050,2013,2,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"255",110050,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"256",110050,2015,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"257",110050,2016,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"258",110050,2017,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"259",110050,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"260",110050,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"261",110050,2020,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"262",110060,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"263",110060,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"264",110060,2014,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"265",110060,2015,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"266",110060,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"267",110060,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
