"codmunres","ano","faixa_de_peso","evitaveis_neonatal_outros","evitaveis_neonatal_recem_nascido","evitaveis_neonatal_mulher_gestacao","evitaveis_neonatal_parto","evitaveis_neonatal_mal_definidas","evitaveis_neonatal_saude","evitaveis_neonatal_tratamento","evitaveis_neonatal_imunoprevencao","obitos_neonatais_totais"
"110005",2014,"> 1500 g",1,2,0,0,0,1,0,0,4
"110005",2014,"> 1000 g",0,1,0,0,0,0,0,0,1
"110005",2015,"> 1500 g",1,0,0,0,0,0,0,0,1
"110005",2016,"outros",0,0,1,0,0,0,0,0,1
"110005",2017,"outros",0,1,0,0,0,0,0,0,1
"110005",2018,"outros",0,0,2,0,0,0,0,0,2
"110005",2018,"> 1500 g",0,1,0,0,0,0,0,0,1
"110005",2019,"outros",0,1,2,0,0,0,0,0,3
"110005",2019,"> 1000 g",1,0,0,0,0,0,0,0,1
"110005",2020,"> 1500 g",0,0,0,1,0,0,0,0,1
"110005",2020,"outros",0,1,0,0,0,0,0,0,1
"110005",2021,"outros",0,0,1,1,0,0,0,0,2
"110005",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"110006",2012,"outros",0,0,2,1,0,0,0,0,3
"110006",2013,"> 1500 g",3,0,0,0,0,0,0,0,3
"110006",2014,"> 1500 g",0,3,0,0,0,0,0,0,3
"110006",2015,"> 1500 g",1,0,0,0,0,0,0,0,1
"110006",2016,"> 1500 g",1,0,0,0,0,0,0,0,1
"110006",2017,"> 1000 g",1,0,1,0,0,0,0,0,2
"110006",2017,"> 1500 g",1,0,0,0,0,0,0,0,1
"110006",2018,"outros",1,0,0,0,0,0,0,0,1
"110006",2018,"> 1500 g",0,1,0,0,0,0,0,0,1
"110006",2019,"outros",0,1,0,0,0,0,0,0,1
"110006",2022,"outros",0,2,0,0,0,0,0,0,2
"110006",2020,"não se aplica",0,0,0,0,0,0,0,0,0
"110006",2021,"não se aplica",0,0,0,0,0,0,0,0,0
"110007",2014,"outros",0,0,1,0,0,0,0,0,1
"110007",2014,"> 1500 g",1,0,0,0,0,0,0,0,1
"110007",2016,"> 1500 g",0,0,1,0,0,0,0,0,1
"110007",2016,"outros",0,0,0,0,0,1,0,0,1
"110007",2017,"outros",0,2,0,0,0,0,0,0,2
"110007",2018,"outros",0,1,0,0,0,0,0,0,1
"110007",2020,"> 1500 g",0,1,1,0,0,0,0,0,2
"110007",2020,"outros",1,0,0,0,0,0,0,0,1
"110007",2021,"outros",0,0,1,0,0,0,0,0,1
"110007",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"110007",2012,"não se aplica",0,0,0,0,0,0,0,0,0
"110007",2013,"não se aplica",0,0,0,0,0,0,0,0,0
"110007",2015,"não se aplica",0,0,0,0,0,0,0,0,0
"110007",2019,"não se aplica",0,0,0,0,0,0,0,0,0
"110008",2012,"outros",0,0,1,0,0,0,0,0,1
"110008",2012,"> 1500 g",1,0,0,0,0,0,0,0,1
"110008",2013,"outros",0,1,2,0,0,0,0,0,3
"110008",2013,"> 1500 g",1,0,0,0,0,0,0,0,1
"110008",2014,"> 1500 g",1,0,0,0,0,1,0,0,2
"110008",2015,"> 1500 g",0,0,0,2,1,0,0,0,3
"110008",2015,"outros",0,0,0,0,1,0,0,0,1
"110008",2016,"outros",1,1,0,0,0,0,0,0,2
"110008",2016,"> 1500 g",0,1,0,0,0,0,0,0,1
"110008",2017,"outros",2,0,1,0,0,0,0,0,3
"110008",2017,"> 1500 g",1,0,0,1,0,0,0,0,2
"110008",2017,"> 1000 g",0,1,0,0,0,0,0,0,1
"110008",2018,"> 1000 g",0,1,0,0,0,0,0,0,1
"110008",2019,"outros",1,0,1,1,0,0,0,0,3
"110008",2019,"> 1500 g",0,1,0,1,0,0,0,0,2
"110008",2020,"> 1500 g",0,0,1,1,0,0,0,0,2
"110008",2020,"outros",0,1,1,0,0,0,0,0,2
"110008",2021,"outros",0,0,2,0,0,0,0,0,2
"110008",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"110008",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"110008",2022,"outros",0,1,0,0,0,0,0,0,1
"110009",2012,"> 1500 g",1,0,0,0,1,0,0,0,2
"110009",2012,"outros",1,0,0,0,0,0,0,0,1
"110009",2013,"> 1000 g",1,0,1,0,0,0,0,0,2
"110009",2013,"> 1500 g",0,1,0,0,0,1,0,0,2
"110009",2013,"outros",0,1,0,0,0,0,0,0,1
"110009",2014,"outros",0,1,2,0,1,0,0,0,4
"110009",2014,"> 1500 g",0,0,0,1,0,0,0,0,1
"110009",2015,"> 1000 g",0,0,1,0,0,0,0,0,1
"110009",2015,"> 1500 g",2,1,1,0,0,0,0,0,4
"110009",2016,"outros",0,0,1,1,0,0,0,0,2
"110009",2017,"> 1000 g",2,0,0,0,0,0,0,0,2
"110009",2017,"> 1500 g",0,0,0,1,0,0,0,0,1
"110009",2018,"outros",1,0,1,0,0,0,0,0,2
"110009",2018,"> 1500 g",0,0,0,1,0,1,0,0,2
"110009",2018,"> 1000 g",0,1,0,0,0,0,0,0,1
"110009",2019,"> 1500 g",0,3,1,0,0,0,0,0,4
"110009",2019,"outros",0,3,0,0,0,0,0,0,3
"110009",2020,"> 1000 g",0,0,1,0,0,0,0,0,1
"110009",2020,"> 1500 g",1,0,1,0,0,0,0,0,2
"110009",2020,"outros",0,1,0,0,0,0,0,0,1
"110009",2021,"outros",0,0,1,0,0,0,1,0,2
"110009",2021,"> 1500 g",1,0,0,0,0,0,0,0,1
"110009",2022,"> 1500 g",1,0,1,0,1,0,0,0,3
"110009",2022,"outros",1,0,0,0,0,0,0,0,1
"110010",2012,"> 1000 g",0,1,1,0,0,0,0,0,2
"110010",2012,"> 1500 g",3,0,1,1,0,0,0,0,5
"110010",2013,"> 1000 g",0,0,3,0,0,0,0,0,3
"110010",2013,"outros",0,0,1,0,0,0,0,0,1
"110010",2013,"> 1500 g",1,1,0,2,0,0,0,0,4
"110010",2014,"> 1000 g",0,1,1,0,0,0,0,0,2
"110010",2014,"> 1500 g",2,4,1,1,0,0,0,0,8
"110010",2014,"outros",0,2,1,1,0,0,0,0,4
"110010",2015,"outros",0,1,3,0,0,0,0,0,4
"110010",2015,"> 1500 g",2,1,0,0,0,0,0,0,3
"110010",2016,"> 1500 g",4,0,0,1,1,0,0,0,6
"110010",2016,"> 1000 g",1,0,1,0,0,0,0,0,2
"110010",2016,"outros",0,1,2,0,0,0,0,0,3
"110010",2017,"> 1000 g",0,0,1,0,0,0,0,0,1
"110010",2017,"> 1500 g",2,1,2,0,0,2,0,0,7
"110010",2017,"outros",0,2,0,1,0,0,0,0,3
"110010",2018,"outros",1,0,4,0,0,0,0,0,5
"110010",2018,"> 1500 g",5,2,0,1,0,0,1,0,9
"110010",2019,"> 1500 g",2,0,0,0,0,0,0,0,2
"110010",2019,"> 1000 g",0,1,0,0,0,0,0,0,1
"110010",2019,"outros",0,1,0,0,0,0,0,0,1
"110010",2020,"> 1000 g",1,2,1,0,0,0,0,0,4
"110010",2020,"> 1500 g",3,2,0,4,0,0,0,0,9
"110010",2020,"outros",0,1,0,0,0,0,0,0,1
"110010",2021,"outros",0,0,1,0,0,0,0,0,1
"110010",2021,"> 1500 g",2,3,0,2,0,0,0,0,7
"110010",2022,"outros",1,1,1,0,0,0,0,0,3
"110010",2022,"> 1000 g",1,0,0,0,0,0,0,0,1
"110010",2022,"> 1500 g",1,1,0,0,0,0,0,0,2
"110011",2012,"> 1500 g",3,0,1,0,1,0,0,0,5
"110011",2012,"outros",0,2,0,1,0,0,0,0,3
"110011",2013,"outros",0,0,2,0,0,0,0,0,2
"110011",2013,"> 1000 g",0,1,0,0,0,0,0,0,1
"110011",2013,"> 1500 g",0,2,0,0,0,0,0,0,2
"110011",2014,"> 1500 g",1,0,1,0,0,0,0,0,2
"110011",2014,"outros",0,1,0,0,0,1,0,0,2
"110011",2015,"outros",0,1,2,0,0,0,0,0,3
"110011",2015,"> 1500 g",2,2,0,1,0,0,0,0,5
"110011",2016,"outros",0,1,2,0,1,0,0,0,4
"110011",2016,"> 1500 g",2,2,0,0,0,0,0,0,4
"110011",2016,"> 1000 g",0,1,0,0,0,0,0,0,1
"110011",2017,"> 1500 g",2,0,0,0,1,0,1,0,4
"110011",2017,"outros",0,1,1,0,0,0,0,0,2
"110011",2018,"> 1500 g",1,3,0,0,1,0,0,0,5
"110011",2018,"> 1000 g",0,2,0,0,0,0,0,0,2
"110011",2018,"outros",0,1,0,0,0,0,0,0,1
"110011",2019,"> 1500 g",1,0,0,0,0,0,0,0,1
"110011",2020,"> 1000 g",0,0,2,0,0,0,0,0,2
"110011",2020,"> 1500 g",0,0,1,1,0,0,0,0,2
"110011",2020,"outros",0,0,1,0,0,0,0,0,1
"110011",2021,"> 1500 g",1,4,1,0,0,0,0,0,6
"110011",2021,"outros",0,0,0,1,0,0,0,0,1
"110011",2021,"> 1000 g",0,1,0,0,0,0,0,0,1
"110011",2022,"> 1000 g",1,1,1,0,0,0,0,0,3
"110011",2022,"> 1500 g",3,0,0,1,0,0,0,0,4
"110011",2022,"outros",0,1,0,0,0,0,0,0,1
"110012",2012,"outros",0,3,4,2,0,0,0,0,9
"110012",2012,"> 1500 g",3,1,0,1,0,0,0,0,5
"110012",2012,"> 1000 g",0,2,0,0,0,0,0,0,2
"110012",2013,"outros",1,3,6,1,0,0,0,0,11
"110012",2013,"> 1000 g",0,1,0,1,0,0,0,0,2
"110012",2013,"> 1500 g",0,3,0,1,0,1,0,0,5
"110012",2014,"> 1000 g",1,0,2,0,0,0,0,0,3
"110012",2014,"> 1500 g",6,2,2,1,0,1,0,0,12
"110012",2014,"outros",1,3,1,0,0,0,0,0,5
"110012",2015,"> 1500 g",8,2,2,2,1,0,1,0,16
"110012",2015,"> 1000 g",0,0,1,0,0,0,0,0,1
