"codmunres","ano","obitos_fetais_mais_28sem","peso_menos_1500_mais_28sem","peso_1500_1999_mais_28sem","peso_2000_2499_mais_28sem","peso_mais_2500_mais_28sem"
110032,2018,2,0,0,0,2
110032,2019,1,1,0,0,0
110033,2012,1,1,0,0,0
110033,2013,2,1,0,0,0
110033,2014,2,0,0,1,0
110033,2015,3,2,1,0,0
110033,2016,3,0,2,0,1
110033,2017,4,2,1,1,0
110033,2018,4,1,0,0,2
110033,2019,4,0,0,1,3
110033,2020,3,1,0,0,1
110034,2016,4,1,1,0,1
110034,2017,1,0,1,0,0
110034,2018,2,1,0,0,1
110034,2019,3,1,0,0,1
110034,2020,3,1,1,0,1
110037,2015,1,1,0,0,0
110037,2016,2,0,1,0,1
110037,2019,2,0,0,0,2
110040,2012,1,0,1,0,0
110040,2013,2,0,1,1,0
110040,2014,8,4,0,3,1
110040,2015,1,0,0,0,1
110040,2016,1,0,0,1,0
110040,2017,3,2,0,0,1
110040,2019,2,1,0,0,1
110040,2020,1,0,0,0,1
110045,2012,5,0,0,1,4
110045,2013,9,6,0,0,2
110045,2014,5,1,3,0,0
110045,2015,4,0,1,1,1
110045,2016,5,1,0,0,4
110045,2017,2,0,1,0,1
110045,2018,2,2,0,0,0
110045,2019,3,1,1,1,0
110050,2013,1,0,0,0,1
110050,2015,1,0,1,0,0
110050,2016,1,0,0,0,1
110050,2020,1,0,0,0,0
110060,2014,1,1,0,0,0
110060,2018,1,0,0,0,1
110070,2013,5,1,1,1,2
110070,2015,1,0,0,0,0
110070,2016,1,1,0,0,0
110070,2017,1,0,1,0,0
110070,2018,1,0,1,0,0
110070,2019,2,0,1,1,0
110070,2020,1,1,0,0,0
110080,2012,2,2,0,0,0
110080,2013,3,2,0,0,1
110080,2014,5,2,1,1,1
110080,2015,7,0,1,1,5
110080,2017,5,0,1,1,3
110080,2019,3,2,0,0,1
110080,2020,5,2,0,1,2
110090,2012,1,0,0,0,1
110090,2014,1,0,0,0,1
110090,2016,1,0,0,0,1
110092,2014,1,0,0,0,0
110092,2015,1,1,0,0,0
110092,2016,3,1,0,1,1
110092,2017,1,0,0,1,0
110092,2018,3,1,1,0,1
110092,2019,2,0,2,0,0
110092,2020,3,0,0,1,2
110094,2013,4,0,2,0,1
110094,2014,2,2,0,0,0
110094,2015,4,0,2,0,1
110094,2016,3,0,0,1,2
110094,2017,6,3,0,2,1
110094,2020,1,0,0,0,1
110100,2014,1,0,1,0,0
110100,2015,1,0,0,0,1
110100,2016,2,0,0,0,2
110110,2013,4,3,0,0,1
110110,2014,2,1,0,0,1
110110,2017,2,1,0,0,1
