"","CODMUNRES","ANO","INCOMPLETUDE","TOTAIS","UF"
"185","120032",2022,5,230,"AC"
"186","120032",2023,14,275,"AC"
"187","120033",2021,5,379,"AC"
"188","120033",2022,1,330,"AC"
"189","120033",2023,2,354,"AC"
"190","120034",2021,4,276,"AC"
"191","120034",2022,2,242,"AC"
"192","120034",2023,3,288,"AC"
"193","120035",2021,9,443,"AC"
"194","120035",2022,12,368,"AC"
"195","120020",2021,0,1794,"AC"
"196","120039",2021,6,338,"AC"
"197","120039",2022,1,266,"AC"
"198","120039",2023,7,226,"AC"
"199","120040",2021,217,5666,"AC"
"200","120040",2022,232,5353,"AC"
"201","120001",2021,6,251,"AC"
"202","120001",2022,5,205,"AC"
"203","120001",2023,2,248,"AC"
"204","120005",2021,20,271,"AC"
"205","120005",2022,2,235,"AC"
"206","120005",2023,8,257,"AC"
"207","120010",2021,10,525,"AC"
"208","120010",2022,1,542,"AC"
"209","120010",2023,4,519,"AC"
"210","120013",2021,6,251,"AC"
"211","120013",2022,5,230,"AC"
"212","120013",2023,5,256,"AC"
"213","120017",2021,4,215,"AC"
"214","120017",2022,6,182,"AC"
"215","120017",2023,3,180,"AC"
"216","120020",2022,1,1575,"AC"
"217","120020",2023,2,1541,"AC"
"218","120025",2021,8,304,"AC"
"219","120025",2022,1,278,"AC"
"220","120025",2023,3,281,"AC"
"221","120043",2023,0,201,"AC"
"222","120060",2023,0,1130,"AC"
"223","130006",2022,11,259,"AM"
"224","130006",2023,2,240,"AM"
"225","130020",2021,1,271,"AM"
"226","130030",2023,3,819,"AM"
"227","130040",2022,1,390,"AM"
