"MUNIC_RES","ano","sih_30_a_39","sih_40_a_49","sih_menor_30","sih_total"
110120,"2016",0,0,1,1
110120,"2017",0,0,3,3
110120,"2018",0,0,6,6
110120,"2019",0,0,2,2
110120,"2020",1,0,2,3
110120,"2022",1,0,0,1
110120,"2023",0,0,2,2
110130,"2015",3,0,4,7
110130,"2016",2,0,4,6
110130,"2017",2,0,4,6
110130,"2018",1,0,1,2
110130,"2019",3,0,4,7
110130,"2020",0,0,6,6
110130,"2023",0,0,1,1
110140,"2015",0,0,3,3
110140,"2016",0,0,3,3
110140,"2017",1,0,2,3
110140,"2018",2,0,2,4
110140,"2019",2,1,3,6
110140,"2020",2,4,5,11
110140,"2021",2,2,1,5
110140,"2022",4,2,0,6
110140,"2023",1,0,1,2
110143,"2015",0,0,1,1
110143,"2016",0,0,3,3
110143,"2017",3,0,3,6
110143,"2018",0,0,1,1
110143,"2019",1,0,1,2
110143,"2021",0,0,1,1
110143,"2023",1,0,0,1
110145,"2015",0,0,1,1
110145,"2017",0,0,1,1
110145,"2018",0,0,1,1
110145,"2019",1,0,0,1
110145,"2020",0,0,1,1
110145,"2021",0,0,1,1
110145,"2022",0,0,1,1
110146,"2015",1,1,1,3
110146,"2016",0,0,2,2
110146,"2019",2,1,1,4
110146,"2021",0,0,1,1
110146,"2023",1,0,0,1
110147,"2015",0,0,1,1
110147,"2016",0,0,1,1
110147,"2017",0,0,3,3
110147,"2018",0,0,1,1
110147,"2019",0,0,1,1
110147,"2020",1,0,0,1
110147,"2021",1,0,0,1
110147,"2023",0,0,1,1
110148,"2015",0,0,4,4
110148,"2016",0,0,1,1
110148,"2018",2,0,1,3
110148,"2019",2,0,1,3
110148,"2020",1,0,2,3
110148,"2021",1,1,1,3
110149,"2015",3,1,6,10
110149,"2016",1,0,3,4
110149,"2017",2,0,5,7
110149,"2018",2,0,8,10
110149,"2019",1,0,4,5
110149,"2020",1,0,4,5
110149,"2021",2,0,3,5
110149,"2022",6,0,7,13
110149,"2023",2,1,2,5
110150,"2015",0,0,3,3
110150,"2016",1,0,0,1
110150,"2017",0,0,1,1
110150,"2018",0,0,2,2
110150,"2019",2,0,2,4
110150,"2020",3,0,5,8
110150,"2021",4,0,5,9
110150,"2022",3,0,6,9
110150,"2023",1,0,2,3
110155,"2015",0,0,1,1
110155,"2016",1,0,1,2
110155,"2018",1,0,0,1
110155,"2019",0,0,1,1
110155,"2020",0,0,1,1
110160,"2015",1,0,6,7
110160,"2016",0,0,3,3
110160,"2017",2,0,3,5
110160,"2018",1,0,3,4
110160,"2019",1,1,4,6
110160,"2020",1,0,2,3
110160,"2022",1,0,0,1
110160,"2023",1,0,0,1
110170,"2015",1,0,2,3
110170,"2016",1,0,3,4
110170,"2017",1,0,3,4
110170,"2018",1,0,2,3
110170,"2019",0,1,2,3
110170,"2020",1,0,4,5
110170,"2022",1,0,0,1
110175,"2015",1,0,2,3
110175,"2016",4,0,2,6
110175,"2017",0,0,1,1
110175,"2018",4,1,6,11
110175,"2019",1,1,8,10
110175,"2020",0,0,3,3
110175,"2021",2,0,4,6
110175,"2023",2,0,1,3
110180,"2015",2,1,1,4
110180,"2016",0,0,1,1
110180,"2017",0,0,1,1
110180,"2018",1,0,0,1
110180,"2020",0,0,1,1
110180,"2021",0,0,1,1
110180,"2022",0,0,1,1
120001,"2015",2,0,7,9
120001,"2016",1,1,4,6
120001,"2017",3,0,4,7
120001,"2018",2,1,6,9
120001,"2019",2,0,4,6
120001,"2020",2,0,5,7
120001,"2021",1,0,1,2
120001,"2022",2,2,3,7
120001,"2023",1,1,3,5
120005,"2015",4,1,7,12
120005,"2016",2,0,5,7
120005,"2017",8,2,9,19
120005,"2018",3,1,7,11
120005,"2019",4,1,10,15
120005,"2020",5,0,7,12
120005,"2021",4,1,11,16
120005,"2022",4,2,16,22
120005,"2023",1,3,3,7
120010,"2015",14,2,56,72
120010,"2016",27,5,63,95
120010,"2017",16,4,57,77
120010,"2018",10,9,42,61
120010,"2019",22,1,57,80
120010,"2020",23,2,50,75
120010,"2021",17,3,46,66
120010,"2022",20,1,43,64
120010,"2023",16,3,26,45
120013,"2015",1,1,1,3
120013,"2016",0,0,1,1
120013,"2017",2,0,3,5
120013,"2018",0,1,4,5
120013,"2019",0,0,5,5
120013,"2020",0,1,4,5
120013,"2021",2,0,4,6
120013,"2022",1,0,0,1
120013,"2023",4,0,2,6
120017,"2015",2,0,0,2
120017,"2016",1,0,2,3
120017,"2017",0,0,5,5
120017,"2018",1,1,5,7
120017,"2019",3,0,0,3
120017,"2020",0,0,5,5
120017,"2021",2,0,8,10
120017,"2022",3,0,10,13
120017,"2023",1,0,4,5
120020,"2015",54,5,107,166
120020,"2016",29,8,81,118
120020,"2017",27,7,71,105
120020,"2018",33,8,60,101
120020,"2019",40,5,60,105
120020,"2020",44,12,60,116
120020,"2021",57,25,79,161
120020,"2022",24,13,60,97
120020,"2023",10,6,13,29
120025,"2015",13,5,35,53
120025,"2016",17,4,31,52
120025,"2017",13,0,40,53
120025,"2018",14,3,33,50
120025,"2019",9,3,37,49
120025,"2020",13,2,19,34
120025,"2021",9,9,34,52
120025,"2022",14,3,28,45
120025,"2023",7,2,15,24
120030,"2015",3,0,6,9
120030,"2016",3,0,0,3
120030,"2017",2,1,7,10
120030,"2018",8,1,7,16
120030,"2019",2,0,10,12
120030,"2020",6,0,10,16
120030,"2021",5,2,16,23
120030,"2022",5,1,5,11
120030,"2023",1,2,18,21
120032,"2015",0,0,3,3
120032,"2016",0,0,3,3
120032,"2017",0,0,1,1
120032,"2018",1,0,3,4
120032,"2019",1,0,2,3
120032,"2020",0,1,3,4
120032,"2021",1,0,2,3
120032,"2022",2,0,1,3
120032,"2023",0,0,1,1
120033,"2015",2,0,7,9
120033,"2016",6,2,13,21
120033,"2017",2,1,10,13
120033,"2018",7,2,13,22
120033,"2019",3,1,11,15
120033,"2020",7,3,16,26
120033,"2021",10,4,10,24
120033,"2022",3,2,11,16
120033,"2023",3,1,3,7
120034,"2015",1,0,0,1
120034,"2016",0,0,4,4
120034,"2017",2,1,0,3
120034,"2018",0,0,1,1
120034,"2019",2,0,1,3
120034,"2020",0,1,0,1
120034,"2021",1,0,1,2
120034,"2023",1,0,2,3
120035,"2015",1,1,2,4
120035,"2016",3,2,5,10
120035,"2017",7,0,2,9
120035,"2018",2,0,7,9
120035,"2019",2,0,10,12
120035,"2020",2,0,14,16
120035,"2021",7,2,7,16
120035,"2022",3,5,13,21
120035,"2023",2,2,4,8
120038,"2015",1,1,9,11
120038,"2016",4,1,2,7
120038,"2017",0,2,6,8
120038,"2018",2,2,5,9
120038,"2019",6,1,6,13
120038,"2020",2,1,1,4
120038,"2021",7,2,11,20
120038,"2022",1,0,7,8
120038,"2023",2,0,8,10
120039,"2015",4,0,5,9
120039,"2016",3,1,9,13
120039,"2017",7,0,3,10
120039,"2018",2,1,1,4
120039,"2019",2,0,2,4
120039,"2020",2,1,7,10
120039,"2021",6,1,6,13
120039,"2022",2,0,6,8
120039,"2023",0,3,5,8
120040,"2015",183,38,428,649
120040,"2016",224,60,400,684
120040,"2017",238,61,401,700
120040,"2018",213,58,335,606
120040,"2019",121,29,144,294
120040,"2020",115,36,198,349
120040,"2021",150,38,227,415
120040,"2022",150,49,222,421
120040,"2023",143,44,199,386
120042,"2015",7,0,8,15
120042,"2016",2,3,5,10
120042,"2017",2,1,8,11
120042,"2018",2,1,4,7
120042,"2019",6,2,10,18
120042,"2020",6,3,11,20
120042,"2021",1,1,12,14
120042,"2022",3,2,4,9
120042,"2023",1,1,4,6
120043,"2015",2,0,0,2
120043,"2016",1,0,3,4
120043,"2017",0,0,2,2
120043,"2018",1,1,1,3
120043,"2021",1,0,2,3
120043,"2022",1,0,2,3
120043,"2023",1,0,3,4
120045,"2015",4,1,4,9
120045,"2016",3,0,3,6
120045,"2017",3,0,14,17
120045,"2018",2,5,5,12
120045,"2019",3,0,3,6
120045,"2020",3,0,10,13
120045,"2021",7,0,11,18
120045,"2022",2,3,5,10
120045,"2023",5,3,7,15
120050,"2015",6,3,35,44
120050,"2016",9,1,21,31
120050,"2017",5,2,14,21
120050,"2018",6,0,10,16
120050,"2019",7,1,9,17
120050,"2020",6,0,23,29
120050,"2021",10,2,25,37
120050,"2022",6,0,5,11
120050,"2023",2,2,10,14
120060,"2015",12,8,34,54
120060,"2016",5,2,28,35
120060,"2017",16,5,43,64
120060,"2018",17,4,49,70
120060,"2019",16,3,42,61
120060,"2020",16,3,41,60
120060,"2021",6,4,9,19
120060,"2022",9,2,25,36
120060,"2023",11,6,26,43
120070,"2015",5,0,4,9
120070,"2016",5,1,7,13
120070,"2017",5,3,9,17
120070,"2018",4,3,13,20
120070,"2019",5,2,14,21
120070,"2020",6,0,12,18
120070,"2021",10,2,19,31
120070,"2022",6,0,19,25
120070,"2023",2,2,13,17
120080,"2015",1,0,1,2
120080,"2016",3,0,5,8
120080,"2017",0,3,9,12
120080,"2018",2,2,8,12
120080,"2019",0,0,2,2
120080,"2020",5,1,1,7
120080,"2021",1,1,10,12
120080,"2022",6,0,9,15
120080,"2023",0,2,10,12
130002,"2015",0,0,6,6
130002,"2016",2,0,9,11
130002,"2017",2,0,11,13
130002,"2018",3,2,14,19
130002,"2019",2,1,9,12
130002,"2020",3,0,13,16
130002,"2021",1,0,3,4
130002,"2022",0,1,6,7
130002,"2023",2,2,4,8
130006,"2017",2,0,2,4
130006,"2019",3,0,7,10
130006,"2020",4,0,8,12
130006,"2022",5,0,6,11
130006,"2023",2,2,5,9
130008,"2015",0,0,5,5
130008,"2017",3,0,3,6
130008,"2018",1,0,1,2
130008,"2019",1,0,0,1
130008,"2020",1,0,1,2
130008,"2021",1,0,2,3
130008,"2022",7,0,6,13
130008,"2023",0,1,8,9
130010,"2018",0,0,1,1
130010,"2019",0,0,2,2
130010,"2021",0,0,2,2
130010,"2022",0,0,4,4
130010,"2023",1,0,0,1
130014,"2015",2,0,5,7
130014,"2016",2,0,7,9
130014,"2017",1,0,4,5
130014,"2018",2,0,3,5
130014,"2019",4,0,7,11
130014,"2020",3,1,6,10
130014,"2021",5,0,6,11
130014,"2022",3,3,8,14
130014,"2023",1,1,2,4
130020,"2015",2,1,8,11
130020,"2016",4,0,9,13
130020,"2017",4,0,8,12
130020,"2018",0,1,0,1
130020,"2019",4,1,7,12
130020,"2020",0,0,2,2
130020,"2021",0,0,2,2
130020,"2022",2,1,0,3
130020,"2023",0,0,2,2
130030,"2015",8,5,30,43
130030,"2016",6,4,20,30
130030,"2017",1,0,11,12
130030,"2018",5,1,19,25
130030,"2019",8,2,23,33
130030,"2020",8,2,28,38
130030,"2021",3,4,29,36
130030,"2022",8,0,25,33
130030,"2023",3,1,8,12
130040,"2015",1,0,0,1
130040,"2016",0,0,2,2
130040,"2017",0,0,3,3
130040,"2018",0,2,7,9
130040,"2019",3,1,8,12
130040,"2020",0,0,1,1
130040,"2021",2,0,7,9
130040,"2022",2,0,3,5
130040,"2023",2,0,6,8
130050,"2015",5,1,12,18
130050,"2016",6,0,10,16
130050,"2017",5,3,15,23
130050,"2018",12,4,27,43
130050,"2019",7,3,22,32
130050,"2020",7,2,23,32
130050,"2021",10,3,31,44
130050,"2022",12,3,18,33
130050,"2023",4,0,17,21
130060,"2015",6,1,19,26
130060,"2016",2,0,3,5
130060,"2017",2,0,6,8
130060,"2018",0,0,5,5
130060,"2019",16,5,41,62
130060,"2020",19,4,32,55
130060,"2021",21,5,43,69
130060,"2022",2,1,6,9
130060,"2023",2,1,5,8
130063,"2015",3,0,9,12
130063,"2016",1,0,6,7
130063,"2017",2,0,8,10
130063,"2018",2,1,6,9
130063,"2019",7,1,9,17
130063,"2020",6,0,16,22
130063,"2021",4,1,16,21
130063,"2022",4,0,11,15
130063,"2023",0,2,9,11
130068,"2018",3,1,7,11
130068,"2019",3,0,10,13
130068,"2020",4,1,9,14
130068,"2021",2,0,15,17
130068,"2022",3,2,9,14
130068,"2023",3,0,7,10
130070,"2015",5,2,24,31
130070,"2016",6,1,16,23
130070,"2017",9,1,29,39
130070,"2018",5,3,25,33
130070,"2019",11,2,19,32
130070,"2020",9,0,22,31
130070,"2021",8,2,36,46
130070,"2022",10,1,30,41
130070,"2023",4,4,27,35
130080,"2015",1,1,17,19
130080,"2016",5,1,19,25
130080,"2017",3,1,14,18
130080,"2018",12,2,25,39
130080,"2019",12,1,27,40
130080,"2020",13,1,26,40
130080,"2021",14,3,30,47
130080,"2022",5,3,37,45
130080,"2023",9,1,12,22
130083,"2015",0,0,3,3
130083,"2016",2,1,10,13
130083,"2017",2,0,1,3
130083,"2019",0,1,1,2
130083,"2020",3,0,12,15
130083,"2021",1,1,9,11
130083,"2022",2,0,2,4
130083,"2023",3,0,3,6
130090,"2015",0,1,1,2
130090,"2016",3,1,1,5
130090,"2017",1,0,8,9
130090,"2018",1,0,8,9
130090,"2019",3,1,6,10
130090,"2020",0,0,5,5
130090,"2021",1,0,8,9
130090,"2022",1,0,9,10
130090,"2023",0,0,1,1
130100,"2015",0,0,3,3
130100,"2016",1,0,1,2
130100,"2017",2,0,4,6
130100,"2018",1,0,5,6
130100,"2019",6,2,25,33
130100,"2020",10,1,15,26
130100,"2021",5,4,14,23
130100,"2022",5,2,10,17
130100,"2023",9,1,8,18
130110,"2015",2,0,6,8
130110,"2016",3,1,8,12
130110,"2017",1,0,0,1
130110,"2019",6,1,7,14
130110,"2020",3,3,9,15
130110,"2021",11,0,15,26
130110,"2022",10,3,21,34
130110,"2023",5,2,7,14
130115,"2015",1,0,0,1
130115,"2016",1,1,1,3
130115,"2017",0,0,1,1
130115,"2018",0,0,1,1
130115,"2020",0,0,1,1
130115,"2022",0,1,1,2
130120,"2015",45,11,120,176
130120,"2016",31,6,94,131
130120,"2017",41,3,85,129
130120,"2018",56,12,139,207
130120,"2019",30,18,88,136
130120,"2020",32,4,76,112
130120,"2021",17,4,61,82
130120,"2022",17,6,41,64
130120,"2023",11,2,25,38
130130,"2015",4,0,8,12
130130,"2016",7,0,11,18
130130,"2017",5,2,15,22
130130,"2018",6,0,17,23
130130,"2019",8,2,22,32
130130,"2020",6,1,17,24
130130,"2021",10,2,19,31
130130,"2022",7,3,17,27
130130,"2023",4,1,10,15
130140,"2015",2,0,4,6
130140,"2016",1,0,2,3
130140,"2017",2,0,9,11
130140,"2018",3,0,12,15
130140,"2019",5,0,21,26
130140,"2020",1,1,10,12
130140,"2021",3,1,21,25
130140,"2022",1,1,7,9
130140,"2023",3,1,8,12
130150,"2015",0,0,3,3
130150,"2016",2,0,7,9
130150,"2017",5,1,5,11
130150,"2018",1,2,2,5
130150,"2019",1,0,1,2
130150,"2020",0,0,1,1
130150,"2021",1,0,3,4
130150,"2022",2,0,3,5
130150,"2023",0,1,4,5
130160,"2016",0,0,2,2
130160,"2017",0,0,1,1
130160,"2019",1,0,0,1
130160,"2020",0,0,1,1
130160,"2021",2,0,3,5
130160,"2022",2,0,9,11
130160,"2023",0,0,2,2
130165,"2015",3,1,5,9
130165,"2016",2,1,7,10
130165,"2017",2,0,3,5
130165,"2018",7,0,5,12
130165,"2019",2,0,9,11
130165,"2020",2,0,7,9
130165,"2021",1,0,14,15
130165,"2022",3,1,10,14
130165,"2023",2,0,3,5
130170,"2015",4,3,19,26
130170,"2016",11,0,33,44
130170,"2017",13,1,36,50
130170,"2018",12,0,31,43
130170,"2019",9,3,31,43
130170,"2020",6,1,31,38
130170,"2021",11,3,29,43
130170,"2022",6,2,18,26
130170,"2023",5,3,7,15
130180,"2015",4,1,15,20
130180,"2016",4,1,14,19
130180,"2017",5,1,10,16
130180,"2018",1,0,5,6
130180,"2019",3,1,10,14
130180,"2020",4,1,12,17
130180,"2021",9,1,6,16
130180,"2022",2,1,20,23
130180,"2023",15,3,20,38
130185,"2015",1,0,2,3
130185,"2016",2,1,0,3
130185,"2017",1,0,5,6
130185,"2019",1,0,5,6
130185,"2020",1,0,7,8
130185,"2021",5,2,6,13
130185,"2022",3,2,13,18
130185,"2023",0,0,5,5
130190,"2015",54,9,138,201
130190,"2016",42,13,108,163
130190,"2017",40,5,104,149
130190,"2018",65,13,109,187
130190,"2019",55,10,113,178
130190,"2020",45,13,86,144
130190,"2021",52,14,117,183
130190,"2022",66,22,127,215
130190,"2023",34,15,71,120
130195,"2015",3,0,5,8
130195,"2016",0,0,2,2
130195,"2017",0,0,1,1
130195,"2018",0,0,1,1
130195,"2021",0,0,2,2
130195,"2023",0,0,2,2
130200,"2017",0,0,4,4
130200,"2018",2,0,2,4
130200,"2019",2,1,1,4
130200,"2020",0,0,5,5
130200,"2021",1,0,3,4
130200,"2022",5,1,8,14
130200,"2023",3,0,3,6
130210,"2015",0,0,2,2
130210,"2016",1,1,2,4
130210,"2018",1,0,1,2
130210,"2019",1,0,3,4
130210,"2020",1,0,2,3
130210,"2021",4,0,9,13
130210,"2022",2,1,5,8
130220,"2015",0,0,3,3
130220,"2016",1,2,6,9
130220,"2017",7,0,11,18
130220,"2018",1,0,5,6
130220,"2020",3,0,4,7
130220,"2021",2,0,5,7
130220,"2022",0,0,4,4
130230,"2015",3,0,12,15
130230,"2016",0,1,17,18
130230,"2017",6,0,12,18
130230,"2018",6,0,3,9
130230,"2019",4,3,13,20
130230,"2020",7,8,5,20
130230,"2021",5,4,17,26
130230,"2022",7,5,12,24
130230,"2023",2,2,6,10
130240,"2015",0,0,3,3
130240,"2016",0,0,1,1
130240,"2018",5,1,10,16
130240,"2019",8,3,13,24
130240,"2020",6,2,20,28
130240,"2021",6,1,26,33
130240,"2022",10,5,28,43
130240,"2023",8,3,22,33
130250,"2015",1,0,9,10
130250,"2016",0,0,11,11
130250,"2017",3,2,7,12
130250,"2018",1,0,8,9
130250,"2019",5,0,10,15
130250,"2020",4,2,4,10
130250,"2021",11,1,29,41
130250,"2022",4,1,20,25
130250,"2023",1,0,8,9
130255,"2015",2,2,2,6
130255,"2016",1,0,2,3
130255,"2017",2,0,1,3
130255,"2018",0,0,2,2
130255,"2019",1,0,1,2
130255,"2020",1,1,3,5
130255,"2022",0,0,2,2
130255,"2023",0,0,2,2
130260,"2015",398,100,900,1398
130260,"2016",651,129,1271,2051
130260,"2017",711,172,1704,2587
130260,"2018",768,192,1583,2543
130260,"2019",672,149,1271,2092
130260,"2020",578,153,1116,1847
130260,"2021",501,124,922,1547
130260,"2022",459,135,856,1450
130260,"2023",301,82,590,973
130270,"2015",8,2,28,38
130270,"2016",6,1,25,32
130270,"2017",5,4,19,28
