UF,ANO,NOME,local,não_local,dentro_regiao_saude,dentro_macrorregiao_saude,fora_macrorregiao_saude,outra_uf,destino_total,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,km_partos_na_região,km_partos_na_região_alta_complexidade,km_partos_na_região_baixa_complexidade,km_partos_na_macrorregião,km_partos_na_macrorregião_alta_complexidade,km_partos_na_macrorregião_baixa_complexidade,km_partos_fora_macrorregião,km_partos_fora_macrorregião_alta_complexidade,km_partos_fora_macrorregião_baixa_complexidade,km_partos_fora_UF,km_partos_fora_UF_alta_complexidade,km_partos_fora_UF_baixa_complexidade
15.0,2017, Pará,105968.0,32716.0,19703.0,3729.0,6918.0,2366.0,138684.0,64.8821451337,73.0793,61.4385,31.2385,19.8355,48.0748,157.769439689058,161.149358927486,100.0926,116.0377,125.4156,103.1025,200.480982592815,234.7566,200.480982592815
15.0,2018, Pará,107062.0,34757.0,20864.0,3957.0,7285.0,2651.0,141819.0,65.9178,65.9178,61.4385,34.2419,19.8355,48.0748,157.769439689058,157.769439689058,116.7567,118.5261,125.4156,104.3952,207.6456,200.480982592815,207.6456
15.0,2019, Pará,104114.0,34227.0,21521.0,3149.0,7034.0,2523.0,138341.0,64.8821451337,66.5132623500273,56.6672,34.8642,20.778,68.2698523860006,157.769439689058,161.149358927486,124.064599425957,125.4156,128.9269,106.0903,207.6456,236.3027,206.3682
15.0,2020, Pará,100263.0,32675.0,21458.0,3055.0,5980.0,2182.0,132938.0,63.5412,65.8064,56.83,36.9037,23.9948,51.7757,145.1726,157.769439689058,116.7567,116.0377,125.4156,106.0903,243.5271,233.2105,324.996
16.0,2012, Amapá,12673.0,2222.0,1010.0,1159.0,1.0,52.0,14895.0,34.7156,101.9617,27.0658,115.9282,27.0658,115.9282,21.3422,21.3422,168.8567,  NA,  NA,0,243.5271,1609.68126490743,134.4559
16.0,2013, Amapá,13031.0,2679.0,1189.0,1458.0,1.0,31.0,15710.0,34.7156,21.3422,115.9282,115.9282,20.5911444590504,115.9282,21.3422,21.3422,34.7156,  NA,0,  NA,395.62,441.893161780702,264.5521
16.0,2014, Amapá,13540.0,2731.0,1253.0,1453.0,0.0,25.0,16271.0,34.7156,21.3422,95.5823,115.9282,137.7511,115.9282,21.3422,21.3422,34.7156,0,0,0,441.893161780702,441.893161780702,264.5521
16.0,2015, Amapá,13071.0,2679.0,1182.0,1454.0,3.0,40.0,15750.0,34.7156,21.3422,34.7156,101.9617,137.7511,101.9617,21.3422,21.3422,34.7156,0,0,0,441.893161780702,568.190580890351,264.5521
16.0,2016, Amapá,13164.0,2357.0,1084.0,1241.0,0.0,32.0,15521.0,34.7156,21.3422,34.7156,115.9282,137.7511,101.9617,21.3422,21.3422,34.7156,0,0,0,441.893161780702,441.893161780702,134.4559
16.0,2017, Amapá,12612.0,2787.0,1168.0,1573.0,0.0,46.0,15399.0,34.7156,21.3422,34.7156,115.9282,115.9282,115.9282,21.3422,21.3422,34.7156,0,0,0,277.3197,441.893161780702,264.5521
16.0,2018, Amapá,12788.0,3076.0,1407.0,1633.0,0.0,36.0,15864.0,34.7156,21.3422,115.9282,115.9282,20.5911444590504,115.9282,21.3422,21.3422,34.7156,0,0,0,264.5521,444.205215940088,188.9915
16.0,2019, Amapá,12285.0,3071.0,1398.0,1634.0,0.0,39.0,15356.0,34.7156,101.9617,27.0658,115.9282,115.9282,36.9541900441946,21.3422,21.3422,213.3079,0,0,0,473.548183328372,2197.55265,264.5521
16.0,2020, Amapá,11595.0,3038.0,1369.0,1623.0,0.0,46.0,14633.0,34.7156,101.9617,27.0658,115.9282,115.9282,27.0658,21.3422,21.3422,231.4122,0,0,0,439.469830890351,1926.58467351581,264.5521
17.0,2012, Tocantins,13569.0,10826.0,7346.0,2139.0,308.0,1033.0,24395.0,73.7345,97.3415,68.2323,62.0941,53.7919,73.7345,131.1533,131.1533,127.4369,220.6696,402.7451,220.6696,65.3903,123.19325,54.3185
17.0,2013, Tocantins,13688.0,10431.0,7005.0,2150.0,274.0,1002.0,24119.0,76.4037,102.7623,68.2323,63.5999,73.6137,61.3869,129.4048,128.0988,129.4048,220.6696,438.1343,220.6696,54.3185,100.2746,44.1654
17.0,2014, Tocantins,13940.0,11004.0,7061.0,2537.0,292.0,1114.0,24944.0,74.6598,102.7623,68.2323,62.9327,73.7345,53.6542,131.1533,131.1533,144.8431,220.6696,386.0443,220.6696,56.2643,100.2746,54.3185
17.0,2015, Tocantins,13806.0,11304.0,7085.0,2732.0,306.0,1181.0,25110.0,81.03,105.846,68.4155,66.87,73.7345,61.3869,131.1533,128.0988,144.8431,220.6696,386.0443,190.4246,56.2643,100.2746,46.356
17.0,2016, Tocantins,12654.0,11216.0,6653.0,3103.0,334.0,1126.0,23870.0,87.9441,108.1577,76.4037,70.6539,73.7345,61.7759,139.6622,128.0988,157.1277,220.6696,304.04965,190.4246,65.3903,105.846,54.3185
17.0,2017, Tocantins,13125.0,11810.0,6846.0,3400.0,348.0,1216.0,24935.0,87.9441,108.1577,75.4446791226102,71.5512,73.7345,63.5999,139.6622,139.6622,134.7387,220.6696,339.40465,220.6696,65.3903,100.2746,65.3903
17.0,2018, Tocantins,13384.0,12096.0,6690.0,3856.0,368.0,1182.0,25480.0,90.9009,108.1577,78.1428,72.1414,73.7345,63.5999,145.871,140.213866449236,172.0653,220.6696,359.016,220.6696,65.3903,111.84775,65.3903
