"codmunres","ano","municipio","uf","regiao","nascidos","obitos_mat_totais","obitos_mat_diretos","obitos_mat_aborto","obitos_mat_hipertensao","obitos_mat_hemorragia","obitos_mat_infec_puerperal"
110033,2014,"Nova Mamoré","RO","Norte",425,0,0,0,0,0,0
110033,2015,"Nova Mamoré","RO","Norte",404,0,0,0,0,0,0
110033,2016,"Nova Mamoré","RO","Norte",411,0,0,0,0,0,0
110033,2017,"Nova Mamoré","RO","Norte",487,0,0,0,0,0,0
110033,2018,"Nova Mamoré","RO","Norte",482,0,0,0,0,0,0
110033,2019,"Nova Mamoré","RO","Norte",432,0,0,0,0,0,0
110033,2020,"Nova Mamoré","RO","Norte",423,1,1,0,0,1,0
110034,2012,"Alvorada D'Oeste","RO","Norte",189,0,0,0,0,0,0
110034,2013,"Alvorada D'Oeste","RO","Norte",220,0,0,0,0,0,0
110034,2014,"Alvorada D'Oeste","RO","Norte",184,0,0,0,0,0,0
110034,2015,"Alvorada D'Oeste","RO","Norte",200,1,1,0,1,0,0
110034,2016,"Alvorada D'Oeste","RO","Norte",166,0,0,0,0,0,0
110034,2017,"Alvorada D'Oeste","RO","Norte",178,0,0,0,0,0,0
110034,2018,"Alvorada D'Oeste","RO","Norte",162,1,1,0,0,0,0
110034,2019,"Alvorada D'Oeste","RO","Norte",205,0,0,0,0,0,0
110034,2020,"Alvorada D'Oeste","RO","Norte",210,0,0,0,0,0,0
110037,2012,"Alto Alegre dos Parecis","RO","Norte",189,0,0,0,0,0,0
110037,2013,"Alto Alegre dos Parecis","RO","Norte",163,0,0,0,0,0,0
110037,2014,"Alto Alegre dos Parecis","RO","Norte",172,0,0,0,0,0,0
110037,2015,"Alto Alegre dos Parecis","RO","Norte",149,0,0,0,0,0,0
110037,2016,"Alto Alegre dos Parecis","RO","Norte",168,0,0,0,0,0,0
110037,2017,"Alto Alegre dos Parecis","RO","Norte",172,1,1,0,0,0,0
110037,2018,"Alto Alegre dos Parecis","RO","Norte",160,0,0,0,0,0,0
110037,2019,"Alto Alegre dos Parecis","RO","Norte",154,0,0,0,0,0,0
110037,2020,"Alto Alegre dos Parecis","RO","Norte",146,0,0,0,0,0,0
110040,2012,"Alto Paraíso","RO","Norte",194,0,0,0,0,0,0
110040,2013,"Alto Paraíso","RO","Norte",211,1,1,0,1,0,0
110040,2014,"Alto Paraíso","RO","Norte",254,0,0,0,0,0,0
110040,2015,"Alto Paraíso","RO","Norte",247,0,0,0,0,0,0
110040,2016,"Alto Paraíso","RO","Norte",220,0,0,0,0,0,0
110040,2017,"Alto Paraíso","RO","Norte",242,0,0,0,0,0,0
110040,2018,"Alto Paraíso","RO","Norte",219,0,0,0,0,0,0
110040,2019,"Alto Paraíso","RO","Norte",226,0,0,0,0,0,0
110040,2020,"Alto Paraíso","RO","Norte",218,0,0,0,0,0,0
110045,2012,"Buritis","RO","Norte",555,0,0,0,0,0,0
110045,2013,"Buritis","RO","Norte",598,0,0,0,0,0,0
110045,2014,"Buritis","RO","Norte",620,1,1,0,0,1,0
110045,2015,"Buritis","RO","Norte",608,0,0,0,0,0,0
110045,2016,"Buritis","RO","Norte",624,0,0,0,0,0,0
110045,2017,"Buritis","RO","Norte",632,0,0,0,0,0,0
110045,2018,"Buritis","RO","Norte",617,1,1,0,0,0,0
110045,2019,"Buritis","RO","Norte",583,0,0,0,0,0,0
110045,2020,"Buritis","RO","Norte",508,0,0,0,0,0,0
110050,2012,"Novo Horizonte do Oeste","RO","Norte",125,0,0,0,0,0,0
110050,2013,"Novo Horizonte do Oeste","RO","Norte",122,0,0,0,0,0,0
110050,2014,"Novo Horizonte do Oeste","RO","Norte",93,0,0,0,0,0,0
110050,2015,"Novo Horizonte do Oeste","RO","Norte",109,0,0,0,0,0,0
110050,2016,"Novo Horizonte do Oeste","RO","Norte",95,0,0,0,0,0,0
110050,2017,"Novo Horizonte do Oeste","RO","Norte",91,0,0,0,0,0,0
110050,2018,"Novo Horizonte do Oeste","RO","Norte",111,0,0,0,0,0,0
110050,2019,"Novo Horizonte do Oeste","RO","Norte",98,0,0,0,0,0,0
110050,2020,"Novo Horizonte do Oeste","RO","Norte",78,0,0,0,0,0,0
110060,2012,"Cacaulândia","RO","Norte",61,0,0,0,0,0,0
110060,2013,"Cacaulândia","RO","Norte",63,0,0,0,0,0,0
110060,2014,"Cacaulândia","RO","Norte",58,0,0,0,0,0,0
110060,2015,"Cacaulândia","RO","Norte",72,0,0,0,0,0,0
110060,2016,"Cacaulândia","RO","Norte",67,0,0,0,0,0,0
110060,2017,"Cacaulândia","RO","Norte",71,0,0,0,0,0,0
110060,2018,"Cacaulândia","RO","Norte",80,0,0,0,0,0,0
110060,2019,"Cacaulândia","RO","Norte",75,0,0,0,0,0,0
110060,2020,"Cacaulândia","RO","Norte",70,0,0,0,0,0,0
110070,2012,"Campo Novo de Rondônia","RO","Norte",164,0,0,0,0,0,0
110070,2013,"Campo Novo de Rondônia","RO","Norte",183,0,0,0,0,0,0
110070,2014,"Campo Novo de Rondônia","RO","Norte",181,0,0,0,0,0,0
110070,2015,"Campo Novo de Rondônia","RO","Norte",156,0,0,0,0,0,0
110070,2016,"Campo Novo de Rondônia","RO","Norte",162,0,0,0,0,0,0
110070,2017,"Campo Novo de Rondônia","RO","Norte",174,1,1,0,0,1,0
110070,2018,"Campo Novo de Rondônia","RO","Norte",195,0,0,0,0,0,0
110070,2019,"Campo Novo de Rondônia","RO","Norte",166,0,0,0,0,0,0
110070,2020,"Campo Novo de Rondônia","RO","Norte",173,0,0,0,0,0,0
110080,2012,"Candeias do Jamari","RO","Norte",430,1,1,0,0,0,1
110080,2013,"Candeias do Jamari","RO","Norte",405,0,0,0,0,0,0
110080,2014,"Candeias do Jamari","RO","Norte",296,0,0,0,0,0,0
110080,2015,"Candeias do Jamari","RO","Norte",323,0,0,0,0,0,0
110080,2016,"Candeias do Jamari","RO","Norte",372,0,0,0,0,0,0
110080,2017,"Candeias do Jamari","RO","Norte",397,0,0,0,0,0,0
110080,2018,"Candeias do Jamari","RO","Norte",421,0,0,0,0,0,0
110080,2019,"Candeias do Jamari","RO","Norte",337,1,0,0,0,0,0
110080,2020,"Candeias do Jamari","RO","Norte",344,0,0,0,0,0,0
110090,2012,"Castanheiras","RO","Norte",53,0,0,0,0,0,0
110090,2013,"Castanheiras","RO","Norte",36,0,0,0,0,0,0
110090,2014,"Castanheiras","RO","Norte",46,0,0,0,0,0,0
110090,2015,"Castanheiras","RO","Norte",52,0,0,0,0,0,0
110090,2016,"Castanheiras","RO","Norte",55,0,0,0,0,0,0
110090,2017,"Castanheiras","RO","Norte",39,0,0,0,0,0,0
110090,2018,"Castanheiras","RO","Norte",56,0,0,0,0,0,0
110090,2019,"Castanheiras","RO","Norte",32,0,0,0,0,0,0
110090,2020,"Castanheiras","RO","Norte",37,0,0,0,0,0,0
110092,2012,"Chupinguaia","RO","Norte",118,0,0,0,0,0,0
110092,2013,"Chupinguaia","RO","Norte",158,1,1,0,1,0,0
110092,2014,"Chupinguaia","RO","Norte",158,0,0,0,0,0,0
110092,2015,"Chupinguaia","RO","Norte",154,0,0,0,0,0,0
110092,2016,"Chupinguaia","RO","Norte",153,0,0,0,0,0,0
110092,2017,"Chupinguaia","RO","Norte",169,1,1,0,1,0,0
110092,2018,"Chupinguaia","RO","Norte",181,0,0,0,0,0,0
110092,2019,"Chupinguaia","RO","Norte",162,0,0,0,0,0,0
110092,2020,"Chupinguaia","RO","Norte",162,0,0,0,0,0,0
110094,2012,"Cujubim","RO","Norte",161,0,0,0,0,0,0
110094,2013,"Cujubim","RO","Norte",203,0,0,0,0,0,0
110094,2014,"Cujubim","RO","Norte",240,1,1,0,0,0,0
110094,2015,"Cujubim","RO","Norte",274,0,0,0,0,0,0
110094,2016,"Cujubim","RO","Norte",241,0,0,0,0,0,0
110094,2017,"Cujubim","RO","Norte",209,1,1,0,0,0,0
110094,2018,"Cujubim","RO","Norte",229,0,0,0,0,0,0
110094,2019,"Cujubim","RO","Norte",205,0,0,0,0,0,0
110094,2020,"Cujubim","RO","Norte",246,0,0,0,0,0,0
110100,2012,"Governador Jorge Teixeira","RO","Norte",133,0,0,0,0,0,0
110100,2013,"Governador Jorge Teixeira","RO","Norte",116,0,0,0,0,0,0
110100,2014,"Governador Jorge Teixeira","RO","Norte",124,0,0,0,0,0,0
110100,2015,"Governador Jorge Teixeira","RO","Norte",132,0,0,0,0,0,0
110100,2016,"Governador Jorge Teixeira","RO","Norte",112,0,0,0,0,0,0
110100,2017,"Governador Jorge Teixeira","RO","Norte",109,0,0,0,0,0,0
110100,2018,"Governador Jorge Teixeira","RO","Norte",133,0,0,0,0,0,0
110100,2019,"Governador Jorge Teixeira","RO","Norte",112,0,0,0,0,0,0
110100,2020,"Governador Jorge Teixeira","RO","Norte",86,0,0,0,0,0,0
110110,2012,"Itapuã do Oeste","RO","Norte",114,0,0,0,0,0,0
110110,2013,"Itapuã do Oeste","RO","Norte",123,2,1,1,0,0,0
110110,2014,"Itapuã do Oeste","RO","Norte",97,0,0,0,0,0,0
110110,2015,"Itapuã do Oeste","RO","Norte",112,0,0,0,0,0,0
110110,2016,"Itapuã do Oeste","RO","Norte",129,0,0,0,0,0,0
110110,2017,"Itapuã do Oeste","RO","Norte",95,0,0,0,0,0,0
110110,2018,"Itapuã do Oeste","RO","Norte",92,0,0,0,0,0,0
110110,2019,"Itapuã do Oeste","RO","Norte",109,0,0,0,0,0,0
110110,2020,"Itapuã do Oeste","RO","Norte",119,0,0,0,0,0,0
110120,2012,"Ministro Andreazza","RO","Norte",100,0,0,0,0,0,0
110120,2013,"Ministro Andreazza","RO","Norte",104,0,0,0,0,0,0
110120,2014,"Ministro Andreazza","RO","Norte",107,0,0,0,0,0,0
110120,2015,"Ministro Andreazza","RO","Norte",93,0,0,0,0,0,0
110120,2016,"Ministro Andreazza","RO","Norte",93,0,0,0,0,0,0
110120,2017,"Ministro Andreazza","RO","Norte",100,0,0,0,0,0,0
110120,2018,"Ministro Andreazza","RO","Norte",92,0,0,0,0,0,0
110120,2019,"Ministro Andreazza","RO","Norte",84,0,0,0,0,0,0
110120,2020,"Ministro Andreazza","RO","Norte",74,0,0,0,0,0,0
110130,2012,"Mirante da Serra","RO","Norte",148,0,0,0,0,0,0
110130,2013,"Mirante da Serra","RO","Norte",122,0,0,0,0,0,0
110130,2014,"Mirante da Serra","RO","Norte",137,0,0,0,0,0,0
110130,2015,"Mirante da Serra","RO","Norte",179,0,0,0,0,0,0
110130,2016,"Mirante da Serra","RO","Norte",148,0,0,0,0,0,0
110130,2017,"Mirante da Serra","RO","Norte",156,0,0,0,0,0,0
110130,2018,"Mirante da Serra","RO","Norte",160,0,0,0,0,0,0
110130,2019,"Mirante da Serra","RO","Norte",164,0,0,0,0,0,0
110130,2020,"Mirante da Serra","RO","Norte",168,0,0,0,0,0,0
110140,2012,"Monte Negro","RO","Norte",170,0,0,0,0,0,0
110140,2013,"Monte Negro","RO","Norte",223,0,0,0,0,0,0
110140,2014,"Monte Negro","RO","Norte",204,0,0,0,0,0,0
110140,2015,"Monte Negro","RO","Norte",240,0,0,0,0,0,0
110140,2016,"Monte Negro","RO","Norte",173,0,0,0,0,0,0
110140,2017,"Monte Negro","RO","Norte",200,0,0,0,0,0,0
110140,2018,"Monte Negro","RO","Norte",220,0,0,0,0,0,0
110140,2019,"Monte Negro","RO","Norte",199,0,0,0,0,0,0
110140,2020,"Monte Negro","RO","Norte",167,0,0,0,0,0,0
110143,2012,"Nova União","RO","Norte",99,0,0,0,0,0,0
