"codmunres","municipio","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","uf","idhm"
"1278",250260,"Igaracy","Nordeste",25007,"7ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.61"
"1279",250270,"Borborema","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.558"
"1280",250280,"Brejo do Cruz","Nordeste",25008,"8ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.597"
"1281",250290,"Brejo dos Santos","Nordeste",25008,"8ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.619"
"1282",250300,"Caaporã","Nordeste",25001,"1ª Região Mata Atlântica",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.602"
"1283",250310,"Cabaceiras","Nordeste",25015,"15ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.611"
"1284",250320,"Cabedelo","Nordeste",25001,"1ª Região Mata Atlântica",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.748"
"1285",250330,"Cachoeira dos Índios","Nordeste",25009,"9ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.587"
"1286",250340,"Cacimba de Areia","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.596"
"1287",250350,"Cacimba de Dentro","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.564"
"1288",250355,"Cacimbas","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.523"
"1289",250360,"Caiçara","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.592"
"1290",250370,"Cajazeiras","Nordeste",25009,"9ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.679"
"1291",250375,"Cajazeirinhas","Nordeste",25013,"13ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.55"
"1292",250380,"Caldas Brandão","Nordeste",25012,"12ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.568"
"1293",250390,"Camalaú","Nordeste",25005,"5ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.567"
"1294",250400,"Campina Grande","Nordeste",25016,"16ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.72"
"1295",250403,"Capim","Nordeste",25014,"14ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.533"
"1296",250407,"Caraúbas","Nordeste",25005,"5ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.585"
"1297",250410,"Carrapateira","Nordeste",25009,"9ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.603"
"1298",250415,"Casserengue","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.514"
"1299",250420,"Catingueira","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.574"
"1300",250430,"Catolé do Rocha","Nordeste",25008,"8ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.64"
"1301",250435,"Caturité","Nordeste",25015,"15ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.623"
"1302",250440,"Conceição","Nordeste",25007,"7ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.592"
"1303",250450,"Condado","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.594"
"1304",250460,"Conde","Nordeste",25001,"1ª Região Mata Atlântica",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.618"
"1305",250470,"Congo","Nordeste",25005,"5ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.581"
"1306",250480,"Coremas","Nordeste",25007,"7ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.592"
"1307",250485,"Coxixola","Nordeste",25005,"5ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.641"
"1308",250490,"Cruz do Espírito Santo","Nordeste",25001,"1ª Região Mata Atlântica",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.552"
"1309",250500,"Cubati","Nordeste",25004,"4ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.566"
"1310",250510,"Cuité","Nordeste",25004,"4ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.591"
"1311",250520,"Cuitegi","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.57"
"1312",250523,"Cuité de Mamanguape","Nordeste",25014,"14ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.524"
"1313",250527,"Curral de Cima","Nordeste",25014,"14ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.529"
"1314",250530,"Curral Velho","Nordeste",25007,"7ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.606"
"1315",250535,"Damião","Nordeste",25004,"4ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.521"
"1316",250540,"Desterro","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.58"
"1317",250550,"Vista Serrana","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.566"
"1318",250560,"Diamante","Nordeste",25007,"7ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.593"
"1319",250570,"Dona Inês","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.545"
"1320",250580,"Duas Estradas","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.603"
"1321",250590,"Emas","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.595"
"1322",250600,"Esperança","Nordeste",25003,"3ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.623"
"1323",250610,"Fagundes","Nordeste",25016,"16ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.56"
"1324",250620,"Frei Martinho","Nordeste",25004,"4ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.641"
"1325",250625,"Gado Bravo","Nordeste",25015,"15ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.513"
"1326",250630,"Guarabira","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.673"
"1327",250640,"Gurinhém","Nordeste",25012,"12ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.556"
"1328",250650,"Gurjão","Nordeste",25005,"5ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.625"
"1329",250660,"Ibiara","Nordeste",25007,"7ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.586"
"1330",250670,"Imaculada","Nordeste",25011,"11ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.557"
"1331",250680,"Ingá","Nordeste",25012,"12ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.592"
"1332",250690,"Itabaiana","Nordeste",25012,"12ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.613"
"1333",250700,"Itaporanga","Nordeste",25007,"7ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.615"
"1334",250710,"Itapororoca","Nordeste",25014,"14ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.564"
"1335",250720,"Itatuba","Nordeste",25012,"12ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.562"
"1336",250730,"Jacaraú","Nordeste",25014,"14ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.558"
"1337",250740,"Jericó","Nordeste",25008,"8ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.603"
"1338",250750,"João Pessoa","Nordeste",25001,"1ª Região Mata Atlântica",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.763"
"1339",250760,"Juarez Távora","Nordeste",25012,"12ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.579"
"1340",250770,"Juazeirinho","Nordeste",25016,"16ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.567"
"1341",250780,"Junco do Seridó","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.617"
"1342",250790,"Juripiranga","Nordeste",25012,"12ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.548"
"1343",250800,"Juru","Nordeste",25011,"11ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.57"
"1344",250810,"Lagoa","Nordeste",25013,"13ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.563"
"1345",250820,"Lagoa de Dentro","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.57"
"1346",250830,"Lagoa Seca","Nordeste",25003,"3ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.627"
"1347",250840,"Lastro","Nordeste",25010,"10ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.533"
"1348",250850,"Livramento","Nordeste",25005,"5ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.566"
"1349",250855,"Logradouro","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.583"
"1350",250860,"Lucena","Nordeste",25001,"1ª Região Mata Atlântica",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.583"
"1351",250870,"Mãe d'Água","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.542"
"1352",250880,"Malta","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.642"
"1353",250890,"Mamanguape","Nordeste",25014,"14ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.585"
"1354",250900,"Manaíra","Nordeste",25011,"11ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.543"
"1355",250905,"Marcação","Nordeste",25014,"14ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.529"
"1356",250910,"Mari","Nordeste",25001,"1ª Região Mata Atlântica",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.548"
"1357",250915,"Marizópolis","Nordeste",25010,"10ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.608"
"1358",250920,"Massaranduba","Nordeste",25016,"16ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.567"
"1359",250930,"Mataraca","Nordeste",25014,"14ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.536"
"1360",250933,"Matinhas","Nordeste",25003,"3ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.541"
"1361",250937,"Mato Grosso","Nordeste",25008,"8ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.565"
"1362",250939,"Maturéia","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.572"
"1363",250940,"Mogeiro","Nordeste",25012,"12ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.574"
"1364",250950,"Montadas","Nordeste",25003,"3ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.59"
"1365",250960,"Monte Horebe","Nordeste",25009,"9ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.587"
"1366",250970,"Monteiro","Nordeste",25005,"5ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.628"
"1367",250980,"Mulungu","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.565"
"1368",250990,"Natuba","Nordeste",25015,"15ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.541"
"1369",251000,"Nazarezinho","Nordeste",25010,"10ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.562"
"1370",251010,"Nova Floresta","Nordeste",25004,"4ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.601"
"1371",251020,"Nova Olinda","Nordeste",25007,"7ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.573"
"1372",251030,"Nova Palmeira","Nordeste",25004,"4ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.595"
"1373",251040,"Olho d'Água","Nordeste",25007,"7ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.572"
"1374",251050,"Olivedos","Nordeste",25016,"16ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.603"
"1375",251060,"Ouro Velho","Nordeste",25005,"5ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.614"
"1376",251065,"Parari","Nordeste",25005,"5ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.584"
"1377",251070,"Passagem","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.62"
"1378",251080,"Patos","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.701"
"1379",251090,"Paulista","Nordeste",25013,"13ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.587"
"1380",251100,"Pedra Branca","Nordeste",25007,"7ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.599"
"1381",251110,"Pedra Lavrada","Nordeste",25004,"4ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.574"
"1382",251120,"Pedras de Fogo","Nordeste",25012,"12ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.59"
"1383",251130,"Piancó","Nordeste",25007,"7ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.621"
"1384",251140,"Picuí","Nordeste",25004,"4ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.608"
"1385",251150,"Pilar","Nordeste",25012,"12ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.579"
"1386",251160,"Pilões","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.56"
"1387",251170,"Pilõezinhos","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.564"
"1388",251180,"Pirpirituba","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.595"
"1389",251190,"Pitimbu","Nordeste",25001,"1ª Região Mata Atlântica",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.57"
"1390",251200,"Pocinhos","Nordeste",25016,"16ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.591"
"1391",251203,"Poço Dantas","Nordeste",25009,"9ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.525"
"1392",251207,"Poço de José de Moura","Nordeste",25009,"9ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.612"
"1393",251210,"Pombal","Nordeste",25013,"13ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.634"
"1394",251220,"Prata","Nordeste",25005,"5ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.608"
"1395",251230,"Princesa Isabel","Nordeste",25011,"11ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.606"
"1396",251240,"Puxinanã","Nordeste",25016,"16ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.617"
"1397",251250,"Queimadas","Nordeste",25015,"15ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.608"
"1398",251260,"Quixaba","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.622"
"1399",251270,"Remígio","Nordeste",25003,"3ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.607"
"1400",251272,"Pedro Régis","Nordeste",25014,"14ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.542"
"1401",251274,"Riachão","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.574"
"1402",251275,"Riachão do Bacamarte","Nordeste",25012,"12ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.553"
"1403",251276,"Riachão do Poço","Nordeste",25001,"1ª Região Mata Atlântica",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.555"
"1404",251278,"Riacho de Santo Antônio","Nordeste",25015,"15ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.594"
"1405",251280,"Riacho dos Cavalos","Nordeste",25008,"8ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.568"
"1406",251290,"Rio Tinto","Nordeste",25014,"14ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.585"
"1407",251300,"Salgadinho","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.563"
"1408",251310,"Salgado de São Félix","Nordeste",25012,"12ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.568"
"1409",251315,"Santa Cecília","Nordeste",25015,"15ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.525"
"1410",251320,"Santa Cruz","Nordeste",25010,"10ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.618"
"1411",251330,"Santa Helena","Nordeste",25009,"9ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.609"
"1412",251335,"Santa Inês","Nordeste",25007,"7ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.572"
"1413",251340,"Santa Luzia","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.682"
"1414",251350,"Santana de Mangueira","Nordeste",25007,"7ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.535"
"1415",251360,"Santana dos Garrotes","Nordeste",25007,"7ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.594"
"1416",251365,"Joca Claudino","Nordeste",25009,"9ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.622"
"1417",251370,"Santa Rita","Nordeste",25001,"1ª Região Mata Atlântica",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.627"
"1418",251380,"Santa Teresinha","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.627"
"1419",251385,"Santo André","Nordeste",25016,"16ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.6"
"1420",251390,"São Bento","Nordeste",25008,"8ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.58"
"1421",251392,"São Bentinho","Nordeste",25013,"13ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.606"
"1422",251394,"São Domingos do Cariri","Nordeste",25015,"15ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.589"
"1423",251396,"São Domingos","Nordeste",25013,"13ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.548"
"1424",251398,"São Francisco","Nordeste",25010,"10ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.58"
"1425",251400,"São João do Cariri","Nordeste",25005,"5ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.622"
"1426",251410,"São João do Tigre","Nordeste",25005,"5ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.552"
"1427",251420,"São José da Lagoa Tapada","Nordeste",25010,"10ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.53"
"1428",251430,"São José de Caiana","Nordeste",25007,"7ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.565"
"1429",251440,"São José de Espinharas","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.577"
"1430",251445,"São José dos Ramos","Nordeste",25012,"12ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.541"
"1431",251450,"São José de Piranhas","Nordeste",25009,"9ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.591"
"1432",251455,"São José de Princesa","Nordeste",25011,"11ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.565"
"1433",251460,"São José do Bonfim","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.578"
"1434",251465,"São José do Brejo do Cruz","Nordeste",25008,"8ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.581"
"1435",251470,"São José do Sabugi","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.617"
"1436",251480,"São José dos Cordeiros","Nordeste",25005,"5ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.556"
"1437",251490,"São Mamede","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.641"
"1438",251500,"São Miguel de Taipu","Nordeste",25012,"12ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.548"
"1439",251510,"São Sebastião de Lagoa de Roça","Nordeste",25003,"3ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.594"
"1440",251520,"São Sebastião do Umbuzeiro","Nordeste",25005,"5ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.581"
"1441",251530,"Sapé","Nordeste",25001,"1ª Região Mata Atlântica",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.569"
"1442",251540,"São Vicente do Seridó","Nordeste",25004,"4ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.642"
"1443",251550,"Serra Branca","Nordeste",25005,"5ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.628"
"1444",251560,"Serra da Raiz","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.626"
"1445",251570,"Serra Grande","Nordeste",25007,"7ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.586"
"1446",251580,"Serra Redonda","Nordeste",25016,"16ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.57"
"1447",251590,"Serraria","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.547"
"1448",251593,"Sertãozinho","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.621"
"1449",251597,"Sobrado","Nordeste",25001,"1ª Região Mata Atlântica",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.573"
"1450",251600,"Solânea","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.595"
"1451",251610,"Soledade","Nordeste",25016,"16ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.616"
"1452",251615,"Sossêgo","Nordeste",25004,"4ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.573"
"1453",251620,"Sousa","Nordeste",25010,"10ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.668"
"1454",251630,"Sumé","Nordeste",25005,"5ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.627"
"1455",251640,"Tacima","Nordeste",25002,"2ª Região",2503,"Macrorregiao I - Joao Pessoa","Paraíba","0.551"
"1456",251650,"Taperoá","Nordeste",25016,"16ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.578"
"1457",251660,"Tavares","Nordeste",25011,"11ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.586"
"1458",251670,"Teixeira","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.605"
"1459",251675,"Tenório","Nordeste",25016,"16ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.581"
"1460",251680,"Triunfo","Nordeste",25009,"9ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.609"
"1461",251690,"Uiraúna","Nordeste",25009,"9ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.636"
"1462",251700,"Umbuzeiro","Nordeste",25015,"15ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.584"
"1463",251710,"Várzea","Nordeste",25006,"6ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.707"
"1464",251720,"Vieirópolis","Nordeste",25010,"10ª Região",2501,"Macrorregiao III - Sertao/Alto Sertao","Paraíba","0.571"
"1465",251740,"Zabelê","Nordeste",25005,"5ª Região",2502,"Macrorregiao II - Campina Grande","Paraíba","0.623"
"1466",260005,"Abreu e Lima","Nordeste",26010,"Recife",2607,"Metropolitana","Pernambuco","0.679"
"1467",260010,"Afogados da Ingazeira","Nordeste",26001,"Afogados da Ingazeira",2606,"Sertao","Pernambuco","0.657"
"1468",260020,"Afrânio","Nordeste",26009,"Petrolina",2605,"Vale do S. Francisco e Araripe","Pernambuco","0.588"
"1469",260030,"Agrestina","Nordeste",26003,"Caruaru",2608,"Agreste","Pernambuco","0.592"
"1470",260040,"Água Preta","Nordeste",26008,"Palmares",2607,"Metropolitana","Pernambuco","0.553"
"1471",260050,"Águas Belas","Nordeste",26004,"Garanhuns",2608,"Agreste","Pernambuco","0.526"
"1472",260060,"Alagoinha","Nordeste",26003,"Caruaru",2608,"Agreste","Pernambuco","0.599"
"1473",260070,"Aliança","Nordeste",26005,"Goiana",2607,"Metropolitana","Pernambuco","0.604"
"1474",260080,"Altinho","Nordeste",26003,"Caruaru",2608,"Agreste","Pernambuco","0.598"
"1475",260090,"Amaraji","Nordeste",26008,"Palmares",2607,"Metropolitana","Pernambuco","0.58"
"1476",260100,"Angelim","Nordeste",26004,"Garanhuns",2608,"Agreste","Pernambuco","0.572"
"1477",260105,"Araçoiaba","Nordeste",26010,"Recife",2607,"Metropolitana","Pernambuco","0.592"
"1478",260110,"Araripina","Nordeste",26007,"Ouricuri",2605,"Vale do S. Francisco e Araripe","Pernambuco","0.602"
"1479",260120,"Arcoverde","Nordeste",26002,"Arcoverde",2606,"Sertao","Pernambuco","0.667"
"1480",260130,"Barra de Guabiraba","Nordeste",26003,"Caruaru",2608,"Agreste","Pernambuco","0.577"
"1481",260140,"Barreiros","Nordeste",26008,"Palmares",2607,"Metropolitana","Pernambuco","0.586"
"1482",260150,"Belém de Maria","Nordeste",26008,"Palmares",2607,"Metropolitana","Pernambuco","0.578"
"1483",260160,"Belém do São Francisco","Nordeste",26011,"Salgueiro",2605,"Vale do S. Francisco e Araripe","Pernambuco","0.642"
"1484",260170,"Belo Jardim","Nordeste",26003,"Caruaru",2608,"Agreste","Pernambuco","0.629"
"1485",260180,"Betânia","Nordeste",26012,"Serra Talhada",2606,"Sertao","Pernambuco","0.559"
"1486",260190,"Bezerros","Nordeste",26003,"Caruaru",2608,"Agreste","Pernambuco","0.606"
"1487",260200,"Bodocó","Nordeste",26007,"Ouricuri",2605,"Vale do S. Francisco e Araripe","Pernambuco","0.565"
"1488",260210,"Bom Conselho","Nordeste",26004,"Garanhuns",2608,"Agreste","Pernambuco","0.563"
"1489",260220,"Bom Jardim","Nordeste",26006,"Limoeiro",2607,"Metropolitana","Pernambuco","0.602"
"1490",260230,"Bonito","Nordeste",26003,"Caruaru",2608,"Agreste","Pernambuco","0.561"
"1491",260240,"Brejão","Nordeste",26004,"Garanhuns",2608,"Agreste","Pernambuco","0.547"
"1492",260250,"Brejinho","Nordeste",26001,"Afogados da Ingazeira",2606,"Sertao","Pernambuco","0.574"
"1493",260260,"Brejo da Madre de Deus","Nordeste",26003,"Caruaru",2608,"Agreste","Pernambuco","0.562"
