"codmunres","municipio","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","uf","idhm"
"52",110180,"Vale do Paraíso","Norte",11003,"Central",1101,"Macrorregional II (Cacoal)","Rondônia","0.627"
"53",120001,"Acrelândia","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC","Acre","0.604"
"54",120005,"Assis Brasil","Norte",12001,"Alto Acre",1201,"MACro Unica - AC","Acre","0.588"
"55",120010,"Brasiléia","Norte",12001,"Alto Acre",1201,"MACro Unica - AC","Acre","0.614"
"56",120013,"Bujari","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC","Acre","0.589"
"57",120017,"Capixaba","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC","Acre","0.575"
"58",120020,"Cruzeiro do Sul","Norte",12003,"Juruá e Tarauacá/Envira",1201,"MACro Unica - AC","Acre","0.664"
"59",120025,"Epitaciolândia","Norte",12001,"Alto Acre",1201,"MACro Unica - AC","Acre","0.653"
"60",120030,"Feijó","Norte",12003,"Juruá e Tarauacá/Envira",1201,"MACro Unica - AC","Acre","0.539"
"61",120032,"Jordão","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC","Acre","0.469"
"62",120033,"Mâncio Lima","Norte",12003,"Juruá e Tarauacá/Envira",1201,"MACro Unica - AC","Acre","0.625"
"63",120034,"Manoel Urbano","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC","Acre","0.551"
"64",120035,"Marechal Thaumaturgo","Norte",12003,"Juruá e Tarauacá/Envira",1201,"MACro Unica - AC","Acre","0.501"
"65",120038,"Plácido de Castro","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC","Acre","0.622"
"66",120039,"Porto Walter","Norte",12003,"Juruá e Tarauacá/Envira",1201,"MACro Unica - AC","Acre","0.532"
"67",120040,"Rio Branco","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC","Acre","0.727"
"68",120042,"Rodrigues Alves","Norte",12003,"Juruá e Tarauacá/Envira",1201,"MACro Unica - AC","Acre","0.567"
