CODMUNRES;ANO;total_internacoes;casos_MMG;casos_MMG_hipertensao;casos_MMG_Hemorragia;casos_MMG_infeccoes;casos_MMG_UTI;casos_MMG_TMP;casos_MMG_Transfusao;casos_MMG_cirurgia
110060;2014;18;3;1;0;0;1;1;0;0
110060;2015;29;6;1;1;0;0;3;1;1
110060;2016;27;3;3;0;0;0;0;0;0
110060;2017;34;2;2;0;0;0;0;0;0
110060;2018;36;4;1;0;0;0;2;0;1
110060;2019;27;0;0;0;0;0;0;0;0
110060;2020;36;8;3;2;1;0;2;0;1
110070;2012;44;2;0;1;0;0;0;0;1
110070;2013;42;4;0;3;0;0;1;2;1
110070;2014;29;2;0;1;0;0;1;1;0
110070;2015;31;1;1;0;0;0;0;0;0
110070;2016;54;7;3;1;0;0;6;1;0
110070;2017;43;2;1;1;0;0;0;1;0
110070;2018;58;3;0;0;0;0;2;0;1
110070;2019;63;11;7;3;1;0;0;1;3
110070;2020;51;3;2;0;0;0;1;0;0
110080;2012;252;21;10;2;0;0;10;1;2
110080;2013;297;24;12;0;0;1;10;0;2
110080;2014;316;31;12;6;0;0;10;4;3
110080;2015;258;33;17;4;0;0;13;2;3
110080;2016;260;34;22;6;1;2;8;3;1
110080;2017;296;43;25;5;1;0;6;4;8
110080;2018;355;42;19;3;0;0;4;1;18
110080;2019;318;46;21;7;0;2;5;3;16
110080;2020;280;59;30;6;0;0;4;3;24
110090;2012;35;3;1;1;0;0;1;0;1
110090;2013;13;1;1;0;0;0;0;0;0
110090;2014;31;2;2;0;0;0;0;0;0
110090;2015;39;1;1;0;0;0;0;0;0
110090;2016;23;0;0;0;0;0;0;0;0
110090;2017;27;0;0;0;0;0;0;0;0
110090;2018;51;5;3;0;0;0;1;0;1
110090;2019;34;1;0;1;0;0;0;0;0
110090;2020;39;4;1;1;1;0;2;1;1
110092;2012;75;0;0;0;0;0;0;0;0
110092;2013;66;2;0;0;0;1;1;0;0
110092;2014;120;4;2;1;0;0;1;0;0
110092;2015;142;1;0;0;0;0;1;0;0
110092;2016;114;4;0;4;0;1;1;2;1
110092;2017;139;5;1;3;0;1;1;3;0
110092;2018;157;3;0;1;0;1;0;1;1
110092;2019;143;4;1;0;0;0;2;0;1
110092;2020;110;6;1;3;0;1;0;2;1
110094;2012;122;11;3;5;0;1;4;4;2
110094;2013;157;14;4;4;1;0;6;1;1
110094;2014;155;22;6;8;0;0;4;6;6
110094;2015;199;21;9;1;1;0;6;0;5
110094;2016;167;17;5;3;0;0;5;1;4
110094;2017;157;19;10;4;0;0;5;2;2
110094;2018;190;14;9;1;1;0;2;0;2
110094;2019;132;14;4;2;0;0;3;2;5
110094;2020;168;11;4;3;0;0;1;2;4
110100;2012;72;0;0;0;0;0;0;0;0
110100;2013;56;1;0;1;0;0;0;0;1
110100;2014;53;3;0;0;1;0;2;0;0
110100;2015;79;2;0;1;0;0;0;1;0
110100;2016;54;0;0;0;0;0;0;0;0
110100;2017;54;2;0;1;0;0;1;1;0
110100;2018;82;3;2;1;0;0;0;1;0
110100;2019;76;4;3;0;0;0;0;0;1
110100;2020;59;2;0;0;0;0;0;0;2
110110;2012;53;2;1;0;0;0;1;0;0
110110;2013;75;7;3;1;0;0;3;0;1
110110;2014;85;12;6;1;1;0;4;1;1
110110;2015;72;12;3;2;0;0;8;2;0
110110;2016;89;15;3;5;0;0;5;4;4
110110;2017;78;16;14;0;0;0;2;0;0
110110;2018;104;17;10;4;0;1;1;2;7
110110;2019;71;5;1;1;0;0;0;1;4
110110;2020;80;8;4;1;0;0;1;0;3
110120;2012;72;3;2;0;0;0;1;0;0
110120;2013;65;3;0;3;0;0;1;2;0
110120;2014;88;5;0;4;0;0;1;1;0
110120;2015;64;3;1;2;0;0;0;0;0
110120;2016;65;7;1;5;0;0;2;1;0
110120;2017;73;9;6;3;0;0;0;0;0
110120;2018;61;3;1;1;0;0;1;0;0
110120;2019;75;7;6;1;0;0;0;0;0
110120;2020;62;2;0;2;0;0;0;2;0
110130;2012;97;2;0;2;0;0;0;1;1
110130;2013;100;6;2;2;0;0;1;1;1
110130;2014;84;2;0;1;0;0;1;0;0
110130;2015;92;3;1;0;0;0;2;0;0
110130;2016;99;3;1;1;0;0;1;0;0
110130;2017;101;7;4;2;0;0;2;2;0
110130;2018;98;3;0;0;0;0;3;0;0
110130;2019;111;12;5;1;1;0;4;1;2
110130;2020;78;4;0;1;0;0;2;1;1
110140;2012;127;3;0;2;0;0;2;2;0
110140;2013;154;8;2;3;0;0;4;2;0
110140;2014;85;7;4;1;0;0;2;1;0
110140;2015;73;3;0;0;0;0;2;0;1
110140;2016;60;5;1;1;0;0;3;0;1
110140;2017;75;9;7;2;0;0;0;2;0
110140;2018;137;6;2;1;1;0;1;1;2
110140;2019;115;10;5;1;0;0;1;0;4
110140;2020;101;10;1;5;0;0;3;2;4
110143;2012;38;3;2;0;0;0;1;0;0
110143;2013;48;4;3;1;0;0;1;0;1
110143;2014;42;4;1;0;2;0;1;0;0
110143;2015;46;1;0;0;0;0;1;0;0
110143;2016;77;3;0;2;0;1;1;1;1
110143;2017;60;4;0;1;0;0;3;1;0
110143;2018;59;8;0;4;0;0;2;1;2
110143;2019;49;4;3;1;0;0;0;0;1
110143;2020;44;2;1;1;0;0;0;0;0
110145;2012;48;5;2;3;0;0;0;3;0
110145;2013;30;4;2;1;0;0;1;0;0
110145;2014;36;1;1;0;0;0;0;0;0
110145;2015;32;3;1;0;0;0;2;0;0
110145;2016;25;1;1;0;0;0;0;0;0
110145;2017;42;3;0;3;0;0;1;1;0
110145;2018;47;4;0;1;0;0;2;1;1
110145;2019;67;6;1;4;0;0;0;2;3
110145;2020;50;3;1;1;0;0;1;1;0
110146;2012;16;0;0;0;0;0;0;0;0
110146;2013;26;1;0;1;0;0;0;0;0
110146;2014;27;0;0;0;0;0;0;0;0
110146;2015;38;1;0;1;0;0;1;1;0
110146;2016;36;5;2;1;0;0;2;1;0
110146;2017;63;1;0;1;0;0;0;1;0
110146;2018;53;1;0;1;0;0;0;1;0
110146;2019;51;2;1;1;0;2;0;1;0
110146;2020;32;1;0;1;0;0;0;1;0
110147;2012;30;5;5;0;0;0;0;0;0
110147;2013;20;3;2;0;0;0;0;0;1
110147;2014;33;4;1;1;0;0;2;1;0
110147;2015;30;3;3;0;0;0;0;0;0
110147;2016;36;2;2;0;0;0;0;0;0
110147;2017;49;1;1;0;0;0;0;0;0
110147;2018;32;4;0;3;1;0;0;1;0
110147;2019;35;2;0;2;0;0;0;2;0
110147;2020;22;1;0;1;0;0;0;1;0
110148;2012;29;0;0;0;0;0;0;0;0
110148;2013;27;2;0;1;0;0;1;0;0
110148;2014;39;3;2;1;0;0;0;0;0
110148;2015;42;3;2;1;0;1;2;1;0
110148;2016;28;5;4;0;1;0;0;0;0
110148;2017;36;1;0;1;0;0;0;1;0
110148;2018;28;4;0;2;1;0;1;0;0
110148;2019;39;4;2;1;0;0;0;1;1
110148;2020;24;0;0;0;0;0;0;0;0
110149;2012;126;3;1;2;0;0;0;1;0
110149;2013;94;7;5;3;0;1;2;3;1
110149;2014;398;16;10;2;1;1;3;1;1
110149;2015;314;14;7;7;0;0;0;3;1
110149;2016;272;16;8;2;2;0;3;0;1
110149;2017;362;19;12;4;1;0;2;0;0
110149;2018;389;15;9;3;1;0;4;1;2
110149;2019;305;10;4;3;1;0;2;2;0
110149;2020;211;4;0;3;0;0;1;1;1
110150;2012;136;5;4;0;0;0;1;0;0
110150;2013;86;5;2;1;0;0;3;0;0
110150;2014;155;1;0;1;0;0;0;1;0
110150;2015;160;3;1;0;0;0;2;0;0
110150;2016;126;7;2;1;0;0;3;0;1
110150;2017;182;5;3;2;0;0;1;0;0
110150;2018;144;5;2;0;0;0;0;0;2
110150;2019;156;9;6;2;1;0;0;1;1
110150;2020;122;6;3;2;0;0;1;1;0
110155;2012;42;2;2;0;0;0;0;0;0
110155;2013;47;6;5;0;0;0;1;0;0
110155;2014;20;1;0;0;0;0;1;0;0
110155;2015;38;3;2;0;0;0;1;0;0
110155;2016;44;2;0;0;0;0;0;0;1
110155;2017;29;1;1;0;0;0;0;0;0
110155;2018;35;2;1;1;0;0;0;0;0
110155;2019;30;1;1;0;0;0;1;0;0
110155;2020;23;1;0;1;0;0;0;0;0
110160;2012;94;3;0;2;0;0;1;1;0
110160;2013;90;5;2;3;0;0;0;3;0
110160;2014;61;2;0;0;0;0;1;0;1
110160;2015;92;4;3;0;0;0;1;0;1
110160;2016;87;7;5;1;0;0;1;0;1
110160;2017;94;7;5;2;0;0;0;2;0
110160;2018;93;8;2;5;0;0;0;5;0
110160;2019;76;5;3;2;0;0;0;1;2
110160;2020;73;5;2;2;0;0;1;1;0
110170;2012;89;3;2;1;0;0;0;1;0
110170;2013;75;6;3;1;0;0;3;1;0
110170;2014;58;2;0;0;0;0;2;0;0
110170;2015;107;7;3;1;0;1;3;1;0
110170;2016;89;4;1;3;0;0;0;1;0
110170;2017;99;7;2;2;0;0;5;1;0
110170;2018;102;3;1;0;0;0;0;0;2
110170;2019;95;10;4;3;0;0;3;0;0
110170;2020;68;2;1;0;0;0;0;0;1
110175;2012;53;1;1;0;0;0;0;0;0
110175;2013;66;1;0;1;0;0;0;1;0
110175;2014;46;1;0;1;0;0;0;1;0
110175;2015;55;4;3;1;0;0;1;0;0
110175;2016;72;1;0;0;1;0;0;0;0
110175;2017;74;4;0;3;0;0;1;3;0
110175;2018;87;4;2;2;0;0;0;1;0
110175;2019;89;6;1;4;0;0;0;2;2
110175;2020;70;5;2;2;0;0;1;1;2
110180;2012;53;0;0;0;0;0;0;0;0
110180;2013;68;1;0;0;0;0;1;0;0
110180;2014;44;7;4;2;0;0;2;0;0
110180;2015;49;2;1;1;0;0;0;0;0
110180;2016;69;0;0;0;0;0;0;0;0
110180;2017;46;0;0;0;0;0;0;0;0
110180;2018;62;1;0;1;0;0;0;0;1
110180;2019;55;5;3;0;0;0;2;0;0
110180;2020;45;1;0;1;0;0;0;0;1
120001;2012;134;5;4;0;0;0;2;0;0
120001;2013;142;10;2;1;2;0;5;1;0
120001;2014;138;5;1;1;1;0;3;1;1
120001;2015;87;5;2;2;0;0;0;2;0
120001;2016;97;9;5;0;2;0;1;0;0
120001;2017;139;12;6;2;2;0;2;1;0
120001;2018;119;10;5;1;1;0;4;1;0
120001;2019;194;14;5;2;2;0;6;2;1
120001;2020;163;6;3;1;1;0;1;1;0
120005;2012;157;7;5;1;1;0;1;0;0
120005;2013;177;1;0;0;0;0;0;0;0
120005;2014;148;4;2;0;0;0;1;0;1
120005;2015;204;0;0;0;0;0;0;0;0
120005;2016;191;4;1;0;2;0;1;0;0
120005;2017;215;6;3;0;1;0;2;0;0
120005;2018;275;6;0;1;2;0;1;0;2
120005;2019;224;5;3;1;1;1;1;1;0
120005;2020;229;2;2;0;0;0;0;0;0
120010;2012;635;22;2;5;2;1;1;0;11
120010;2013;692;14;2;0;2;0;1;0;9
120010;2014;691;3;0;0;1;0;1;0;1
120010;2015;684;6;2;3;1;0;0;0;0
120010;2016;677;11;3;3;1;1;4;1;1
120010;2017;659;12;7;2;1;1;4;1;1
120010;2018;714;23;15;2;1;1;5;0;0
120010;2019;730;18;5;2;0;0;4;0;8
120010;2020;682;23;7;2;3;0;3;0;9
120013;2012;109;8;7;1;0;0;0;0;0
120013;2013;84;5;4;0;1;0;0;0;0
120013;2014;11;1;1;0;0;0;0;0;0
120013;2015;30;1;0;0;0;0;1;0;0
120013;2016;28;6;6;0;0;1;0;0;0
120013;2017;74;12;8;1;3;0;1;0;0
120013;2018;71;8;5;0;1;0;3;0;0
120013;2019;92;11;9;1;0;0;1;0;0
120013;2020;82;10;8;1;1;0;0;0;0
120017;2012;86;3;2;0;1;0;0;0;0
120017;2013;81;3;1;1;0;0;1;0;0
120017;2014;89;4;3;0;0;0;2;0;0
120017;2015;66;4;2;0;0;0;1;0;1
120017;2016;68;1;1;0;0;0;0;0;0
120017;2017;119;7;4;1;2;1;1;1;1
120017;2018;117;8;6;0;0;0;2;0;0
120017;2019;125;12;8;0;1;0;3;0;0
120017;2020;155;14;9;0;0;1;5;0;0
120020;2012;2035;93;50;19;15;0;8;2;6
120020;2013;1907;94;48;14;17;1;15;3;2
120020;2014;2668;128;74;21;16;0;18;0;4
120020;2015;2675;75;25;11;13;0;22;1;3
120020;2016;2167;68;19;15;14;1;13;3;8
120020;2017;2206;74;19;17;16;0;23;1;5
120020;2018;1939;77;38;12;3;0;23;0;6
120020;2019;1936;66;32;8;4;1;24;1;2
120020;2020;1756;53;26;2;4;0;19;0;0
120025;2012;304;7;0;4;0;1;3;2;1
120025;2013;322;9;4;0;0;0;0;0;5
120025;2014;366;4;0;4;0;0;0;0;0
120025;2015;368;4;1;0;1;0;2;0;0
120025;2016;374;3;2;0;0;0;1;0;0
120025;2017;379;10;5;2;0;0;5;1;0
120025;2018;393;7;3;2;1;0;3;1;0
120025;2019;417;13;2;3;1;0;1;0;6
120025;2020;366;10;3;0;1;0;2;0;4
120030;2012;473;8;1;1;3;0;3;1;0
120030;2013;378;8;3;2;0;0;3;2;0
120030;2014;407;13;6;4;2;0;1;0;1
120030;2015;161;4;1;0;1;0;1;0;1
120030;2016;74;4;3;0;0;0;0;0;1
120030;2017;228;6;0;1;3;0;2;1;1
120030;2018;319;5;2;2;0;0;2;1;1
120030;2019;230;5;2;1;1;0;1;0;0
120030;2020;192;12;2;1;2;0;4;1;2
120032;2012;28;0;0;0;0;0;0;0;0
120032;2013;27;0;0;0;0;0;0;0;0
120032;2014;56;3;1;1;0;0;1;0;1
120032;2015;41;3;2;1;0;0;0;0;0
120032;2016;29;0;0;0;0;0;0;0;0
120032;2017;51;3;2;0;0;0;1;0;0
120032;2018;51;6;4;0;0;0;2;0;0
120032;2019;47;4;1;0;1;0;2;0;0
120032;2020;83;3;3;0;0;0;1;0;0
120033;2012;389;17;8;2;1;0;5;0;0
120033;2013;400;17;9;4;1;0;3;0;0
120033;2014;399;12;4;5;1;0;2;0;0
120033;2015;362;7;1;1;2;0;2;0;0
120033;2016;330;10;7;1;1;0;2;0;0
120033;2017;341;9;4;1;0;0;3;0;1
120033;2018;307;13;8;2;0;0;3;0;0
120033;2019;310;8;4;0;1;0;2;0;0
120033;2020;344;4;3;0;0;0;1;0;0
120034;2012;183;5;2;0;0;0;3;0;0
120034;2013;194;2;1;1;0;0;0;1;0
120034;2014;170;2;1;0;0;0;0;0;0
120034;2015;145;2;2;0;0;0;1;0;0
120034;2016;150;4;2;0;1;0;1;0;0
120034;2017;163;3;2;0;0;0;1;0;0
120034;2018;135;2;1;0;0;0;1;0;0
120034;2019;163;8;6;0;0;0;2;0;0
